M-AILABS_pol_000244	lalka_1_08_f000126	Zkąd ona wie - myślał dalej - że ja kupiłem serwis i srebra?
M-AILABS_pol_000245	saragossie_44_f000035	zamiast tych drobiazgowych oznak przychylności jakie tak hojnie rozdawała zalotnikom u kraty?
M-AILABS_pol_000246	lalka_3_15_f000014	Gdy zaś na ulicach zapłonęły latarnie kazał podać światło i przynieść befsztyk z restauracyi. Zjadł go z apetytem popił winem i około północy znowu poszedł spać.
M-AILABS_pol_000247	saragossie_63_f000078	W owej epoce niezgoda wszystko burząca na ziemi wdarła się także i pod ziemię czyli do naszych jaskiń.
M-AILABS_pol_000248	saragossie_49_f000024	Busqueros uśmiechnął się dwuznacznie po czym tak zaczął mówić:
M-AILABS_pol_000249	saragossie_36_f000233	zaleciła mi jednak abym go schowała do kieszeni. Jubiler mieszkał w naszym sąsiedztwie pokazano mu pierścień; ocenił go na osiem tysięcy pistolów.
M-AILABS_pol_000250	lalka_3_10_f000069	- Masz słuszność. Czy jednakże dla kaprysu godzi się drażnić takie uczucia?
M-AILABS_pol_000251	lalka_3_20_f000225	- Jeszcze nic nie wiem; waham się jakbym siedział na dziesięciopiętrowej huśtawce. Czasami zdaje mi się że coś zrobię dla świata.
M-AILABS_pol_000252	saragossie_30_f000028	Mój ojciec także zbliżył się do okna.
M-AILABS_pol_000253	saragossie_55_f000170	Mniejsza o to - rzekł Busqueros - nie jesteś pierwszym który chciał uciec przede mną w swoją szlafmycę i udawać że śpi.
M-AILABS_pol_000254	lalka_2_21_f000066	W korytarzu wagonowym słychać było kroki i rozmowę;
M-AILABS_pol_000255	saragossie_29_f000112	odpowiedział że przysiągł wydawać nie zaś rozdawać i że poczucie własnej godności nie pozwala mu najmniejszej części tych pieniędzy obrócić na dobre uczynki;
M-AILABS_pol_000256	saragossie_15_f000060	Wrócił jeszcze w południe i znalazłszy że puls bije mi gwałtownie ofiarował się dalej prowadzić za mnie moje prace kabalistyczne.
M-AILABS_pol_000257	lalka_1_16_f000175	który na wszystkie odezwy skierowane do jego kieszeni stale odpowiadał:
M-AILABS_pol_000258	lalka_2_08_f000138	Nikczemny żyd... Nikczemne społeczeństwo które tak ulega lichwiarzom że nie śmie z nimi walczyć nawet przy licytacyi...
M-AILABS_pol_000259	saragossie_25_f000003	prosiliśmy Velasqueza aby raczył dalej opowiadać przygody swego życia co też uczynił w tych słowach:
M-AILABS_pol_000260	saragossie_40_f000026	Zrozumiałem wkrótce że najlepszym sposobem pozyskania łaski mego wuja będzie dokładne poznanie pieniężnych operacji i pilne baczenie na zwyżki i zniżki kursów.
M-AILABS_pol_000261	saragossie_37_f000100	Kochany Avarito jak ci się zdaje czy żona oidora Uscariza kocha mnie i czy jest jeszcze wierna?
M-AILABS_pol_000262	saragossie_04_f000254	Widzę teraz po sposobie twego wychowania że bojaźń jest dla ciebie zupełnie nieznanym uczuciem;
M-AILABS_pol_000263	saragossie_61_f000092	Obecność moja zdawała się mieszać układnych dworzan.
M-AILABS_pol_000264	lalka_3_19_f000015	- Doskonale się pan popisuje niema co mówić!... - zaczęła pochwili wzburzonym głosem.
M-AILABS_pol_000265	lalka_1_23_f000048	Przyszedł jej na myśl stary rządca ich niegdyś majątku który służył u nich trzydzieści lat i którego bardzo lubiła bardzo mu ufała;
M-AILABS_pol_000266	saragossie_30_f000064	Czasami tylko gdy posępna myśl je zmarszczyła nabierały straszliwego wyrazu. Naówczas drżąca mimowolnie przypominałam .sobie mordercę van Berga.
M-AILABS_pol_000267	lalka_1_12_f000149	Naturalnie historya miłosna - odpowiedziała dama z piórem. - W każdym razie zrobił ktoś złośliwego figla hrabinie i prezesowej wprowadzając tego jegomościa.
M-AILABS_pol_000268	saragossie_41_f000007	Słomiane kapelusze z pękami piór okrywały ich głowy.
M-AILABS_pol_000269	lalka_2_12_f000087	I Bóg wie coby dla kraju mógł zrobić taki jak on człowiek gdyby na każdym kroku nie usuwano mu schodów a on nie musiał tracić czasu i sił na samo wydzieranie się do nowych stanowisk.
M-AILABS_pol_000270	lalka_1_16_f000284	Czwartą i piątą - pochwycił adwokat - poświęcimy rozważaniu ogólnej ekonomicznej sytuacyi.
M-AILABS_pol_000271	lalka_2_20_f000110	Im więcej porównywał swoję miłość dla panny Izabeli z uczuciami ogółu mężczyzn dla ogółu kobiet tem bardziej wydawała mu się nienaturalną.
M-AILABS_pol_000272	lalka_1_13_f000078	Była blisko siódma kiedy w stronie południowo-zachodniej huknął strzał armatni. Po szeregach przeleciał szmer:
M-AILABS_pol_000273	lalka_2_21_f000019	Wokulski wzruszył ramionami i przeczytał list. Suzin proponował mu na zimowe miesiące nowy interes prawie tej samej doniosłości co paryski.
M-AILABS_pol_000274	saragossie_01_f000005	Zdjęty ciekawością zbliżyłem się i zastukałem w drzwi.
M-AILABS_pol_000275	saragossie_25_f000047	Wytłumaczyłem mu je wraz z wszystkimi moimi działaniami.
M-AILABS_pol_000276	lalka_2_05_f000045	że nie pójdzie na włochów ale jeszcze miał zreflektować Stacha mniej więcej temi słowy:
M-AILABS_pol_000277	lalka_1_02_f000066	Dopiero około dziewiątej wszedł a raczej wpadł do sklepu pan Mraczewski piękny dwudziestokilkoletni blondynek z oczyma jak gwiazdy z ustami jak korale z wąsikami jak zatrute sztylety.
M-AILABS_pol_000278	lalka_3_08_f000155	Ale że sam już nie znajdował rady więc poszedł do doktora Szumana.
M-AILABS_pol_000279	lalka_1_11_f000098	Dziękuję ci panie Wokulski za pamięć i proszę ażebyś przyszedł do mnie na święcone. Bardzo cię proszę panie Wokulski - dodała z naciskiem.
M-AILABS_pol_000280	saragossie_52_f000101	Celta Zorilla i matka ich kolejno mnie zajmowały urocze ich obrazy krzyżowały się w moich marzeniach i przez całą noc niepokoiły.
M-AILABS_pol_000281	lalka_2_20_f000158	W tych aparatach uwięzło już kilka milionów i może dlatego ich posiadacz nie bawi się niema służby a czasami nawet niema co jeść...
M-AILABS_pol_000282	lalka_1_03_f000120	a po mydło i krochmal szło się w głąb sklepu gdzie było widać beczki i stosy pak drewnianych.
M-AILABS_pol_000283	lalka_3_12_f000102	- Oświadczam ci - mówiła zirytowana - że nie wejdziesz za próg naszego domu... A gdybyś ośmielił się... Powiem mu wszystko.
M-AILABS_pol_000284	saragossie_03_f000038	Kiedym się obudził pod szubienicą Los Hermanos słońce połowy biegu już dochodziło od tego czasu dwie godziny zużyłem na przybycie do venty;
M-AILABS_pol_000285	lalka_2_25_f000152	Niedawniej aniżeli ja to spostrzegłam... ale siadajmy i jedźmy.
M-AILABS_pol_000286	lalka_3_02_f000080	Na szczęście pohamowałem pierwszy impet wypiłem dwa kufle piwa jeden po drugim i pytam go niby spokojnym głosem:
M-AILABS_pol_000287	saragossie_02_f000163	Murzynki oddaliły się. Emina posadziła mnie w kącie sofy i podwinąwszy nogi pod siebie usiadła przy mnie.
M-AILABS_pol_000288	lalka_3_23_f000140	Dopomódz do szczęścia jeden drugiemu nie potrafi - myślał - ale zrujnować cudze życie umieją tak dobrze jak gdyby byli ludźmi.
M-AILABS_pol_000289	saragossie_04_f000075	ale teraz pojmujesz senor że doprowadziliśmy rzeczy do tego stopnia iż bez rozlewu trochy krwi nie możemy się rozejść.
M-AILABS_pol_000290	saragossie_26_f000078	Oto co mi jeszcze zostało do powiedzenia:
M-AILABS_pol_000291	saragossie_07_f000038	Wtem zajechał przed kościół przepyszny powóz zaprzężony sześcią koni i poprzedzony dwoma luzakami tej samej maści; jest to zbytkowny obyczaj który widywałem tylko na Sycylii.
M-AILABS_pol_000292	saragossie_07_f000088	Wyrwałem więc garść rózeg z miotły rozdarłem koszulę Principina i obnażywszy mu plecy zacząłem porządnie go chłostać: dziwna jednak rzecz malec ze strachu ani pisnął.
M-AILABS_pol_000293	saragossie_54_f000098	Udałem się za murgrabia do zbrojowni i w istocie spostrzegłem mnóstwo szpad rozmaitej wielkości i liczne portrety
M-AILABS_pol_000294	saragossie_44_f000080	Wiedzieliśmy już o niektórych szczegółach przez stosunki z Ameryką.
M-AILABS_pol_000295	saragossie_02_f000231	Zebrał więc garstkę wiernych i zapuścił się w Alpuhary które jak wiesz są dalszym ciągiem pasma Sierra Moreny i oddzielają królestwo Grenady od królestwa Walencji.
M-AILABS_pol_000296	saragossie_44_f000014	zważając nadto że błąd obojga dzieci był następstwem nieszczęść rzeczonej rodziny nie zaś owocem rozpustnego wychowania Jego Świątobliwość powtarzam rozwiązał węzły pokrewieństwa jakie was między sobą na ziemi łączyły.
M-AILABS_pol_000297	lalka_1_12_f000090	Ja mam obowiązek dbać tylko o własny zysk i o taniość dla nabywców; nasz zaś towar będzie tańszy.
M-AILABS_pol_000298	saragossie_02_f000129	Starsza tymi słowy odezwała się do mnie w czystym kastylijskim narzeczu:
M-AILABS_pol_000299	lalka_2_25_f000105	Nikomu nie powiedziałbym tego ale... wie pan jak on postępuje z kobietami? Myśli pan że wzdycha umizga się błaga o dobre słówko o uścisk ręki? Nie.
M-AILABS_pol_000300	saragossie_68_f000047	Kopalnie złota które od tysiąca blisko lat stanowiły że tak powiem majątek naszej rodziny zdawały się niewyczerpane.
M-AILABS_pol_000301	saragossie_27_f000023	Ciągłe poświęcenia jakie składał na oltarzu obyczajów były godne tym większej pochwały że zdawało się iż sama natura stworzyła go do stanu całkiem przeciwnego temu jaki sobie obrał.
M-AILABS_pol_000302	saragossie_03_f000141	Na ognisku kuchennym postawiłem zapaloną świecę ale ta nagle zgasła i uczułem jak dreszcz śmiertelny krew mi ścina w żyłach.
M-AILABS_pol_000303	lalka_3_04_f000149	ale z każdego fałdu jej ubrania wyglądała złość... Obok niej stał Maruszewicz wpatrzony w ziemię a za nim służąca baronowej tak przestraszona jakby miano ją prowadzić na szafot.
M-AILABS_pol_000304	lalka_1_16_f000181	Bycza mina! - szepnął otyły marszałek wskazując okiem na Wokulskiego. - Szczeć na głowie jeży mu się jak dzikowi pierś - upadam do nóg oko bystre.
M-AILABS_pol_000305	lalka_1_05_f000131	a pan Tomasz głęboko odczuwał to z wielkiemi trudnościami wydobywając pieniądze od swoich pełnomocników.
M-AILABS_pol_000306	saragossie_50_f000075	Nie ulega jednak wątpliwości że Hervas o każdej z tych nauk napisał jeden tom który zaczynał się od historii nauki
M-AILABS_pol_000307	saragossie_27_f000038	Miał dwóch synów którzy mu poumierali i cały jego majątek miał przejść na młodą hrabiankę de Liria jedyną córkę jego najstarszego syna.
M-AILABS_pol_000308	lalka_1_03_f000250	Ponieważ nie był nigdy fanfaronem więc chyba musi być bardzo wtajemniczony w politykę; a w takim razie siedzi w Bułgaryi nie przez miłość dla handlu.
M-AILABS_pol_000309	lalka_2_22_f000189	Ale co dotychczas robił pan Starski?
M-AILABS_pol_000310	lalka_2_22_f000186	Byli nawet ze sobą kilka dni dobrze i nawet Kazio na rachunek posagu zrealizował nowy weksel u pachciarza gdy wtem...
M-AILABS_pol_000311	lalka_3_08_f000018	- Przypuściwszy że wszystko stanie się według woli pani - rzekł - czy mnie przyjęłaby pani za towarzysza?- Jeżeli pan zasłuży.
