M-AILABS_pol_000164	saragossie_46_f000006	Wszelako żona moja pokazywała się tylko z chustką w ręku i rozpuszczonymi włosami.
M-AILABS_pol_000165	saragossie_44_f000099	Pani - rzeki wicekról - jedną z tych grup składają sami Meksykanie.
M-AILABS_pol_000166	saragossie_03_f000161	Naprzód zaczął mnie łechtać pod podeszwę nogi za którą mnie trzymał następnie piekielny potwór zdarł z niej skórę powyciągał wszystkie nerwy oczyścił ze krwi i jął przebierać po nich palcami jak gdyby po narzędziu muzycznym.
M-AILABS_pol_000167	lalka_1_19_f000147	Ale zamiast ocknąć się coraz głębiej zapadał w opętanie.
M-AILABS_pol_000168	saragossie_39_f000062	Warstwy tłuszczowe twego ciała są po prostu kombinacją materii palnych z pewnymi pierwiastkami powietrza.
M-AILABS_pol_000169	lalka_1_09_f000183	Rozumiem panie... Bóg... niech Bóg.
M-AILABS_pol_000170	saragossie_57_f000103	Niebawem z okna zeskoczył albo raczej ześliznął się na ulicę i jął stukać do moich drzwi. Stojąc w oknie zapytałem go kim jest i czego żąda. Zamiast odpowiedzi rzekł:
M-AILABS_pol_000171	lalka_2_27_f000180	Poszedł nad staw obleciał park wokoło jakby chcąc zgubić w drodze złe przeczucia.
M-AILABS_pol_000172	lalka_3_04_f000101	Pan Patkiewicz tym razem udał człowieka który ma bielmo na lewem oku i lewą część twarzy sparaliżowaną; pan Maleski zaś pogrążył się w głębokiem zamyśleniu.
M-AILABS_pol_000173	lalka_2_24_f000204	Czy i pan tak sądzi? Czy pan potrafiłby usunąć się od kogoś ktoby powiedział że pana kocha nad własną duszę
M-AILABS_pol_000174	lalka_3_08_f000031	Weszli rzędem jeden obok drugiego trzymając kapelusze na tej samej wysokości.
M-AILABS_pol_000175	lalka_2_20_f000192	Geist znowu otworzył szafę poszukał i wydobywszy mały skrawek metalu barwą przypominającego mosiądz podał Wokulskiemu mówiąc:
M-AILABS_pol_000176	lalka_2_11_f000018	Mały Napoleonek niby to siedzi w Anglii; ale przecież z Londynu do Paryża bliżej niż z Warszawy do Zamościa.
M-AILABS_pol_000177	lalka_2_10_f000053	Czytając panna Izabela była blada jak papier. Podniosła się od stołu zwinęła list i podniosła rękę jakby z zamiarem rzucenia go komuś w oczy.
M-AILABS_pol_000178	saragossie_41_f000002	Obudziłem się wcześnie i wyszedłem z namiotu aby ochłodzić się świeżym powietrzem poranku. Velasquez i Rebeka wyszli w tymże samym celu.
M-AILABS_pol_000179	saragossie_15_f000139	Posłyszałam jej westchnienia i sądziłam że jest chora.
M-AILABS_pol_000180	saragossie_56_f000082	Opuściłem ją i udałem się naprzód do mego nowego mieszkania które wydało mi się wygodne a nawet dość zbytkownie urządzone.
M-AILABS_pol_000181	lalka_3_10_f000100	Uspokoiła się jednak uwagą że dzisiejsza zmiana jest ostatnią że dotychczasowe jej upodobania polegały na omyłkach i że Apolo jeżeli mógł kogoś symbolizować to tylko Molinarego.
M-AILABS_pol_000182	lalka_2_07_f000103	Pan Łęcki wydobywa wspaniały pugilares z niego cały pęk szeleszczących dziesięciorublówek i jednę z nich daje zakrystyanowi który schyla się do ziemi.
M-AILABS_pol_000183	saragossie_41_f000026	Murzyni są niewolnikami mego pana. lub raczej byli nimi gdyż ziemia hiszpańska nie cierpi równie niewoli jak kacerstwa
M-AILABS_pol_000184	lalka_3_22_f000162	- I panna Izabela zaciągnęła się w ich szeregi?- To jest właściwie zaciągnęli ją... przykro mi to mówić ale panu mówię ażebyś wiedział o jakąto kobietę potknął się Wokulski.
M-AILABS_pol_000185	lalka_2_16_f000042	Patrzaj - mówi Suzin - to ulica Lafayette a ot bulwar Magenta.
M-AILABS_pol_000186	lalka_3_07_f000108	- Wszyscy trzej kochali się we mnie co wieczór każdy oświadczał mi się w takich godzinach ażeby nie przeszkadzać innym a później wszyscy trzej zwierzali się przed sobą ze swoich cierpień.
M-AILABS_pol_000187	lalka_2_07_f000118	Niepewny? A pan Wokulski to co?
M-AILABS_pol_000188	saragossie_07_f000208	Po tych słowach przeor zawołał braciszka i wydał mu stosowne rozkazy względem dalszego mego losu.
M-AILABS_pol_000189	lalka_1_02_f000039	Służący wbiegł ciężkim kłusem i zakręcił gaz. Po chwili rozległo się zgrzytanie ryglów szczękanie sztab i do sklepu wszedł dzień jedyny gość który nigdy nie zawodzi kupca.
M-AILABS_pol_000190	saragossie_24_f000041	Pierwszą nauką której się oddałem była część historii naturalnej zwana konchologią.
M-AILABS_pol_000191	saragossie_12_f000095	skacząc z jednego kamienia na drugi stanąłem na drugiej stronie i tuż przed sobą spostrzegłem dwie Cyganki które jednak wcale nie były moimi kuzynkami.
M-AILABS_pol_000192	saragossie_40_f000029	Srebrne monety nie miały więcej krążyć; rzekomo zamierzano zlać je w sztaby i odesłać do cesarskiego skarbca.
M-AILABS_pol_000193	saragossie_30_f000149	Synu mój. serce twoje przepełnia miłość której świat ten nie jest godny; pójdź do mojej celi tam ci pokażę ścieżki do raju.
M-AILABS_pol_000194	saragossie_58_f000063	Wierzaj mi pani - dodał Velasquez - mówię najszczerszą prawdę.
M-AILABS_pol_000195	lalka_1_20_f000193	W gabinecie hrabiego-anglika stał na środku stół przykryty zielonem suknem i otoczony czterema wysokiemi krzesłami;
M-AILABS_pol_000196	lalka_1_20_f000013	Plac wydawał mu się dzisiaj nieskończenie wielkim i przykrym jakby nad nim unosiło się widmo niepewności.
M-AILABS_pol_000197	saragossie_19_f000077	To ostatnie ozdobione wszelkimi powabami miłości stało się ukrytą i zarazem najdroższą z moich myśli bóstwem mojej wyobraźni.
M-AILABS_pol_000198	lalka_2_23_f000050	co na twarzy panny Felicyi wywołało nową seryą rumieńców a Ochockiego zmusiło do rzucenia wdówce kilku gniewnych spojrzeń.
M-AILABS_pol_000199	saragossie_61_f000019	Śród tych wypadków odebrałem list od księżniczki Avila. Podpisywała się już ksienią z Val Santa. List zawierał te jedynie wyrazy:
M-AILABS_pol_000200	lalka_2_11_f000186	Trochę pomagałem staremu a zresztą siedziałem. Nie głupim chodzić po mieście kiedy jest taka piwnica.
