M-AILABS_pol_000083	lalka_2_10_f000069	Czekaj! czekaj! wiesz że to może być prawda.
M-AILABS_pol_000084	lalka_2_13_f000027	Kiedy zgasł mój anioł myślałam że tylko ja jestem nieszczęśliwa.
M-AILABS_pol_000085	saragossie_02_f000040	Przyjąłem poczęstunek ale zaledwie uczułem wino w żołądku gdym doznał nagłego ściśnienia serca.
M-AILABS_pol_000086	saragossie_42_f000029	Często dopytywałem się o ciebie donosiłem ci nawet o sobie podczas gdy znajdowałeś się jeszcze przy kawalerze Toledo ale odtąd.
M-AILABS_pol_000087	lalka_3_16_f000098	- Dopóki siedziałem w czterech ścianach nudziłem się jak dyabeł w dzwonicy; a dziś ledwiem pokazał się w świecie już mam tysiące rozrywek.
M-AILABS_pol_000088	saragossie_19_f000124	Mowa ta uczyniła na mnie silne wrażenie. Osoba tak piękna obdarzona tak rzadkimi przymiotami i z kraju gdzie nie było embebecidów zdała mi się przeznaczona przez niebo dla mojego szczęścia.
M-AILABS_pol_000089	lalka_3_05_f000044	Ze Szprotem od tamtej afery coto o niej mówiłem jesteśmy na stopie obojętności ale z radcą witam się kordyalnie. A on do mnie:
M-AILABS_pol_000090	lalka_1_13_f000065	Kręciło się ich bestyjek wszystkiego ze dwadzieścia a jednak zrobiło się tak gorąco że nasi zakłuli i zarąbali trzech chłopów a chłopi zabili nam drągami huzara.
M-AILABS_pol_000091	lalka_1_03_f000206	Wolałbym dostać cięgi wszystkiemi dyscyplinami aniżeli znowu kiedy usłyszeć ten drżący głos i zobaczyć wylęknione spojrzenie pryncypała.
M-AILABS_pol_000092	lalka_3_01_f000045	- Co pan nazywasz fałszywą drogą? - pytam.
M-AILABS_pol_000093	lalka_1_06_f000126	Nie dziecko - odparł pan Tomasz prostując się. - My dopiero zaczniemy tryumfować i bodaj czy nie tego boi się moja siostra i jej koterya.
M-AILABS_pol_000094	lalka_2_25_f000110	Ten jest panem kasy kto posiada właściwy klucz do zamku baronie! - zakończył ze śmiechem.
M-AILABS_pol_000095	lalka_3_02_f000004	Kto wie czy po nowym roku mały Napoleonek nazywają go Lulu zrobi on wam lulu! nie przeniesie się z Anglii do Francyi... Prezydent Mac-Mahon za nim ks.
M-AILABS_pol_000096	saragossie_14_f000181	W istocie można powiedzieć że pani posiadasz raj na ziemi.
M-AILABS_pol_000097	saragossie_56_f000001	Dzień pięćdziesiąty piąty
M-AILABS_pol_000098	saragossie_17_f000094	Elwira wydała na świat dziewczynę którą widzisz tu ze mną.
M-AILABS_pol_000099	lalka_1_06_f000002	Początek kwietnia jeden z tych miesięcy które służą za przejście między zimą i wiosną.
M-AILABS_pol_000100	lalka_2_23_f000113	Czy i ty miałabyś chęć jechać z panem Julianem?
M-AILABS_pol_000101	saragossie_59_f000111	Dzięki mojej małoważności będę jeszcze mógł żyć w spokoju.
M-AILABS_pol_000102	lalka_2_16_f000108	Coś trzeba z niemi zrobić.
M-AILABS_pol_000103	lalka_3_23_f000176	- Astma?... - mruknął. - Muszę ja się na seryo wziąć do kuracyi.
M-AILABS_pol_000104	saragossie_16_f000120	Wszelako bogactwa nieznacznie odzyskały swoją przewagę; wszystkie gitary milkły gdy on grał i hrabia przewodził tak w rozmowie jak na koncertach.
M-AILABS_pol_000105	lalka_3_12_f000022	gdy zaś sprytny ojciec dał dziecku imię Izabeli Wokulski złożył dla niej pięćset rubli na posag.
M-AILABS_pol_000106	saragossie_44_f000157	Powstali przeciw mnie potężni nieprzyjaciele wpadłem w niełaskę ministerium dwór zaczął mi zagrażać; stawiłem dzielny opór.
M-AILABS_pol_000107	lalka_1_10_f000192	Panowie Klejn i Lisiecki cofnęli się za szafy i po krótkiej naradzie wrócili do sklepu od czasu do czasu rzucając na siebie smutne lecz wymowne spojrzenia.
M-AILABS_pol_000108	lalka_3_11_f000075	- Zamelduj mnie pani baronowej - rzekł pan Krzeszowski nieco przytłumionym głosem.
M-AILABS_pol_000109	lalka_2_23_f000046	I tak pan zjechał z drogi jak dziś wioząc nas.
M-AILABS_pol_000110	lalka_1_02_f000121	Prawe okno przeznaczone dla galanteryi zbytkownych mieściło zwykle jakiś bronz porcelanową wazę całą zastawę buduarowego stolika
M-AILABS_pol_000111	saragossie_65_f000050	Zresztą do zbadania ich byłem naówczas zbyt młody. Przepędziłem cały rok w podziemiach labiryntu jeździłem często do Kairu
M-AILABS_pol_000112	saragossie_57_f000100	Wyznaję że mocno byłem tym wszystkim zmieszany. Nazajutrz z niecierpliwością oczekiwałem północy.
M-AILABS_pol_000113	lalka_2_12_f000176	Milczenie. W piwnicy zrobiło się pusto.
M-AILABS_pol_000114	lalka_3_01_f000133	- Jeszcze nie ale już są na tropie i spodziewają się niedługo rozstrzygnąć kwestyą jego pobytu.
M-AILABS_pol_000115	lalka_3_08_f000111	Czy mógł jej nie obchodzić człowiek taki jak on nie dlatego że mu coś zawdzięczała ale że był nieszczęśliwy i że ją kochał.
M-AILABS_pol_000116	lalka_1_17_f000144	Wzdłuż alei Ujazdowskiej pod murem Belwederskiego ogrodu pod sztachetami od strony szpitala na ulicach najmniej uczęszczanych nawet na zagrodzonych ścieżkach wszędzie było pełno i wesoło.
M-AILABS_pol_000117	saragossie_41_f000016	Dopóki karawana mijała nas nie pomyśleliśmy o tym żeby zapytać kim są ci ludzie skoro jednak ostatni z nich przeszedł Rebeka rzekła:
M-AILABS_pol_000118	saragossie_44_f000146	O mężczyznach mówiła rzadko i to z wielką powściągliwością chyba że szło o pochwałę jakiegoś szlachetnego uczynku.
M-AILABS_pol_000119	lalka_1_19_f000065	Żebym ja pana nie znał tobym myśłał że pan robi zły interes; ale że ja pana znam więc ja sobie myślę co pan robi.
M-AILABS_pol_000120	lalka_1_16_f000061	Przychodził zawczasu a wtedy padał gdzieś na ławkę zalany zimnym potem i siedział bez ruchu z oczyma skierowanemi w stronę pałacu zapominając o świecie.
M-AILABS_pol_000121	saragossie_33_f000103	Ojciec mój człowiek surowy i nieugięty chciał abym oddał się wyłącznie zatrudnieniom kupieckim i nie myślał nawet o rozrywkach na jakie zwykle pozwalają sobie synowie bogatszych kupców z Kadyksu.
M-AILABS_pol_000122	saragossie_13_f000167	Cały dom składał się z jednej długiej izby której lepszą połowę zajmowały muły skromniejszą zaś podróżni.
M-AILABS_pol_000123	lalka_2_01_f000069	Z jednej strony król Zygmunt stojący na olbrzymiej świecy pochylał się ku Bernardynom widocznie pragnąc coś zakomunikować przechodniom.
M-AILABS_pol_000124	lalka_1_09_f000162	Nawet nie ma panie co płacić bo nas i tak wypędzą.
M-AILABS_pol_000125	saragossie_40_f000022	Przy nich stoją worki ze srebrem i złotem które otwierają dla żądających tego lub owego rodzaju pieniędzy.
M-AILABS_pol_000126	saragossie_46_f000050	Spokojnie choć nie bez żalu rozstanę się z tym światem na którym jak każdy człowiek doznałem wiele smutku ale i wiele szczęścia.
M-AILABS_pol_000127	lalka_1_02_f000106	Zkąd Rzecki znał podobne szczegóły z życia swoich współpracowników? Jest to tajemnica z którą przed nikim się nie zwierzał.
M-AILABS_pol_000128	saragossie_36_f000023	My tu w Egipcie wierzymy że bezwstydność ta jest symbolem oznaczającym nikczemność istoty materii i więcej nic w tej mierze nie wiemy.
M-AILABS_pol_000129	lalka_2_27_f000143	Wokulski podał jej kartkę; zaczęła czytać półgłosem:
M-AILABS_pol_000130	lalka_1_07_f000037	Teraz panna Izabela spostrzega ojca który siedzi przy niej i z uwagą ogląda sobie paznogcie od czasu do czasu rzucając okiem na krajobraz.
M-AILABS_pol_000131	lalka_2_15_f000153	Przysięgnę - dodała ciszej - że ona go już nie kocha choć sama nie wie o tem ale jestem pewna że... pojechałaby do niego gdyby ją wezwał!
M-AILABS_pol_000132	lalka_1_18_f000207	Choćby za dziewięćdziesiąt tysięcy a nawet i więcej - wtrącił Wokulski.
M-AILABS_pol_000133	saragossie_44_f000070	Matka porzucała nas szczęśliwych bogatych i jeszcze kochających się nawzajem.
M-AILABS_pol_000134	saragossie_20_f000180	Te jego ostatnie słowa wpoiły się w duszę Blanki i zaprawiły ją trucizną wyrzutów. Niebawem wpadła w głęboką melancholię.
M-AILABS_pol_000135	lalka_2_02_f000063	Cóż tam słychać? Czytam właśnie Supińskiego: tęga głowa! Tak narody nie umiejące pracować i oszczędzać zniknąć muszą z powierzchni ziemi...
M-AILABS_pol_000136	lalka_3_05_f000061	- Pan radca ma racyą! - dodał Szprot. - Tak wszystko ci żydzi zagarniają że wkońcu trzeba im będzie siłą odbierać dla utrzymania równowagi.
M-AILABS_pol_000137	lalka_3_15_f000088	Znowu zdawało mu się że już nie istnieje czas ani rzeczywistość i że jego raniona dusza uciekłszy z ziemi błądzi po jakichś czarodziejdzich krainach
M-AILABS_pol_000138	lalka_3_04_f000173	- Właściwie... ja nie w tem znaczeniu.
M-AILABS_pol_000139	saragossie_17_f000038	my zaś tymczasem wyjechaliśmy do Villaca.
M-AILABS_pol_000140	saragossie_15_f000064	Spojrzenia brata wywoływały na lica moje niewytłumaczony rumieniec. Tym sposobem przeszło osiem dni.
M-AILABS_pol_000141	lalka_1_05_f000123	ją boginię przed którą gięli się marszałkowie i senatorzy zdjęła trwoga.
M-AILABS_pol_000142	lalka_3_09_f000040	ani Wokulski... Wszyscy bankrutujecie wszyscy... Całe szczęście że wasze miejsca zajmują świeże siły.
M-AILABS_pol_000143	saragossie_08_f000101	Sylwia ułagodziła moje rozbójnicze serce które jednak wkrótce miało odzyskać dawną srogość.
M-AILABS_pol_000144	saragossie_28_f000018	Tej nocy - odpowiedziałem - porwali je uczniowie doktora Sangre Moreno.
M-AILABS_pol_000145	lalka_1_09_f000010	Wokulski idąc poczuł jakąś niewygodę; lecz dopiero zastanowiwszy się osądził że męczy go ciągłe ustępowanie z drogi;
M-AILABS_pol_000146	lalka_2_14_f000085	I myślę - dodałem - że ten młody człowiek pod względem niepłacenia komornego dotrzyma słowa co?
M-AILABS_pol_000147	saragossie_13_f000121	czyli don Filip z ogromnego kałamarza prawdziwe zaś jego nazwisko Avadoro znane było zaledwie kilku osobom.
M-AILABS_pol_000148	lalka_1_18_f000014	Im zrobisz pan to bezwzględniej tem pewniej cię pokocha. Pamiętaj pan!
M-AILABS_pol_000149	lalka_2_09_f000223	Dziś jednak kiedym go poznała trochę lepiej widzę że nie należy do tej kategoryi ludzi których można się lękać.
M-AILABS_pol_000150	saragossie_30_f000205	Twoje rysy moje dziecię przypominają mi twarz kobiety której historię ci opowiem.
M-AILABS_pol_000151	lalka_1_11_f000246	To na nic. Byłam przecie w szwalni. Ale z ośmiu rubli na miesiąc nikt nie wyżyje. Wreszcie - jestem tyle jeszcze warta że mogę nikogo nie obszywać.
M-AILABS_pol_000152	saragossie_25_f000058	Moje dziecię moje kochane dziecię porzuć te rachunki ucz się sarabandy mój przyjacielu ucz się lepiej sarabandy.
M-AILABS_pol_000153	saragossie_10_f000046	Przyznawanie się do tego jest cokolwiek niebezpieczne w Hiszpanii ale poza tym że ufam waszej uczciwości uprzedzani was że nie tak łatwo byłoby mi zaszkodzić.
M-AILABS_pol_000154	lalka_2_25_f000104	Ale widzi pan - zaczął po chwili - ten Starski to obrzydliwa figura.
M-AILABS_pol_000155	lalka_1_06_f000104	Dręczyły ją inne pytania: czyby nie oddać serwisu hrabinie Karolowej - i - zkąd ojciec ma pieniądze? Jeżeli miał je dawniej dlaczego pozwolił na zaciąganie długów u Mikołaja?
M-AILABS_pol_000156	saragossie_62_f000051	Chcieliście abym wam opowiedział moje przygody pragnę abyście teraz nie żałowali waszej ciekawości.
M-AILABS_pol_000157	saragossie_16_f000076	Każdy dostawał swoją część i mniemam że gdyby byli słyszeli co o nich mówiono nazajutrz żaden nie byłby powrócił.
M-AILABS_pol_000158	saragossie_44_f000045	Elwira od pierwszych lat życia mówiła tylko o miłości należało mi zatem zrozumieć że - zamiłowana w rozmowie o tym przedmiocie nie tylko ze mną będzie o nim rozmawiała.
M-AILABS_pol_000159	saragossie_11_f000111	Im więcej oddawałam się złudzeniu tym bardziej ta igraszka mnie bawiła.
