M-AILABS_ukr_000211	zvirobij_s004500	Прямокутно обтесані з трьох боків, ці колоди мали на кінцях великі шипи.
M-AILABS_ukr_000212	zahar_berkut_s000342	Але постійте ви, хамове плем'я, пізнаєте ви, з ким маєте діло! Тугар Вовк - се не тухольський вовк, він і тухольським медведям зуміє показати зуби!
M-AILABS_ukr_000213	voly_14_f000007	Стоїть він на току з ціпом, - аж приходить десятник з волості. Чого йому треба? - подумав Чіпка і прикро глянув десятникові в вічі.
M-AILABS_ukr_000214	mykola_djerya_s000854	Всі рибалки почали знімать здоровий невід і складали на човен.
M-AILABS_ukr_000215	tini_zabutyh_predkiv_s000618	Ігі на тебе! Ти, обмініннику. Щез би у озеро та в тріски!
M-AILABS_ukr_000216	zvirobij_s003629	Вони порожні, мов горіх, що півгодини був у вивірчиних зубах.
M-AILABS_ukr_000217	transformations_s000862	Лише коли жінки брали його під пахви, він відкривав очі, дивився поперемінно то на матір, то на сестру і говорив: Ось воно, життя.
M-AILABS_ukr_000218	voly_25_f000008	- Якби знала, не заходжувалася б і коло вечері. Хоч би був у хату наплював, сказав - чи дома ночуватиме, чи знову повіється на всю ніч.
M-AILABS_ukr_000219	voly_10_f000228	Дівчата ще нижче, до самого шитва, понагинали голови. На п'яльці закапали сльози.
M-AILABS_ukr_000220	fata_morgana_s000654	Буде з нього і одного зуба, що вибив земський.
M-AILABS_ukr_000221	fata_morgana_s000779	Бити й палити. Як хочеш, пане добродзею, покушать меду, викури бджіл.
M-AILABS_ukr_000222	mykola_djerya_s001205	там ніби потонуло в вербах село Вербівка.
M-AILABS_ukr_000223	chorna_rada_s000884	Як се? Ти одступаєшся од бранки?
M-AILABS_ukr_000224	15YO_Capitan_s001820	Полонені мали брести сотні миль та ще й під ударами нагаїв хавільдарів - так звалися Їхні наглядачі.
M-AILABS_ukr_000225	15YO_Capitan_s003748	Малий Джек прокинувся і обійняв матір рученятами за шию.
M-AILABS_ukr_000226	15YO_Capitan_s004013	Він, безперечно, не наважився мандрувати сам густим лісом, через який текла звивиста річка.
M-AILABS_ukr_000227	zahar_berkut_s000115	Ну, ну,- задобрював їх Тугар Вовк,- я ж не бажаю вам того, а тілько кажу, що се не було би добре. І власне, щоб вас охоронити від такої долі,
M-AILABS_ukr_000228	voly_28_f000047	Посеред довгої й широкої зали стояв довгий стіл, засланий червоним сукном, облямованим золотою гальонкою, з золотими китицями.
M-AILABS_ukr_000229	chorna_rada_s002734	Брюховецького!
M-AILABS_ukr_000230	15YO_Capitan_s001432	ось перешкоди, які постають на шляху мандрівників до Анголи, однієї з найнебезпечніших областей Екваторіальної.
M-AILABS_ukr_000231	voly_12_f000263	Другі й собі підняли голос за москалів: давай шинкаря лаяти, ганьбувати; страхали, що більше в його ні чарки горілки не вип'ють.
