M-AILABS_ukr_000075	voly_08_f000084	Оже важчим здається Івасеві тихе, люб'язне материне слово, ніж суворе та грубе батькове.
M-AILABS_ukr_000076	voly_26_f000057	Крила у них сизі, груди червоні, хвостики чорні, носики немов з тіла - біло-рум'яні, а очі з червоного намиста світили на всю хату, коли ударяв у них сонячний промінь або стяжка од світла.
M-AILABS_ukr_000077	voly_29_f000193	Зійшлися люди не тільки з Пісок, прийшли й з хуторів.
M-AILABS_ukr_000078	dorogoyu_tsinoyu_s000982	аби не відстати від Соломії.
M-AILABS_ukr_000079	15YO_Capitan_s000909	Та через три дні повіяв дужий ост, і шхунабриг змушена була змінити курс, щоб іти проти вітру.
M-AILABS_ukr_000080	fata_morgana_s001118	Він на все згоден. Як забастовка, то забастовка. Гірше не буде.
M-AILABS_ukr_000081	zvirobij_s002246	Тепер старий занепокоївся трохи, думаючи про долю своїх дочок, а може, ще більше про долю човника.
M-AILABS_ukr_000082	chorna_rada_s002946	У того й думка, й серце у законі господньому, поучається він закону божому день і ніч, а в такого ледачого, як я, хоч би думка і так і сяк, так серце не туди тягне.
M-AILABS_ukr_000083	zvirobij_s002519	Пошукаймо ліпше твого приятеля, Плавучого Тома, бо інакше ми не помітимо, де він сховався в цих прибережних нетрях.
M-AILABS_ukr_000084	koni_nevynni_s000108	Аркадій Петрович, широкий у своїй блузі, як дзвін, вступив у столову.
M-AILABS_ukr_000085	mykola_djerya_s001593	а Бродовський був наймитом.
M-AILABS_ukr_000086	mykola_djerya_s000671	то пшеницею, то кукурудзою, то зеленою травою.
M-AILABS_ukr_000087	15YO_Capitan_s001917	Там уже сиділо тисячі півтори рабів, чекаючи ярмарку, що мав зібратись через два дні.
M-AILABS_ukr_000088	chorna_rada_s001115	Доїжджають до табора, аж у таборі ще оддалеки чути гомін, галас. Приїжджають ближче, аж округи табора жодних бекетів. Козаки змішались, як у бразі гуща;
M-AILABS_ukr_000089	zahar_berkut_s001274	І хоч мід пінився в точених дерев'яних кубках, хоч м'ясо, печене на рожнах, димилось на дерев'яних тарілках, хоч щирі, товариські слова гомоніли від одного кінця стола до другого,
M-AILABS_ukr_000090	zahar_berkut_s001238	Які щасливі були трупи! Вони, хоч покалічені, носили на собі образ і подобу людську,- а його оці пута в одній хвилі зробили скотиною, невольником!
M-AILABS_ukr_000091	kaydasheva_s002020	Всі вони троє пішли шукати тієї церкви на Подолі, що стояла під самою Андріївською горою, але таких церков було доволі. Вони ходили, розпитували в людей і зайшли на той цвинтар, де жила Мелашка.
M-AILABS_ukr_000092	chorna_rada_s001289	Почалося воно ще за оних славних предків наших варягів, що морем і полем слави у всього світу добули. От же ніхто з козацтва не покаляв тої золотої слави - ні козак Байда,
M-AILABS_ukr_000093	zvirobij_s006082	Уатауа дочка могіканів: вона знає, що чоловіка треба слухатися.
M-AILABS_ukr_000094	mykola_djerya_s000324	Нимидора, - сказав Микола. - Сьогодні вона з нами жала жито на лану.
M-AILABS_ukr_000095	15YO_Capitan_s000647	Тож їх спершу перепроваджують до факторій на східному або західному березі Африки, а звідти вивозять на місце.
M-AILABS_ukr_000096	15YO_Capitan_s004169	Повернувшись до Курумана, він одружився з дочкою Моффата і одна тисяча вісімсот сорок три року заснував місію в долині Маботса.
M-AILABS_ukr_000097	fata_morgana_s001234	Ну, дав бог неділю, можна спочити. Маланка сіла на призьбу і поклала на коліна руки. Андрій кудись подався; Гафійка на музиках, а в хаті сумно.
M-AILABS_ukr_000098	dorogoyu_tsinoyu_s000985	Чи живого, чи мертвого, а таки з'їсть вовк або сточать хробаки у сих нетрях. Чи не однаково?
M-AILABS_ukr_000099	kaydasheva_s001199	З хати вибігла Кайдашиха просто од печі з кочергою в руках. Вона вгляділа, що Мотря підняла деркач угору і ладна вперіщити Мелашку, і махнула на Мотрю кочергою.
M-AILABS_ukr_000100	voly_01_f000050	Дві чорні брови, мов дві чорні п'явки, повпивалися над очима, злегенька прикритими довгими густими віями.
