M-AILABS_ukr_000000	voly_17_f000303	- Та хоч карбованців п'ять.
M-AILABS_ukr_000001	minestreli_s000109	Наразі бандурист Кость Черемський здійснює ґрунтовне дослідження трагічної долі кобзарства за радянської доби.
M-AILABS_ukr_000002	chorna_rada_s002353	Покинувши дочці своє пораннє коло печі, сіла сердешна мати кінець стола да так же то гірко почала плакати,
M-AILABS_ukr_000003	voly_28_f000333	Нікому за його оступитися! Вони себе знають. своє панське кодло знають.
M-AILABS_ukr_000004	transformations_s000697	Подумати тільки, що за напасть! Ще вчора ввечері я почував себе чудово, мої батьки це підтвердять, ні, вірніше, уже вчора ввечері в мене з'явилося якесь передчуття.
M-AILABS_ukr_000005	voly_06_f000141	- Не знаю! - промовила вона. Та як сполохнута перепелка, разом зірвавшись з гніздечка, прожогом пурхає вгору, - так вона одскочила від його і - тільки оком моргнути - майнула подовж жита.
M-AILABS_ukr_000006	mykola_djerya_s001246	Молоде пагоння на горіхах на гарячому сонці вже повиганялось на сажень вгору, ніби сходило на дріжджах. Вся оселя зеленіла й пахла, ніби квітник.
M-AILABS_ukr_000007	fata_morgana_s001859	Хома тихенько сміється. Смішок добувсь йому з горла та покотився по зморшках обличчя, і наче легше від того зробилось, наче випік вогонь у грудях болюче місце.
M-AILABS_ukr_000008	fata_morgana_s000677	Чули? Та чули.
M-AILABS_ukr_000009	zvirobij_s007242	Ну, Звіробою, я до них не належу, - відповіла Гетті просто.
M-AILABS_ukr_000010	zahar_berkut_s001208	Але в Тухольщині збірщик князівських податків не був таким самовладним паном, як по інших селах.
M-AILABS_ukr_000011	zvirobij_s007211	Довіра за довіру, хоч би з ким ми мали справу - з червоношкірим чи з християнином.
M-AILABS_ukr_000012	voly_20_f000209	А тут ще їм і землю й волю дають. На цеп їх, а не на волю!
M-AILABS_ukr_000013	15YO_Capitan_s001926	Лага на Пілігримі не було, але Дік Сенд умів визначати швидкість корабля за кільватером.
M-AILABS_ukr_000014	voly_26_f000117	- Наймичку? - питає, здивувавшись, Галя. - Навіщо? Щоб вона своїми нечистими руками тобі страву готувала? Хай їй!
M-AILABS_ukr_000015	fata_morgana_s001081	Там не було розгадки і не було надії. Тоді звірячий жах підняв його на ноги, і він кинувсь тікати наосліп, сходячи кровю, що червонила пальці і стікала вздовж ногавиці на землю.
M-AILABS_ukr_000016	zahar_berkut_s002112	то нічого вже й моє слово вам не поможе, то вже пропали наші громади, пропала наша Русь!
M-AILABS_ukr_000017	zvirobij_s004835	Вітаю, вас, молодий чоловіче, - пробурчав Том, подаючи юнакові тверду, костисту руку, як доказ своєї щирості.
M-AILABS_ukr_000018	voly_28_f000264	- А вам спиться? - неласкаво одказав він. У голосі його забренчала давня туга. Материне сері почуло її зразу - і злякалося.
M-AILABS_ukr_000019	zvirobij_s000368	Він чекатиме нас.
M-AILABS_ukr_000020	koni_nevynni_s000088	Мишко, аvanti!
M-AILABS_ukr_000021	zvirobij_s000534	Не скажу, що я королева цієї країни, - вона живе ген-ген у далеких землях,
M-AILABS_ukr_000022	chorna_rada_s000843	І взяв її за руку і поцілував, як дитину.
M-AILABS_ukr_000023	voly_04_f000157	- От, коли б я піймав! .Я б йому голову скрутив, як горобеняті!
M-AILABS_ukr_000024	zvirobij_s002403	І те, чим став під холодом років.
M-AILABS_ukr_000025	15YO_Capitan_s000028	Прошу вибачення у цих добродіїв, - докинув він з ноткою іронії в голосі, як говорять американці з південних штатів, звертаючись до негрів.
M-AILABS_ukr_000026	chorna_rada_s001996	ніж ізмагатись без пуття із завзятим дідуганом.
M-AILABS_ukr_000027	15YO_Capitan_s001297	На завершення опису цього дивака слід додати, що він супроводив містера й місіс Велдон до Нової Зеландії зновтаки через свою пристрасть до ентомології.
M-AILABS_ukr_000028	voly_14_f000257	Се мені хліб. Я знов писатиму. Мене тільки зачепи, - возом не об'їдеш.
M-AILABS_ukr_000029	kaydasheva_s000896	Кайдаш ухопив кочергу й замірився на молодиць; вони його ніби й не бачили і все репетували та лаялись. Старий Кайдаш постив, бо тоді була п'ятниця. Він був голодний та сердитий. Жіночий крик дратував його.
M-AILABS_ukr_000030	dorogoyu_tsinoyu_s000330	Він дратував її. Коли б у неї був серп або ніж, вона різала б його доти, поки б він не поліг увесь або вона сама не впала трупом.
M-AILABS_ukr_000031	15YO_Capitan_s000920	Інший? Так, і цей інший був дядечко Тобі. А хто він - ентомолог? - зацікавлено спитав кузен Бенедикт.
M-AILABS_ukr_000032	zvirobij_s004055	Буде жахливо, Звіробою, - раптом вигукнула дівчина, - якщо з батьком і Гетті щось трапиться! Ми не можемо спокійно тут сидіти, доки вони в руках ірокезів.
M-AILABS_ukr_000033	zvirobij_s008083	кого він збирався покинути, ніж про те, що чекало його по той бік життя.
M-AILABS_ukr_000034	chorna_rada_s000990	Мабуть, тоді вже така година була, що й тут якось не було ладу ні між жінками, ні між чоловіками.
M-AILABS_ukr_000035	zvirobij_s007327	Добре так думати і, можливо, добре так говорити, але недобре було б,
M-AILABS_ukr_000036	zvirobij_s002133	Гадаю, Грехем скоро знайде вільну хвилину, аби подивитися на мою рану.
M-AILABS_ukr_000037	voly_28_f000094	- Кого вибрали? куди? - почувши останнє слово, питає Мотря, висунувшись у вікно.
