M-AILABS_ita_000000	galatea_04_barrili_f000061	Io non mi basto;
M-AILABS_ita_000001	mattiapascal_05_pirandello_f000276	dava cioè qualche centinajo di lire per farle tentar la sorte.
M-AILABS_ita_000002	ritrattodeldiavolo_12_barrili_f000399	al biancheggiare dei nitidi borghi in lontananza, al luccicare dei fiumi
M-AILABS_ita_000003	ritrattodeldiavolo_11_barrili_f000128	Ma egli non cercava più di consolarlo, come faceva in principio.
M-AILABS_ita_000004	imalavoglia_12_verga_f000346	- Le donne bisogna lasciarle dire, e far le cose di nascosto;
M-AILABS_ita_000005	mattiapascal_08_pirandello_f000159	Tre, quattro, cinque, in Austria, in Francia, in Italia... anche in Russia?
M-AILABS_ita_000006	ritrattodeldiavolo_02_barrili_f000173	Siete lasagnoni, buoni a nulla.... Cioè, mi correggo; siete buoni a far chiacchiere;
M-AILABS_ita_000007	la_contessa_di_karolystria_6_ghislanzoni_f000080	I suoi occhi bigi nuotavano entro due solchi azzurrognoli.
M-AILABS_ita_000008	mattiapascal_10_pirandello_f000474	A un certo punto, la luna, declinando, si mostrò nel vano della mia finestra, proprio come se volesse spiarmi
M-AILABS_ita_000009	meraviglieduemila_15_salgari_f000090	Il capitano deve aver avvertito gli abitanti del nostro arrivo;
M-AILABS_ita_000010	mattiapascal_12_pirandello3_f000164	e di questo, se la voce della ragione avesse potuto parlare in me, in quei giorni, io avrei dovuto ringraziarlo con tutto il cuore.
M-AILABS_ita_000011	meraviglieduemila_01_salgari_f000219	però tu non sei un coniglio e poi cento anni non sono quattordici - disse Brandok.
M-AILABS_ita_000012	mattiapascal_05_pirandello_f000380	Pensai subito che fosse quel mio spagnuolo, e ne provai rimorso.
M-AILABS_ita_000013	imalavoglia_12_verga_f000035	piuttosto che comprare, tutti avrebbero voluto vendere le loro barche, e più nuove della Provvidenza.
M-AILABS_ita_000014	galatea_11_barrili_f000089	non mi pareva il momento.
M-AILABS_ita_000015	ritrattodeldiavolo_13_barrili_f000078	--Se Spinello ha avuto dei torti con voi, dovete dimenticarli.
M-AILABS_ita_000016	ritrattodeldiavolo_12_barrili_f000137	Messer Lapo non poteva citare il caso di Ginevra degli Amieri, che era ancora di là da venire.
M-AILABS_ita_000017	ritrattodeldiavolo_03_barrili_f000186	Se mi vien fatto un bel partito, sarà segno che l'avrò meritato.
M-AILABS_ita_000018	meraviglieduemila_16_salgari_f000129	- Lasciate che si scannino - disse Brandok.
M-AILABS_ita_000019	imalavoglia_02_verga_f000106	e la povera donna non sentendosi il cuore di lasciar la bestiola sulla strada a quellora
M-AILABS_ita_000020	imalavoglia_15_verga_f000105	e non avrebbe cangiato lo zio Crocifisso con Vittorio Emanuele in carne ed ossa, neanche se lavessero tirata pei capelli.
M-AILABS_ita_000021	imalavoglia_01_verga_f000153	Veramente i lupini erano un po avariati;
M-AILABS_ita_000022	imalavoglia_15_verga_f000370	Lo so che voi siete nata meglio di me, e siete figlia di padroni;
M-AILABS_ita_000023	meraviglieduemila_07_salgari_f000014	- chiese il pronipote del dottore, guardandoli un po ironicamente.
M-AILABS_ita_000024	ritrattodeldiavolo_01_barrili_f000061	una volta fra l'altre erano stati discacciati da Firenze i Ghibellini.
M-AILABS_ita_000025	la_contessa_di_karolystria_0_ghislanzoni_f000061	quanti romanzieri dissimili da lui grandeggiarono e ottennero la ammirazione del mondo!
M-AILABS_ita_000026	imalavoglia_07_verga_f000126	suo figlio è in piazza senza far nulla, e non hanno da mangiare.
M-AILABS_ita_000027	meraviglieduemila_10_salgari_f000035	- Conoscete dunque gli esquimesi? - Benissimo.
M-AILABS_ita_000028	galatea_15_barrili_f000146	--Io sono ora un po' stanco.
M-AILABS_ita_000029	ritrattodeldiavolo_01_barrili_f000054	Ma in quei tempi di vita rigogliosa per l'arte, era una festa aver gente dattorno
M-AILABS_ita_000030	meraviglieduemila_01_salgari_f000089	- Tu dunque non conosci questo fiore, quantunque tu abbia assai viaggiato?
M-AILABS_ita_000031	galatea_09_barrili_f000003	--Perchè non è venuto ai burattini, iersera?
M-AILABS_ita_000032	imalavoglia_15_verga_f000278	e quelle galline che la conoscevano soltanto allaprire che faceva il rastrello, e la Longa che la chiamava pel cortile
M-AILABS_ita_000033	galatea_19_barrili_f000178	Domattina, domattina la vedrò, quella cara puntigliosa, se si risolverà di uscire a passeggio.
M-AILABS_ita_000034	imalavoglia_13_verga_f000485	egli tornava a dire che non aveva nulla da perdere, e dovevano pensarci gli altri più di lui;
M-AILABS_ita_000035	mattiapascal_06_pirandello_f000017	L'aria di campagna farebbe certamente bene a mia moglie.
M-AILABS_ita_000036	galatea_19_barrili_f000101	neanche mi vennero sul tema della contessa Quarneri e della sua fuga da Corsenna.
