M-AILABS_ita_000112	galatea_20_barrili_f000052	Intanto non gli neghiamo il visto, si approva. GALATEA.
M-AILABS_ita_000113	ritrattodeldiavolo_05_barrili_f000331	Secondo lui, le parti mobili del viso sono gli occhi e le labbra.
M-AILABS_ita_000114	mattiapascal_10_pirandello_f000133	sorrise lievemente del suo solito sorriso dolce e mesto, e disse: - Che vuoi che sappia io dell'aria dei vedovi?
M-AILABS_ita_000115	galatea_13_barrili_f000147	Il paese nondimeno è più vasto;
M-AILABS_ita_000116	mattiapascal_16_pirandello_f000141	Uno però avanzava la supposizione che ci fosse di mezzo una ragione intima
M-AILABS_ita_000117	ritrattodeldiavolo_05_barrili_f000024	Sapete che lui s'era messo in capo di darla ad un pittore.
M-AILABS_ita_000118	meraviglieduemila_12_salgari_f000115	- Dobbiamo spingerci prima fin sulle coste dellIrlanda per deporre nella città sottomarina un pericoloso galeotto che ci è stato consegnato dalle autorità norvegesi di Bergen e che è suddito inglese.
M-AILABS_ita_000119	imalavoglia_01_verga_f000117	Le altre si tenevano i fianchi dal ridere, e dallora in poi le ragazze inacidite lo chiamarono cetriuolo.
M-AILABS_ita_000120	imalavoglia_08_verga_f000139	- tutto sta a prendere Piedipapera per il collo, e in un giorno buono.
M-AILABS_ita_000121	imalavoglia_12_verga_f000154	Quando poi avrebbero maritato le ragazze e ricomperata la casa, se potevano metter su anche la barca
M-AILABS_ita_000122	imalavoglia_13_verga_f000118	Già, nessuno ne vuole di noi altri, ora che non abbiamo più niente.
M-AILABS_ita_000123	mattiapascal_03_pirandello_f000307	Il suo uomo era riuscito a far la prova che non mancava per lui aver figliuoli;
M-AILABS_ita_000124	galatea_01_barrili_f000002	Rinaldo a Filippo. Corsenna, Sette luglio Mille Ottocento...
M-AILABS_ita_000125	la_contessa_di_karolystria_4_ghislanzoni_f000059	e noi, naturalmente, abbiamo già preparati i letti e addobbate le camere per alloggiare monsignore ed il suo seguito.
M-AILABS_ita_000126	meraviglieduemila_08_salgari_f000110	- Sono io - rispose il nipote di Toby, muovendogli incontro.
M-AILABS_ita_000127	imalavoglia_03_verga_f000002	Dopo la mezzanotte il vento sera messo a fare il diavolo, come se sul tetto ci fossero tutti i gatti del paese, e a scuotere le imposte.
M-AILABS_ita_000128	mattiapascal_05_pirandello_f000363	Ma perché sarei andato a cercar tanto lontano la Fortuna, quand'essa pareva proprio che avesse voluto fermarmi qua
M-AILABS_ita_000129	meraviglieduemila_08_salgari_f000074	- Avevano delle lumache, forse.
M-AILABS_ita_000130	mattiapascal_13_pirandello_f000070	- Lo dice a me? - fece Papiano.
M-AILABS_ita_000131	la_contessa_di_karolystria_3_ghislanzoni_f000108	Il doganiere era quello stesso fate di sovvenirvene, al quale il visconte, al momento del suo arresto
M-AILABS_ita_000132	mattiapascal_10_pirandello_f000141	Confesso che provai gusto che quella conversazione finisse così male.
M-AILABS_ita_000133	imalavoglia_02_verga_f000073	- Don Silvestro fa le uova doro, laggiù al Municipio, - rispose Piedipapera.
M-AILABS_ita_000134	ritrattodeldiavolo_13_barrili_f000263	A voi, Tuccio, sarà grande fortuna di lavorare con un tant'uomo;
M-AILABS_ita_000135	galatea_13_barrili_f000167	Quanto a te, caro, ti tengo.
M-AILABS_ita_000136	galatea_06_barrili_f000249	--Di che cosa le parlava con tanto ardore la signora Quarneri? --mi chiede.
M-AILABS_ita_000137	ritrattodeldiavolo_09_barrili_f000077	E voi già immaginate, o lettori, che la cosa giunse all'orecchio di monna Ghita.
M-AILABS_ita_000138	meraviglieduemila_01_salgari_f000387	- Che cosa fai, Toby? - chiese Brandok.
M-AILABS_ita_000139	mattiapascal_14_pirandello_f000158	- Possibile? - esclamai, dopo aver contato, passandomi le mani tremanti su la fronte ghiaccia di sudore.
M-AILABS_ita_000140	imalavoglia_07_verga_f000391	Ora laggiusto io questa faccenda.
M-AILABS_ita_000141	meraviglieduemila_04_salgari_f000031	- E gli eserciti non ne fanno più uso? - chiese il dottor Toby.
M-AILABS_ita_000142	ritrattodeldiavolo_09_barrili_f000095	Ma non badò più che tanto a quel segno di curiosità femminile.
M-AILABS_ita_000143	ritrattodeldiavolo_11_barrili_f000398	I due viandanti passarono davanti alla mora che nascondeva Spinello.
M-AILABS_ita_000144	imalavoglia_12_verga_f000101	Brasi Cipolla, giacché era di chi se lo pigliava;
M-AILABS_ita_000145	mattiapascal_03_pirandello_f000035	- Non ammetto, - diceva, - che per il momentaneo piacere che prova la gola al passaggio d'un boccone
M-AILABS_ita_000146	imalavoglia_02_verga_f000078	- Che ce la dareste voi vostra nipote Mena? - disse alfine padron Cipolla volgendosi a padron Antoni.
M-AILABS_ita_000147	imalavoglia_13_verga_f000438	- Io non voglio dannarmi lanima per voi;
M-AILABS_ita_000148	mattiapascal_13_pirandello_f000241	pàffete, acchiappato! Perché e innegabile, sa, signor Meis
M-AILABS_ita_000149	mattiapascal_08_pirandello_f000003	Del primo inverno, se rigido, piovoso, nebbioso, quasi non m'ero accorto tra gli svaghi de' viaggi e nell'ebbrezza della nuova libertà.
M-AILABS_ita_000150	galatea_07_barrili_f000143	L'altra sera, passando per istrada, incontrai tutta la comitiva delle signore e dei cavalieri
M-AILABS_ita_000151	mattiapascal_13_pirandello_f000199	Ma un bel bacione sonoro le fu scoccato su la guancia.
M-AILABS_ita_000152	ritrattodeldiavolo_03_barrili_f000314	Mi par di sentire il suo passo per le scale.
M-AILABS_ita_000153	mattiapascal_16_pirandello_f000237	- Aspetta: c'è di là mio cognato. Te lo spiegherà meglio lui, che è dottore in legge. Vieni...
M-AILABS_ita_000154	ritrattodeldiavolo_12_barrili_f000580	le sue grida disperate si perdettero nel gran silenzio della notte.
