M-AILABS_ita_000224	meraviglieduemila_18_salgari_f000106	adagiandosi verso la spiaggia che era improvvisamente comparsa dopo lultimo colpo di mare.
M-AILABS_ita_000225	meraviglieduemila_17_salgari_f000202	- Non udite come picchiano contro le pareti della città?
M-AILABS_ita_000226	galatea_01_barrili_f000001	GALATEA DI ANTON GIULIO BARRILI Capitulo Primo.
M-AILABS_ita_000227	imalavoglia_01_verga_f000019	poi suo figlio Bastiano, Bastianazzo
M-AILABS_ita_000228	mattiapascal_15_pirandello_f000427	Sorpreso, perplesso, quegli stette un po' a squadrarmi, poi si voltò verso i compagni
M-AILABS_ita_000229	mattiapascal_02_pirandello_f000156	pure in sonetti, d'un altro scioperatissimo che aveva avuto il coraggio di nascondersi sotto il nome di Caton l'Uticense.
M-AILABS_ita_000230	mattiapascal_17_pirandello_f000088	lasciando, nello scompiglio, la piccina in braccio a me accorso con loro.
M-AILABS_ita_000231	galatea_19_barrili_f000285	ma voleva padroneggiarsi, e ne venne a capo.
M-AILABS_ita_000232	mattiapascal_04_pirandello_f000379	Tre giorni dopo Roberto, come se avesse voluto pagarmi le lagrime, mi mandò cinquecento lire.
M-AILABS_ita_000233	ritrattodeldiavolo_11_barrili_f000032	per ricondursi a più semplici dimostrazioni di gioia, a Tuscolo, a Lanuvio, ad Arpino.
M-AILABS_ita_000234	meraviglieduemila_14_salgari_f000038	- Dai cinque agli otto chilometri allora - rispose Holker.
M-AILABS_ita_000235	ritrattodeldiavolo_12_barrili_f000367	--Sempre; --rispose ella con un filo di voce. --Angelo, ed io l'ho meritato, sapete?
M-AILABS_ita_000236	ritrattodeldiavolo_06_barrili_f000014	per confortare l'amico, si faceva capannello intorno ad un pezzo grosso, che era fategli di berretta! messer Lapo Buontalenti.
M-AILABS_ita_000237	ritrattodeldiavolo_04_barrili_f000200	ma gli è come le pere spine, brutte di fuori e buone di dentro.
M-AILABS_ita_000238	la_contessa_di_karolystria_8_ghislanzoni_f000070	si mise in posizione da poter collo sguardo dominare un gran tratto della piazza.
M-AILABS_ita_000239	mattiapascal_17_pirandello_f000045	- Il figlio! il figlio! - mi corressi subito, riprendendo a salire.
M-AILABS_ita_000240	ritrattodeldiavolo_12_barrili_f000377	Fiordalisa fremette a quelle parole di minaccia.
M-AILABS_ita_000241	meraviglieduemila_16_salgari_f000204	mentre le onde attraversavano velocemente la cupola lasciando cadere entro il pozzo dei torrenti dacqua
M-AILABS_ita_000242	imalavoglia_02_verga_f000284	- Eh! vermicelli fritti stasera, don Giammaria!
M-AILABS_ita_000243	meraviglieduemila_01_salgari_f000066	Chissà quali meraviglie avranno inventato allora gli uomini.
M-AILABS_ita_000244	ritrattodeldiavolo_11_barrili_f000413	--E così, messere,--gli chiedevano,--avete voi ideata la composizione che Pistoia potrà ammirare nella nostra vecchia cattedrale?
M-AILABS_ita_000245	galatea_18_barrili_f000352	--Ella abusa della forza fisica.
M-AILABS_ita_000246	mattiapascal_16_pirandello_f000158	Quel ch'io provassi nel rivedere la mia bella riviera, in cui credevo di non dover più metter piede, sarà facile intendere.
M-AILABS_ita_000247	mattiapascal_10_pirandello_f000300	da rompere la segreta armonia, che già - non so come - s'era tra noi stabilita.
M-AILABS_ita_000248	meraviglieduemila_01_salgari_f000101	Il dottor Dek, ascoltando i pomposi elogi fatti a quel piccolo fiore
M-AILABS_ita_000249	imalavoglia_01_verga_f000065	e di mandare le notizie ogni volta che tornava qualche conoscente dalla città, che poi gli avrebbero mandati i soldi per la carta.
M-AILABS_ita_000250	imalavoglia_01_verga_f000005	Veramente nel libro della parrocchia si chiamavano Toscano, ma questo non voleva dir nulla
M-AILABS_ita_000251	imalavoglia_07_verga_f000286	Qui ci vorrebbe un sindaco di testa e liberale come voi.
M-AILABS_ita_000252	imalavoglia_10_verga_f000754	- Io non sto parlando; - rispose don Franco lisciandosi la barba.
M-AILABS_ita_000253	imalavoglia_14_verga_f000407	Ma infine come poteva dirlo il presidente?
M-AILABS_ita_000254	mattiapascal_03_pirandello_f000073	Non lo dimostrò abbastanza alla morte della signora Guendalina.
M-AILABS_ita_000255	galatea_12_barrili_f000080	Si tratta d'imbastire un concerto a pagamento, un concerto vocale e strumentale
M-AILABS_ita_000256	galatea_19_barrili_f000338	La signora non si peritava più di venire avanti da sola;
M-AILABS_ita_000257	imalavoglia_08_verga_f000168	Piedipapera poi gli diceva: - Bevetelo un bicchierino, don Michele, che vi farà bene allo stomaco, col sonno che avete perso.
M-AILABS_ita_000258	meraviglieduemila_18_salgari_f000186	- Noi siamo uomini daltri tempi.
M-AILABS_ita_000259	meraviglieduemila_06_salgari_f000050	se lassù vi fossero degli abitanti e dei ricevitori elettrici.
M-AILABS_ita_000260	meraviglieduemila_08_salgari_f000120	diretti al Capo Wolstenholme sullo Stretto di Hudson e partivano con una velocità di duecentosettanta chilometri allora.
M-AILABS_ita_000261	mattiapascal_09_pirandello_f000059	Forse nella mia domanda sentì ancora un sapor d'ironia, ch'io però non avevo voluto metterci.
M-AILABS_ita_000262	galatea_01_barrili_f000073	ottima cosa per me, che non ho più fantasia.
M-AILABS_ita_000263	imalavoglia_03_verga_f000089	- Il fatto è, - conchiuse compare Zuppiddu, - che sarà una brutta giornata pei Malavoglia.
M-AILABS_ita_000264	imalavoglia_15_verga_f000022	dicevano che Alessi avrebbe fatto meglio a mandare il nonno allAlbergo dei poveri, ora che non era più buono a nulla;
M-AILABS_ita_000265	galatea_13_barrili_f000157	--Che dite, signora?
M-AILABS_ita_000266	imalavoglia_15_verga_f000428	o che ride per lultima volta, e vi rimane fitto nel cuore come un coltello.
M-AILABS_ita_000267	ritrattodeldiavolo_04_barrili_f000148	Angiolino Lorenzetti, detto il Chiacchiera, Lippo del Calzaiolo e Cristofano Granacci.
M-AILABS_ita_000268	galatea_13_barrili_f000103	Alle sei siamo in piazza, dove sono arrivate le due giardiniere che dovevano portarci a Dusiana.
M-AILABS_ita_000269	imalavoglia_02_verga_f000159	- chiedeva sottovoce la Zuppidda a comare Maruzza.
M-AILABS_ita_000270	mattiapascal_04_pirandello_f000381	Ma ci aveva già pensato zia Scolastica.
M-AILABS_ita_000271	imalavoglia_13_verga_f000328	ma sentiva già la paura che suo fratello avesse a fare con quelli del berretto gallonato.
M-AILABS_ita_000272	mattiapascal_16_pirandello_f000255	- proruppi ancora una volta.
M-AILABS_ita_000273	mattiapascal_16_pirandello_f000289	ben vivo, e anche a costo di riprendermi la moglie.
M-AILABS_ita_000274	mattiapascal_03_pirandello_f000374	Le disse che ella era ancor minorenne, e perciò sotto la potestà della madre
M-AILABS_ita_000275	imalavoglia_11_verga_f000372	Quando avrò guadagnato dei denari anchio, allora tornerò, e staremo allegri tutti.
M-AILABS_ita_000276	meraviglieduemila_18_salgari_f000333	Egli era fermo in mezzo al ponte della nave, e fissava una grossa lampada a radium con uno sguardo vitreo
M-AILABS_ita_000277	galatea_16_barrili_f000363	ma non mi riesce.
M-AILABS_ita_000278	mattiapascal_06_pirandello_f000077	Ebbi così la consolazione di sapere che il castello di Valencay, messo all'incanto per la seconda volta
M-AILABS_ita_000279	galatea_20_barrili_f000041	ciò che non piace a lui, non piacerà a me, di sicuro.
M-AILABS_ita_000280	meraviglieduemila_17_salgari_f000049	- Qualche infame governo ti aveva mandato qui per farci diventare pazzi e poi ammazzarci lun laltro.
M-AILABS_ita_000281	galatea_07_barrili_f000147	E la graziosa Wilsoncina, cinque minuti dopo, trovò il modo di dire, non so più bene a chi, ma in guisa che io potessi sentirla:
M-AILABS_ita_000282	meraviglieduemila_07_salgari_f000047	È quella che unisce Patterson a Quebec. - Io non la vedo.
M-AILABS_ita_000283	galatea_13_barrili_f000248	son qui da due anni, ed han trovato tutto così.
M-AILABS_ita_000284	ritrattodeldiavolo_07_barrili_f000140	La rammentate, la favola di quella bella principessa a cui una fata benigna aveva concesso di poter leggere nel cuore di tutti
M-AILABS_ita_000285	galatea_01_barrili_f000081	ne rigiro per ogni verso la tela, e non ci trovo il vivagno;
M-AILABS_ita_000286	mattiapascal_07_pirandello_f000207	Vivevo non nel presente soltanto, ma anche per il mio passato cioè per gli anni che Adriano Meis non aveva vissuti.
M-AILABS_ita_000287	mattiapascal_12_pirandello3_f000252	Noi non possiamo mica diffidare di noi stessi...
M-AILABS_ita_000288	meraviglieduemila_09_salgari_f000102	giungeva dinanzi alle spiagge meridionali della Terra di Baffin e precisamente allimboccatura di un canale che era formato da due immense rupi
M-AILABS_ita_000289	imalavoglia_07_verga_f000340	si lavò le mani, si spolverò dalla calce, ma non volle muoversi se prima non gli chiamavano don Silvestro.
M-AILABS_ita_000290	meraviglieduemila_01_salgari_f000363	- No - rispose Brandok, con voce calma.
M-AILABS_ita_000291	imalavoglia_09_verga_f000102	e gli seccava che lo lasciavano in un cantuccio come un minchione, e non gli dava retta nemmeno comare Mena.
M-AILABS_ita_000292	meraviglieduemila_09_salgari_f000098	Abbondavano invece sempre gli uccelli marini
M-AILABS_ita_000293	imalavoglia_10_verga_f000152	- Allora lasciatemi piangere, - esclamò Alessi che non ne poteva più.
M-AILABS_ita_000294	ritrattodeldiavolo_10_barrili_f000005	Così finiscono, direte, così finiscono gli eroi da romanzo! Ma, di grazia
M-AILABS_ita_000295	mattiapascal_17_pirandello_f000268	- Che posso dire? Certo che piansi...
M-AILABS_ita_000296	imalavoglia_09_verga_f000001	Capitulo Nono.
M-AILABS_ita_000297	ritrattodeldiavolo_10_barrili_f000056	E le soggiungeva, quasi a finire di persuaderla: vedete, la donna che io ho
M-AILABS_ita_000298	mattiapascal_15_pirandello_f000001	Il fu Mattia Pascal di Luigi Pirandello Capitulo Sedicesimo Il Ritratto di Minerva.
M-AILABS_ita_000299	imalavoglia_09_verga_f000213	Ora era affare di Piedipapera; ma gli dispiaceva, in coscienza.
M-AILABS_ita_000300	galatea_12_barrili_f000269	E il campanaro di Corsenna è un uomo che si contenta.
