M-AILABS_ita_000337	galatea_07_barrili_f000106	In una città sono istituzioni, monumenti, musei;
M-AILABS_ita_000338	imalavoglia_04_verga_f000144	perché giusto sulla strada di Trezza cerano i pali del telegrafo;
M-AILABS_ita_000339	galatea_07_barrili_f000129	E neanche la Wilsoncina, no, niente nientissimo.
M-AILABS_ita_000340	meraviglieduemila_10_salgari_f000084	- Ne ho a sufficienza - disse Brandok, che si sentiva soffocare.
M-AILABS_ita_000341	mattiapascal_03_pirandello_f000185	Volle che, per rassettarmi dalla corsa, bevessi qualcosa.
M-AILABS_ita_000342	mattiapascal_05_pirandello_f000118	Cade la boule sul quadrante, e: - Vingtcinq! - annunzia il croupier.
M-AILABS_ita_000343	ritrattodeldiavolo_11_barrili_f000416	Perdonate, sarà per un altro giorno, se Iddio mi aiuta. Così rispondeva Spinello.
M-AILABS_ita_000344	ritrattodeldiavolo_05_barrili_f000446	Maledetti! Non ho voluto saperne più altro e li ho piantati là, con tutto il loro veleno.
M-AILABS_ita_000345	imalavoglia_07_verga_f000428	- Alle grida la gente si era affacciata sugli usci, e si era radunata una gran folla;
M-AILABS_ita_000346	ritrattodeldiavolo_03_barrili_f000431	--Ma se non è suo!--rispose il Granacci.
M-AILABS_ita_000347	ritrattodeldiavolo_06_barrili_f000049	vengono i colori appannati da quel ritoccar di sopra, e in poco spazio di tempo anneriscono.
M-AILABS_ita_000348	ritrattodeldiavolo_12_barrili_f000446	--Orbene, sia pure così; --rispose Spinello. --Io lo aspetterò di piè fermo.
M-AILABS_ita_000349	ritrattodeldiavolo_04_barrili_f000116	--Che intenderesti di dire, manigoldo? --Quello che voi avete già indovinato; --replicò l'impertinente scolaro.
M-AILABS_ita_000350	galatea_17_barrili_f000078	Mi addormentai, seguitando ad almanaccare nel sogno;
M-AILABS_ita_000351	galatea_19_barrili_f000214	Viva Roma in eterno, ho risposto con pari ardore, al patrio ricordo del primo magistrato di Corsenna.
M-AILABS_ita_000352	ritrattodeldiavolo_02_barrili_f000162	Madonna Fiordalisa ha un'aria così mutevole!
M-AILABS_ita_000353	galatea_19_barrili_f000359	volle esser lui il secondo, e si cacciò avanti senza badare a me
M-AILABS_ita_000354	mattiapascal_04_pirandello_f000026	Il Malagna, con quel figlio nascituro, che lo abilitava ormai a non aver più né ritegno né scrupolo
M-AILABS_ita_000355	imalavoglia_12_verga_f000133	tanto che doveva andare anche al lavatoio, e alla fontana, e a portare il pane agli uomini, quando erano a giornata;
M-AILABS_ita_000356	mattiapascal_18_pirandello_f000074	certe particolarissime situazioni psicologiche.
M-AILABS_ita_000357	meraviglieduemila_17_salgari_f000032	Un tumulto spaventevole scoppiò in quel momento nelle profondità della città galleggiante.
M-AILABS_ita_000358	meraviglieduemila_02_salgari_f000054	- Granduomo quel mio antenato - disse Holker.
M-AILABS_ita_000359	imalavoglia_09_verga_f000350	- Che volete, compare Malavoglia?
M-AILABS_ita_000360	ritrattodeldiavolo_02_barrili_f000201	Il giovane a cui erano presentati in quella forma gli scolari di mastro Jacopo,
M-AILABS_ita_000361	mattiapascal_06_pirandello_f000027	Ero certo mi pareva di vederle!, che avrebbero affettato entrambe, al mio entrare, la più sdegnosa indifferenza.
M-AILABS_ita_000362	mattiapascal_10_pirandello_f000216	e impreveduto effetto de' miei discorsi sulle sensibilissime corde sentimentali della quarantenne maestra di pianoforte.
M-AILABS_ita_000363	galatea_03_barrili_f000058	Quel caro Orazio è il più vario di tutti i poeti del mondo: ha tutte le corde della lira;
M-AILABS_ita_000364	meraviglieduemila_12_salgari_f000017	- Dinverno il polo è poco piacevole, e ritengo che ne abbiate abbastanza del nostro soggiorno fra i ghiacci eterni.
M-AILABS_ita_000365	meraviglieduemila_18_salgari_f000234	ma poi, spinto dalla fame ed incoraggiato dai ruggiti dei suoi compagni, ricominciò ad arrampicarsi.
M-AILABS_ita_000366	imalavoglia_12_verga_f000040	correndo dietro a tutti gli uomini che cerano da maritare nel paese.
M-AILABS_ita_000367	meraviglieduemila_02_salgari_f000173	- Vedremo dopo il bagno - mormorava il signor Holker.
M-AILABS_ita_000368	imalavoglia_10_verga_f000685	No, non voglio caparra, non voglio legarmi le mani! So io come vanno le cose.
M-AILABS_ita_000369	imalavoglia_13_verga_f000427	o a sputacchiare per terra dappertutto, che faceva un mare e non si sapeva più dove mettere i piedi.
M-AILABS_ita_000370	galatea_14_barrili_f000104	Tra questi passatempi arriva l'ora del desinare.
M-AILABS_ita_000371	imalavoglia_13_verga_f000219	per quelli che non fanno nulla, e che hanno denari a palate lavorate!
M-AILABS_ita_000372	meraviglieduemila_18_salgari_f000374	Furono condotti in un albergo in preda al delirio.
M-AILABS_ita_000373	galatea_20_barrili_f000030	Ho letto, e scrivo io, Galatea.
M-AILABS_ita_000374	imalavoglia_06_verga_f000303	ruminando e gesticolando le chiacchiere dellavvocato per tutta la strada.
M-AILABS_ita_000375	imalavoglia_13_verga_f000446	Bisogna farlo mettere fuori a pedate.
M-AILABS_ita_000376	imalavoglia_08_verga_f000172	Denari ne ha, il furbaccio! tanto che ha comprato il debito dei Malavoglia;
M-AILABS_ita_000377	ritrattodeldiavolo_12_barrili_f000253	Infatti, parecchie dame accennavano di aver sofferto, durante la cerimonia, un pochettino di mal di capo.
M-AILABS_ita_000378	ritrattodeldiavolo_03_barrili_f000247	insieme con qualche ridondanza facilmente correggibile, unità di concetto e franchezza di esecuzione.
