voxpopuli_ron_002200	20110929-0900-PLENARY-6-ro_20110929-11:33:31_10	Nu toate aceste solicitări au fost respectate de propunerea Comisiei.
voxpopuli_ron_002201	20100119-0900-PLENARY-6-ro_20100119-18:25:15_5	Drumul către un Yemen unificat, stabil şi democratic, trece, în opinia mea, prin elaborarea unui plan coerent pentru sporirea susţinerii militare, dar şi economice, combaterea terorismului trebuind să fie dublată de măsuri clare în favoarea unei dezvoltări economice a acestei ţări.
voxpopuli_ron_002202	20160705-0900-PLENARY-8-ro_20160705-13:54:44_8	Pentru că suntem multe instituții, pentru că avem o birocrație excesivă, pentru că nu avem răspunsuri la situații de criză.
voxpopuli_ron_002203	20170516-0900-PLENARY-21-ro_20170516-22:37:06_3	Iată de ce cred că avem în față un raport excelent și o felicit pe raportoare și voi susține propunerea făcută în acest raport pentru ca Comisia Europeană să adopte un plan de acțiune care să vină să completeze de fapt strategiile pe care le avem
voxpopuli_ron_002204	20160509-0900-PLENARY-12-ro_20160509-20:25:40_0	Domnule președinte, Europa vorbește despre uniune energetică și securitate energetică.
voxpopuli_ron_002205	20171024-0900-PLENARY-19-ro_20171024-19:19:01_12	Ultima persoană rămasă în picioare este, adeseori, un jurnalist.
voxpopuli_ron_002206	20100518-0900-PLENARY-18-ro_20100518-22:47:13_17	Această abordare permite, de asemenea, ca implementarea sistemului SESAR să se desfăşoare în condiţii optime şi cu costuri minime.
voxpopuli_ron_002207	20120912-0900-PLENARY-7-ro_20120912-14:22:30_0	Am votat şi în favoarea acestui raport, deoarece reforma pescuitului la nivel european trebuie să ţină cont de realităţile din fiecare stat membru.
voxpopuli_ron_002208	20100923-0900-PLENARY-3-ro_20100923-11:00:10_5	Aceleași facilități ar putea fi atinse printr un acord similar între România și Ucraina.
voxpopuli_ron_002209	20120314-0900-PLENARY-11-ro_20120314-13:40:02_3	Apreciez însă poziția autorităților macedonene de a considera multiculturalismul drept model social și politic al țării. Minoritatea română este recunoscută și se bucură de un tratament corect.
voxpopuli_ron_002210	20120315-0900-PLENARY-10-ro_20120315-13:03:40_5	Această atitudine vine în continuarea altor abuzuri făcute de Olanda faţă de ţara mea blocarea accesului la spaţiul Schengen şi restricţionarea pieţei muncii.
voxpopuli_ron_002211	20101213-0900-PLENARY-14-ro_20101213-22:33:31_7	În ceea ce privește atitudinea domnului Besset, vreau doar să spun că, dacă ar fi citit cu atenție raportul, și ar fi dat seama că raportul face referire și la creștere economică bazată pe o economie ecologică și, prin faptul că am făcut referire în mod direct la strategia UE 2020,
voxpopuli_ron_002212	20120417-0900-PLENARY-8-ro_20120417-17:29:30_2	În acest sens e binevenită noua abordare conţinută în comunicarea comună privind drepturile omului şi democraţia în centrul acţiunilor externe ale Uniunii Europene.
voxpopuli_ron_002213	20180613-0900-PLENARY-6-ro_20180613-12:23:48_0	Domnule președinte, domnule prim ministru, două sunt problemele pe care doresc să vi le supun atenției, și anume țara dumneavoastră s a opus permanent în Consiliu intrării României și Bulgariei în spațiul Schengen, deși îndeplineam toate condițiile tehnice, fiind furnizori de securitate și stabilitate în regiune.
voxpopuli_ron_002214	20140310-0900-PLENARY-8-ro_20140310-17:05:03_15	Accentuez responsabilitatea băncii de a crește nivelul de transparență în ceea ce privește selecția intermediarilor financiari și a partenerilor pentru proiectele cofinanțate, precum și în ceea ce privește beneficiarii finali.
voxpopuli_ron_002215	20110914-0900-PLENARY-10-ro_20110914-16:43:08_8	2. în măsura în care mai multe state au fost implicate în operaţiunile NATO menite să asigure protecţia civililor.
voxpopuli_ron_002216	20190313-0900-PLENARY-ro_20190313-15:46:11_9	Cum să dezvoltăm piața unică?
voxpopuli_ron_002217	20190328-0900-PLENARY-ro_20190328-15:01:50_8	Subliniem faptul că discutăm de copiii celor care au contracte de muncă legal încheiate și plătesc taxe și impozite statului austriac, copii care stau departe de părinții lor, pe care îi văd doar de Paști sau de Crăciun, care nu au parte de sărutul părintesc de noapte bună și care nu au parte de acea creștere și educare părintească atât de necesară.
