voxpopuli_deu_000174	20101020-0900-PLENARY-15-de_20101020-21:20:04_13	Ich finde das sehr gut.
voxpopuli_deu_000175	20131118-0900-PLENARY-14-de_20131118-21:01:21_3	Und doch beide zusammengenommen und ergänzt durch eine Reihe noch laufender Gesetzgebungsverfahren stimmen mich optimistisch.
voxpopuli_deu_000176	20150128-0900-PLENARY-7-de_20150128-16:09:23_5	Wir diskutieren oder haben bereits eingeführt biometrische Reisepässe, Videoüberwachung, Telefonüberwachung, Vorratsdatenspeicherung, Einschränkung des Bargeldverkehrs, Aufhebung des Bankgeheimnisses, Verbot der Verschlüsselung von Kommunikation.
voxpopuli_deu_000177	20181002-0900-PLENARY-de_20181002-09:34:08_15	Denn dann würden Sie beispielsweise auch die Unterstützung von meiner Fraktion verlieren für eine faire Lösung, die wir für die Gestaltung der gemeinsamen Zukunft brauchen.
voxpopuli_deu_000178	20130909-0900-PLENARY-19-de_20130909-22:05:30_5	Dazu gehören auch die europäischen Kartellgesetze auf den Prüfstand.
voxpopuli_deu_000179	20120312-0900-PLENARY-13-de_20120312-21:08:12_3	Sie hätten mit der neuen Verordnung mehr Rechtssicherheit beim Erstellen ihres Testaments oder der Planung ihrer Hinterlassenschaft. Ich betone das Wort „hätten, da wieder einmal ein großer Wermutstropfen zu schlucken wäre.
voxpopuli_deu_000180	20121212-0900-PLENARY-5-de_20121212-10:36:08_14	Der Vorschlag das wurde vorhin auch schon angesprochen zum Abschluss von 17 einzelnen bilateralen Verträgen zwischen den Euro Ländern und der EU ist machtpolitisch motiviert.
voxpopuli_deu_000181	20191021-0900-PLENARY-de_20191021-19:29:05_6	Wir sagen aber auch Der Staat darf keinerlei Form des Extremismus tolerieren.
voxpopuli_deu_000182	20190417-0900-PLENARY-de_20190417-09:01:28_2	Hätten wir das gemacht, hätte ich gern mal Frau Zimmer gefragt, was sie denn hier als Tricksereien empfindet, wenn Parteien ihr ganz normales Recht wahrnehmen, Anträge zu stellen.
voxpopuli_deu_000183	20160608-0900-PLENARY-22-de_20160608-19:23:14_23	Europa weder Sie noch ich, niemand braucht sich vor Präsident Erdoğan oder anderen nicht zu fürchten.
voxpopuli_deu_000184	20130702-0900-PLENARY-11-de_20130702-16:22:04_4	Ich bin bis dato, glaube ich, nicht durch Zurückhaltung aufgefallen, was die Kritik an Herrn Orbán angeht.
voxpopuli_deu_000185	20160427-0900-PLENARY-16-de_20160427-21:25:16_2	Dadurch entstehen viele juristische Probleme.
voxpopuli_deu_000186	20170118-0900-PLENARY-20-de_20170118-20:19:00_6	8. März 2011 mit fast 80 Mehrheit gefordert, dass diese Finanztransaktionssteuer kommt.
voxpopuli_deu_000187	20150210-0900-PLENARY-18-de_20150210-23:13:52_8	Das behindert dann auch die gegenseitige Auslieferung von entführten Kindern.
voxpopuli_deu_000188	20120704-0900-PLENARY-3-de_20120704-11:24:51_5	Ich will gerne noch einmal hinzufügen, dass für uns in dieser Debatte der Bericht des Sonderausschusses nach wie vor die Geschäftsgrundlage darstellt.
voxpopuli_deu_000189	20140416-0900-PLENARY-6-de_20140416-12:52:46_7	Drittens Der Haushaltsausschuss war an diesem Verfahren nicht beteiligt, und es ist bis heute unklar, aus welchen Haushaltsmitteln Strafzahlungen geleistet werden sollen.
voxpopuli_deu_000190	20120910-0900-PLENARY-17-de_20120910-18:28:23_8	Deswegen ist es richtig, dass wir es bei den Rindern auch künftig bei der Freiwilligkeit belassen, solange dieses System nicht ausgereift ist.
voxpopuli_deu_000191	20180207-0900-PLENARY-4-de_20180207-10:21:40_5	Es hat den Kommissionspräsidenten, es hat die Kommission, es hat das Europäische Parlament gestärkt, und es hat den Einfluss der Bürgerinnen und Bürger auf den Kommissionspräsidenten erhöht. Wir haben alle davon profitiert.
voxpopuli_deu_000192	20130702-0900-PLENARY-16-de_20130702-19:27:46_8	Wir müssen in der morgigen Abstimmung am Kompromiss festhalten und dürfen nicht zulassen, dass er durchlöchert wird wie ein Schweizer Käse. Es wurden einzelne gerechtfertigte Anpassungen am Vorschlag der Kommission vorgenommen.
voxpopuli_deu_000193	20160622-0900-PLENARY-18-de_20160622-20:09:26_11	Wir haben natürlich ein Glück auch dafür gesorgt, dass es keinerlei rechtliche Auswirkungen hat hinsichtlich der Anerkennung von Formen des Zusammenlebens, die manche Staaten so noch nicht kennen.
