voxpopuli_lit_001755	20180419-0900-PLENARY-5-lt_20180419-10:29:07_4	Ar Komisija yra garantuota, kad pasirinkta vieta saugi veikti branduolinei jėgainei?
voxpopuli_lit_001756	20140114-0900-PLENARY-3-lt_20140114-10:36:31_0	Labai smagu girdėti tiek daug sveikinimų Lietuvos atžvilgiu ir smagu girdėti, kad Lietuva daug ką nustebino savo geru gerai organizuotu pirmininkavimu.
voxpopuli_lit_001757	20150310-0900-PLENARY-17-lt_20150310-17:53:26_3	Trys aspektai, į kuriuos privalome kreipti ypatingą dėmesį.
voxpopuli_lit_001758	20150311-0900-PLENARY-3-lt_20150311-10:30:07_1	Kalbant apie federalistines ambicijas ar tikslus, aš noriu pabrėžti, kad aš aiškiai, konkrečiai, tiksliai pasisakau apie laisvų Europos valstybių sąjungą, ir, kur tas įmanoma padaryti nesiekiant federalistinio ar kitokio požiūrio, tą reikėtų padaryti.
voxpopuli_lit_001759	20150527-0900-PLENARY-15-lt_20150527-22:23:56_0	Pieno sektorius buvo ir kol kas tebėra vienas kertinių Lietuvos žemės ūkio sektorių, tačiau pastarųjų dviejų dešimtmečių pieno rinkos situacijos analizė rodo, kad kooperacija šiame Lietuvos žemės ūkio sektoriuje nėra pakankamai stipri ir neatlaiko žaliavinio pieno, importuojamo iš Europos Sąjungos šalių,
voxpopuli_lit_001760	20150415-0900-PLENARY-11-lt_20150415-17:39:15_5	Todėl artėjant armėnų genocido šimtmečio paminėjimui norėčiau priminti, kad dar 2005 metais Lietuvos Respublikos Seimas priėmė rezoliuciją, o prieš kelias dienas Popiežius Pranciškus, ir šiandien Europos Parlamentas mini šių baisių žudynių aukas pavadindami žudynes tikruoju vardu genocidas.
voxpopuli_lit_001761	20150527-0900-PLENARY-15-lt_20150527-22:23:56_5	Lietuvos vyriausybė pasiūlė įstatymą, kuriuo ženkliai padidinamas pieno rinkos reguliavimas, tačiau jo priimti neleidžia Europos Sąjungos teise prisidengiantys reguliavimo priešininkai.
voxpopuli_lit_001762	20150527-0900-PLENARY-15-lt_20150527-22:23:56_3	Viena iš priežasčių pieno supirkėjų ir prekybininkų oligopolijos, kurios pavaldžios tik reguliavimui, tačiau tokį reguliavimą riboja bendras Europos Sąjungos pieno rinkos organizavimas.
voxpopuli_lit_001763	20140114-0900-PLENARY-3-lt_20140114-10:36:31_12	Ir turbūt stebuklas, kad šiandien po 23 metų mes džiaugiamės sėkmingu Lietuvos pirmininkavimu Europos Sąjungoje.
voxpopuli_lit_001764	20140114-0900-PLENARY-3-lt_20140114-10:36:31_5	Manau, kad pasiekėme pirmininkavimo uždavinius, kurie buvo energetinis saugumas, integruotas sienų valdymas, Europos Sąjungos Baltijos jūros strategija, Rytų kaimynystės politika.
voxpopuli_lit_001765	20150310-0900-PLENARY-17-lt_20150310-17:53:26_2	Mes privalome imtis visų priemonių, kad tiek pasaulio, tiek mūsų valstybių piliečiai jaustųsi saugūs.
voxpopuli_lit_001766	20180419-0900-PLENARY-5-lt_20180419-10:27:43_3	Tuo tarpu Europos Sąjunga nesustoja klydusi santykiuose su Baltarusija.
voxpopuli_lit_001767	20180419-0900-PLENARY-5-lt_20180419-10:29:07_2	Baltarusija privalo nedelsiant sustabdyti statybas ir taip sumažinti savo ekonominius nuostolius, nes Europa jos nesaugiai gaminamos elektros nepirks.
