voxpopuli_lit_006176	20191125-0900-PLENARY-lt_20191125-21:49:02_7	Deja, didžioji dauguma nuteistų kaltininkų slapstosi Rusijoje ir Baltarusijoje.
voxpopuli_lit_006177	20190327-0900-PLENARY-lt_20190327-15:13:16_4	Kaip atsakingas Žemės ūkio ir kaimo plėtros komiteto pranešėjas džiaugiuosi, kad iš esmės mano teiktus pasiūlymus palaikė tiek Žemės ūkio komitetas, tiek Aplinkos komitetas, taip pat ir apgailestauju, kad liko nepalaikytas mano pasiūlymas valstybėms nustatyti
voxpopuli_lit_006178	20140204-0900-PLENARY-15-lt_20140204-17:14:36_3	Esu visiškai įsitikinusi, kad aktyviai ir atvirai prekybai būtinos efektyvios priemonės kovai su nesąžiningos prekybos apraiškomis, žalinga dempingo ar subsidijavimo praktika.
voxpopuli_lit_006179	20190403-0900-PLENARY-lt_20190403-16:29:54_21	kad sustiprėtų patikimiausia imperijos atrama, biurokratija.
voxpopuli_lit_006180	20140204-0900-PLENARY-15-lt_20140204-17:14:36_7	Rusijos taikomų žaliavų eksporto muitų arba dvigubos dujų kainodaros.
voxpopuli_lit_006181	20190312-0900-PLENARY-lt_20190312-11:16:36_15	Reikia dialogo, o ne auginama priešprieša paremtos naujos Europos Sąjungos.
voxpopuli_lit_006182	20151111-0900-PLENARY-17-lt_20151111-23:44:26_1	taip pat padedant išvengti krizių ateityje.
voxpopuli_lit_006183	20190312-0900-PLENARY-lt_20190312-09:50:27_6	Ir todėl mes Europos Parlamente reikalaujame, kad visur būtų gerbiama lyčių pusiausvyra.
voxpopuli_lit_006184	20191217-0900-PLENARY-lt_20191217-18:56:50_4	Tačiau politinė valia skirtinguose pasaulio regionuose, kaip matome, yra skirtinga.
voxpopuli_lit_006185	20190312-0900-PLENARY-lt_20190312-11:16:36_13	Politikai privalo nustoti engti žmones, prisidengiant demokratijos ir laisvos rinkos vardais, privalo atsisakyti savo dogmų, neva vienintelių teisingų primetimų visuomenei, privalo liautis meluoti, liautis gąsdinti.
voxpopuli_lit_006186	20191217-0900-PLENARY-lt_20191217-18:56:50_13	Būsimus forumus panaudoti diskusijomis su kitais pasauliniais veikėjais ir tęsti artėjimą link Paryžiaus susitarimo tikslų, o svarbiausia atliepti Europos ir pasaulio piliečių lūkesčius.
voxpopuli_lit_006187	20190718-0900-PLENARY-lt_20190718-11:10:52_3	Taip vadinami Maskvos miesto Dūmos rinkimai praeitą savaitgalį virto pasityčiojimu iš demokratinių standartų, o bandžiusieji prieš tai protestuoti buvo šiurkščiai represuoti. Savo aplinkosauginę represinę kultūrą Rusija pademonstravo Astravo atominės elektrinės atveju,
voxpopuli_lit_006188	20191217-0900-PLENARY-lt_20191217-17:09:28_6	Taip pat turime užtikrinti, kad per ateinantį dešimtmetį būtų pilnai garantuotas prieinamumas ir kitose viešųjų paslaugų srityse.
