voxpopuli_ces_000000	20191024-0900-PLENARY-cs_20191024-11:45:20_4	Já věřím v univerzalitu základních lidských práv.
voxpopuli_ces_000001	20190114-0900-PLENARY-cs_20190114-21:42:02_0	Paní předsedající, já chápu záměr kolegů, kteří se snaží nastolit rovnost žen a mužů, chtějí snížit rozdíly v odměňování žen a mužů, ale kolegyně a kolegové, toto není dobrá cesta, kterou jste zvolili.
voxpopuli_ces_000002	20190326-0900-PLENARY-cs_20190326-19:02:41_3	Tím druhým důvodem je, že automobilový průmysl má v Evropské unii klíčové postavení a my ho prostě nemůžeme vystavit nereálným cílům, nereálnému tlaku na jeho konkurenceschopnost.
voxpopuli_ces_000003	20100623-0900-PLENARY-10-cs_20100623-16:32:13_2	Já sám jsem nazval tu zprávu jako velice „sexy, ale měl jsem velikou pochybnost, co se týče odvahy.
voxpopuli_ces_000004	20130114-0900-PLENARY-15-cs_20130114-20:06:44_10	Podobně jako zpravodaj jsem také přesvědčen, že menším obcím by dále významně pomohlo jedno kontaktní a informační místo s přístupem k informacím o všech fondech.
voxpopuli_ces_000005	20090423-0900-PLENARY-16-cs_20090423-15:14:10_13	Londýnská měnová a ekonomická konference, která si dala za cíl oživit globální obchod, stabilizovat ceny a obnovit zlatý standard jako základ měnového systému, byla organizována Ligou států a sešla se v podobné globální ekonomické situaci, jakou zažíváme nyní.
voxpopuli_ces_000006	20171116-0900-PLENARY-11-cs_20171116-12:42:16_1	Proto jsem podpořila zprávu, která obsahuje řadu konkrétních doporučení pro nadcházející summit EU Afrika.
voxpopuli_ces_000007	20191217-0900-PLENARY-cs_20191217-15:48:55_1	Konkrétně jde o to, že je nemravné, aby šéfové vlád měli zisk z evropských dotací pro své firmy.
voxpopuli_ces_000008	20110405-0900-PLENARY-3-cs_20110405-09:52:24_2	To ale neznamená, že bychom si přáli neúspěch eurozóny, naopak, my si přejeme stabilní a prosperující Evropskou unii včetně eurozóny.
voxpopuli_ces_000009	20090323-0900-PLENARY-9-cs_20090323-19:43:30_17	A pokud bude dosaženo dohody mezi námi a ministry partnery ze zemí AKT, bude tato otázka také na pořadu jednání květnového společného zasedání Rady ministrů AKT a Evropské unie.
voxpopuli_ces_000010	20160427-0900-PLENARY-13-cs_20160427-17:17:43_4	Tyto změny nejsou samoúčelné.
voxpopuli_ces_000011	20120912-0900-PLENARY-10-cs_20120912-17:05:19_5	My si myslíme, že jednotlivé členské státy mají podnikat vážné strukturální reformy, a vidíme v návrhu bankovní unie spíš odklad těchto reforem, vidíme v něm spíše něco, co státům pomáhá je překlenout, co na nadnárodní úroveň přenese všechny dluhy a co, řekněme, na nadnárodní úrovni má na čas
voxpopuli_ces_000012	20090310-0900-PLENARY-12-cs_20090310-15:18:14_14	Zde je použita formulace shodná s odpovídající částí Sterckxovy směrnice, tj. kontrolní a informační systém Společenství pro provoz plavidel, ostatně o tom se trošičku zmiňoval i můj kolega.
voxpopuli_ces_000013	20170202-0900-PLENARY-10-cs_20170202-12:15:09_4	země, která leží v bezprostředním sousedství Ruska a je více méně Ruskem permanentně ohrožována, nachází v EU svého partnera a my tímto gestem na cestě říkáme, že nám na Gruzii záleží a že Gruzii za svého partnera považujeme.
voxpopuli_ces_000014	20170314-0900-PLENARY-2-cs_20170314-09:58:15_0	Pane předsedající, před časem tady pan Juncker představil pět plánů na budoucnost EU.
voxpopuli_ces_000015	20141023-0900-PLENARY-7-cs_20141023-11:44:22_3	Musí se podniknout vše nejen pro to, aby zmizelí studenti byli nalezeni a aby pachatelé stojící za jejich zmizením byli postaveni před soud a potrestáni, ale i pro řešení sociální otázky a otázky porušování lidských práv v této oblasti.
voxpopuli_ces_000016	20170515-0900-PLENARY-13-cs_20170515-21:39:12_5	Samozřejmě pašeráctví je dlouhodobý problém, ale rozhodně nelze říci, že je neřešený.
voxpopuli_ces_000017	20140717-0900-PLENARY-3-cs_20140717-10:16:21_0	Paní předsedající, celé mezinárodní společenství je otřeseno tím, co se dnes děje v Súdánu. Marjam Jahjá Ibráhímová se provinila tím, že jako dcera etiopské křesťanky se provdala za křesťana.
voxpopuli_ces_000018	20150115-0900-PLENARY-10-cs_20150115-13:27:09_0	Pane předsedající, děkuji i za skvělou výslovnost mého příjmení, která je v tomto parlamentu obdivuhodná. Já bych chtěl k této otázce říct jednu důležitou věc. Pokud chceme Turecko považovat za demokratickou zemi, musí přestat s omezováním a utlačováním tamního tisku.
voxpopuli_ces_000019	20110214-0900-PLENARY-9-cs_20110214-18:20:36_8	Evropská unie může mít ty nejlepší úmysly, připravit tu nejlepší legislativu a podpůrná opatření, které mohou dokonce všechny státy implementovat, jak nejlépe dovedou, ale pokud se o tom firmy a živnostníci nedozvědí, výsledek bude vždy rozpačitý.
voxpopuli_ces_000020	20181113-0900-PLENARY-cs_20181113-13:13:33_4	A když jsme viděli skutečně nepřiměřený zákrok policejních sil a reakci rumunské vlády, tak to vyvolává velmi závažné otázky, a nejde pouze o ty demonstrace, jde skutečně o zásah do médií, do vlády práva.
voxpopuli_ces_000021	20181211-0900-PLENARY-cs_20181211-10:10:38_9	V této souvislosti vítám rozhodnutí Rady ministrů dopravy alespoň částečně vyjmout mezinárodní přepravu z režimu minimálních mezd a vysílání pracovníků.
voxpopuli_ces_000022	20150519-0900-PLENARY-5-cs_20150519-11:24:31_0	Pane předsedající, dovolte, abych začal citátem jednoho velkého státníka Když se to hýbe, zdaňte to. Když se to ještě pořád hýbe, začněte to regulovat.
voxpopuli_ces_000023	20190918-0900-PLENARY-cs_20190918-12:40:05_4	To jsou asi dva limity, které toto usnesení rovněž obsahuje, a já jsem je proto rád podpořil.
voxpopuli_ces_000024	20190312-0900-PLENARY-cs_20190312-20:10:10_7	Zejména v digitální oblasti povede akt ke zpřístupnění vybraných služeb a zboží v oblasti telekomunikací, platebních služeb nebo při používání počítačů.
voxpopuli_ces_000025	20110117-0900-PLENARY-8-cs_20110117-18:21:01_3	Zvláště vítám, že konečně zvítězil i názor, že budování staveb je poskytování stavebních služeb, a nikoli uvádění výrobků na trh, a že stavební činnost zahrnuje i případné nesériově vyrobené komponenty zabudované do staveb.
voxpopuli_ces_000026	20190314-0900-PLENARY-cs_20190314-11:34:48_5	Země, kde bují korupce, kde dochází k násilí na obyvatelstvu, kde dochází k nevysvětleným vraždám, potřebuje orgán, který má mezinárodní prestiž a který bojuje proti závažným formám trestné činnosti a proti korupci.
voxpopuli_ces_000027	20171114-0900-PLENARY-4-cs_20171114-11:12:24_10	Dozorové orgány budou mít pravomoc ukládat sankce a požadovat od obchodníka závazek nabídnout spotřebitelům, kteří utrpěli škodu, odpovídající nápravu.
voxpopuli_ces_000028	20190326-0900-PLENARY-cs_20190326-22:41:53_5	Je tedy dobře, že dneska si to výročí připomínáme, a je jasné, že sankce vůči Rusku nemohou být zrušeny.
voxpopuli_ces_000029	20190416-0900-PLENARY-cs_20190416-21:38:05_26	Pan Škripek tady říkal, ať se více zapojí aktivní občané.
voxpopuli_ces_000030	20191021-0900-PLENARY-cs_20191021-21:40:51_0	Pane předsedající, já jsem přesvědčen, že vzdělávání je vždycky ta nejlepší možnost, a to platí o to více právě v tak závažné věci, jako jsou zdravotnické informace, zdravotnické vzdělávání.
voxpopuli_ces_000031	20130311-0900-PLENARY-16-cs_20130311-20:58:51_1	Výsledky kontroly ukazují, jaký je faktický stav těchto zařízení v Evropě.
voxpopuli_ces_000032	20171025-0900-PLENARY-22-cs_20171025-20:14:40_3	Komise by proto měla pravidelně sledovat, jestli nedochází k diskriminačním postupům prostřednictvím počítačových rezervačních systémů, a v případě, že zjistí porušení pravidel, by měla proti těmto praktikám leteckých společností jednoznačně a rychle zasáhnout.
