voxpopuli_ces_000057	20180115-0900-PLENARY-11-cs_20180115-17:32:05_20	Musím se proto ptát Kam se poděla zásada „energetická účinnost na prvním místě?
voxpopuli_ces_000058	20180529-0900-PLENARY-4-cs_20180529-11:25:43_0	Paní předsedající, revize směrnice o vysílání pracovníků otevřela téma, které se v Evropě dlouhodobě drželo pod pokličkou, a to citlivou otázku rozdílů mezi mzdovými hladinami členských zemí.
voxpopuli_ces_000059	20180913-0900-PLENARY-cs_20180913-12:41:28_7	Evropa musí ale také investovat do výzkumu, technologií, jinak se cíle zásadní redukce odpadu podaří jen stěží naplnit.
voxpopuli_ces_000060	20090715-0900-PLENARY-5-cs_20090715-09:14:38_56	Tato dohoda je významným příspěvkem k udržení zaměstnanosti v nejzranitelnějších odvětvích ekonomiky a měla by pomoci především malým a středním podnikům.
voxpopuli_ces_000061	20180531-0900-PLENARY-10-cs_20180531-12:48:59_3	Na druhou stranu, pokud se do tohoto rámce dávají návrhy, které skutečně nemají co do činění například se vzdělávacími aktivitami Erasmus, tak nad tím jsem musel velmi vysoko zdvihnout obočí.
voxpopuli_ces_000062	20180416-0900-PLENARY-19-cs_20180416-20:12:50_4	Bohužel pokud jde o implementaci nařízení 1107 o přípravcích na ochranu rostlin, jsou výsledky výzkumu dost alarmující a jen potvrzují oprávněnost zřízení zvláštního výboru Parlamentu k unijním autorizačním procedurám pro pesticidy.
voxpopuli_ces_000063	20180115-0900-PLENARY-11-cs_20180115-18:09:01_7	Obávám se, aby na parlamentní ambice nejvíce nedopláceli samotní občané při konečném vyúčtování elektřiny a tepla.
voxpopuli_ces_000064	20180314-0900-PLENARY-13-cs_20180314-15:43:24_5	Členské státy Evropské unie mají své profesionální systémy a postupy.
voxpopuli_ces_000065	20170612-0900-PLENARY-15-cs_20170612-21:03:33_8	Chtěla bych vyzdvihnout také podporu mobility výzkumných pracovníků v Evropě, podporu investic do evropských výzkumných infrastruktur, budování komplexní sítě schopné řešit tematické výzvy, čímž je celkově posílen evropský výzkumný prostor.
voxpopuli_ces_000066	20171115-0900-PLENARY-18-cs_20171115-17:55:46_9	Zachování určité míry technologické neutrality je nezbytně nutné, protože o vítězi v budoucím souboji, zda to budou elektrické dopravní prostředky či vodíkové pohony nebo zcela jiné, dnes neznámé pohonné jednotky bude zásadně rozhodovat tvrdá ekonomika a konkurenční prostředí.
voxpopuli_ces_000067	20180314-0900-PLENARY-4-cs_20180314-09:31:11_8	Dopad na ocelářský průmysl může být dramatický, a to zvláště po velmi silných regulacích v oblasti CO2 a omezení použití uhlí.
voxpopuli_ces_000068	20180704-0900-PLENARY-18-cs_20180704-18:47:44_40	A jak jsem říkala na základě pilíře rovnost před zákonem a zákaz diskriminace.
voxpopuli_ces_000069	20180529-0900-PLENARY-11-cs_20180529-13:16:30_0	Pane předsedající, já velmi vítám tuto zprávu, která monitoruje stav výkonu justice v jednotlivých národních státech. I když justiční politika, podle mě je to tak správně, patří do působnosti jednotlivých národních států, přeci jen vytváření vnitřního trhu, obhajoba hodnoty právního státu by měly vést k tomu, že by Evropská komise a evropské orgány měly sledovat, jak fungují justice v jednotlivých členských státech a měli bychom dávat doporučení a případně výměnu informací mezi jednotlivými národními státy tak, abychom postupně došli k tomu, že podobné kauzy budou v jednotlivých členských státech rozhodovány
voxpopuli_ces_000070	20140203-0900-PLENARY-17-cs_20140203-21:34:15_4	Nicméně i tak je nutno ocenit úsilí paní zpravodajky o ochranu osobních údajů o spotřebě zákazníků, což je velmi citlivý údaj, a snahu o transparentnost všech údajů.
voxpopuli_ces_000071	20090423-0900-PLENARY-3-cs_20090423-10:42:36_3	Jak řekl pan poslanec Maaten, je zde potřeba dosáhnout kompromisu nejen v Evropském parlamentu, ale samozřejmě i v Radě.
voxpopuli_ces_000072	20111116-0900-PLENARY-14-cs_20111116-21:01:02_8	Vrcholnou pravomoc v této oblasti mají členské země.
voxpopuli_ces_000073	20180301-0900-PLENARY-10-cs_20180301-12:54:45_0	Já jsem tento návrh podpořil, i když musím říci, že i já vnímám za problematické, pokud se předepisují pravidla, která mají dopadat jednotně na velmi omezený trh.
voxpopuli_ces_000074	20180115-0900-PLENARY-11-cs_20180115-17:32:05_1	I proto by snížení spotřeby a snížení energetické účinnosti našeho hospodářství mělo být jednou z hlavních strategických priorit EU.
voxpopuli_ces_000075	20171003-0900-PLENARY-11-cs_20171003-17:05:23_3	Ale téma dětských sňatků jako princip porušování lidských práv by měl být mnohem více obsažen v naší evropské diplomacii.
voxpopuli_ces_000076	20090715-0900-PLENARY-5-cs_20090715-09:14:38_19	Osobně jsem tuto podporu cítil ze strany jejího předsedy José Manuela Barrosa a silnou podporu jsem tehdy cítil a tady mi dovolte osobní sdělení i ze strany reprezentantů nebo představitelů členských zemí. Bylo to tehdy pro českou vládu a pro mne osobně velikou posilou.
voxpopuli_ces_000077	20180207-0900-PLENARY-4-cs_20180207-10:30:27_9	Kolegové a kolegyně, stačila čtyři slova na billboardech k těsnému vítězství populistického kandidáta. Jestliže naším cílem má být přiblížení Evropské unie občanům, nadnárodní listiny vedou zcela opačným směrem.
voxpopuli_ces_000078	20170613-0900-PLENARY-3-cs_20170613-09:30:44_1	Protože elektrických spotřebičů je řada skupin, je pro laickou veřejnost zpravidla velmi obtížné srovnat z hlediska energetické účinnosti na trhu nabízené výrobky.
voxpopuli_ces_000079	20091008-0900-PLENARY-6-cs_20091008-11:32:53_0	Vážená paní předsedající, to, že návrh rámcového rozhodnutí Rady o předcházení kompetenčním sporům v trestním řízení a jejich řešení byl předložen mimo jiné z podnětu České republiky dokazuje,
voxpopuli_ces_000080	20180529-0900-PLENARY-23-cs_20180529-21:16:57_2	Jsem ráda, že mohu říci, že Česká republika nyní patří mezi státy, které směrnici plně transponují, a to od přijetí novely, která nabyla účinnosti v roce 2017. Stále je však samozřejmě na čem pracovat a především zlepšovat individuální přístup k obětem.
voxpopuli_ces_000081	20171115-0900-PLENARY-12-cs_20171115-13:26:44_4	Komise bude mít také možnost postihnout vyrovnávacími opatřeními nedovolené subvence způsobující prokazatelnou újmu průmyslu.
