fleurs_yue_000000 yue_hant_hk/audio/dev/15777296518721252380.wav	灣鱷在海洋中的活動並不活躍牠們的主要棲息地是洛坎普頓北邊河口
fleurs_yue_000001 yue_hant_hk/audio/dev/4191325448086934066.wav	內陸水道是非常理想的主題度假場所
fleurs_yue_000002 yue_hant_hk/audio/dev/2736472949601888923.wav	她的第一場比賽是小迴轉賽第一回合以未完賽收場該場比賽的116名選手中有36名取得了相同的成績
fleurs_yue_000003 yue_hant_hk/audio/dev/14524730486713124615.wav	博物學家和哲學家專注於經典文本尤其是拉丁文的聖經
fleurs_yue_000004 yue_hant_hk/audio/dev/17918039055308708217.wav	警方表示撞到該攝影師的駕駛人可能不會面臨刑事指控
fleurs_yue_000005 yue_hant_hk/audio/dev/11798726555387884188.wav	它警告說沒人能保證此時在伊拉克採取的任何行動方針將阻止宗派戰爭、持續成長的暴力或陷入混亂
fleurs_yue_000006 yue_hant_hk/audio/dev/2272857984374892621.wav	由於一天只頒發18面獎牌許多國家都無法站上領獎台
fleurs_yue_000007 yue_hant_hk/audio/dev/3180013152937853038.wav	南極洲最高的山脈文森山海拔4892公尺位於南極洲北部或稱森提內嶺
fleurs_yue_000008 yue_hant_hk/audio/dev/4695525879981982431.wav	對於那些規劃空檔年的人越來越熱門的選擇是去旅行和學習
fleurs_yue_000009 yue_hant_hk/audio/dev/6644902627554238486.wav	研究人員認為儘管這是一頭年輕恐龍的尾巴但樣本中的羽毛已完全發育而不是年幼動物的新生毛
fleurs_yue_000010 yue_hant_hk/audio/dev/7137286039239946751.wav	全副武裝的鎮暴警察很快就進入院子並利用催淚瓦斯把犯人逼到死角
fleurs_yue_000011 yue_hant_hk/audio/dev/359915065860844570.wav	由於一天只頒發18面獎牌許多國家都無法站上領獎台
fleurs_yue_000012 yue_hant_hk/audio/dev/6460825867752167083.wav	不過大部分的標誌都只用加泰隆語顯示因為它是法律規定的第一官方語言
fleurs_yue_000013 yue_hant_hk/audio/dev/15030830490819762529.wav	迦南的土地上並沒有大片森林所以木材特別昂貴
fleurs_yue_000014 yue_hant_hk/audio/dev/18173914619198229365.wav	原訂於周二砍伐但因緊急法院裁決而獲救
fleurs_yue_000015 yue_hant_hk/audio/dev/16413475447109559778.wav	針對有幼童的家庭有些節慶會場會安排專屬的露營區域
fleurs_yue_000016 yue_hant_hk/audio/dev/4126145879995104668.wav	昆蟲是最早在空中飛翔的動物它們的飛行能力使它們能更輕易地躲開天敵並更有效地找到食物和配偶
fleurs_yue_000017 yue_hant_hk/audio/dev/2433961529283251597.wav	日本擁有將近7,000座島嶼其中最大的一座是本州使得日本成為世界第7大島！
fleurs_yue_000018 yue_hant_hk/audio/dev/7801840787691723112.wav	值得在這座迷人村莊漫步半小時
fleurs_yue_000019 yue_hant_hk/audio/dev/7964146362951922286.wav	前眾議院議長紐特‧金瑞契、德克薩斯州州長瑞克‧裴利及女眾議員米歇爾‧巴克曼分別名列第四、五、六名
fleurs_yue_000020 yue_hant_hk/audio/dev/1574907662129563834.wav	科技提供虛擬校外教學做為解決方法學生可以坐在教室裡參觀博物館藝術品、參訪水族館或欣賞美麗的藝術
fleurs_yue_000021 yue_hant_hk/audio/dev/12561144284817859222.wav	雖然車輛撞到房屋時有三人正在屋內但無人受傷
fleurs_yue_000022 yue_hant_hk/audio/dev/16582421426454535980.wav	阿根廷以擁有世界頂尖馬球隊和球員而聞名
fleurs_yue_000023 yue_hant_hk/audio/dev/636817250534528466.wav	新王國時期的古埃及人對於他們祖先留下的歷史遺跡感到非常吃驚當時這些遺跡已經超過千年之久了
fleurs_yue_000024 yue_hant_hk/audio/dev/14818447277041683491.wav	見證第一次世界大戰的恐懼和暴行後各國均希望避免這種情況未來再次發生
fleurs_yue_000025 yue_hant_hk/audio/dev/134172091767178045.wav	108盤夏潘柏格在印度教中供奉神靈的56種不同的食品例如糖果、水果、堅果、菜餚等被供奉給了巴巴夏母
fleurs_yue_000026 yue_hant_hk/audio/dev/20676874594829753.wav	最後鐵輪取代了木輪1767年第一條全鐵的鐵道問世
fleurs_yue_000027 yue_hant_hk/audio/dev/8656418900556699930.wav	然後由拉卡．辛領銜帶唱拜讚歌
fleurs_yue_000028 yue_hant_hk/audio/dev/5720545506096437578.wav	迦南的土地上並沒有大片森林所以木材特別昂貴
fleurs_yue_000029 yue_hant_hk/audio/dev/3510958898798285249.wav	那裡的冬天寒意有時會騙人因為氣溫很少低於零下但風加上濕度讓人感覺比溫度計上顯示的冷多了
fleurs_yue_000030 yue_hant_hk/audio/dev/2811559341976756414.wav	由於比什凱克的街道上並沒有出現執法員警根據報告大規模的搶劫活動一整晚都在持續發生
fleurs_yue_000031 yue_hant_hk/audio/dev/18419095206632637671.wav	美國帝國主義征戰菲律賓的戰爭支出則由菲律賓人民自身繳納
fleurs_yue_000032 yue_hant_hk/audio/dev/2511381664139319485.wav	克魯格國家公園KNP位於南非東北部東接莫三比克北鄰辛巴威南邊以鱷魚河為界
fleurs_yue_000033 yue_hant_hk/audio/dev/9418165742780084011.wav	革命產生許多社會和政治層面的影響例如採用公制度量衡、專制主義改為共和主義和民族主義以及國家屬於人民而非君主獨有的信念
