voxpopuli_hun_005557	20101215-0900-PLENARY-4-hu_20101215-11:37:27_2	Nagyon nagy viták voltak és nagyon sok jó javaslat került az asztalra.
voxpopuli_hun_005558	20150211-0900-PLENARY-12-hu_20150211-18:38:19_3	Nem Magyarország veszélyezteti ma az európai értékeket, nem a magyar kormánytól kell ma megvédeni a magyar polgárokat, és ezt pontosan értik a magyar polgárok otthon.
voxpopuli_hun_005559	20140311-0900-PLENARY-19-hu_20140311-22:09:33_2	Az Európai Néppárt árnyék jelentéstevőjeként nem volt könnyű dolgom, hiszen szerteágazó igényeket kellett közös nevezőre hozni a frakción belül, de úgy érzem, hogy ez is sikerült.
voxpopuli_hun_005560	20130701-0900-PLENARY-19-hu_20130701-20:43:25_6	A múlt héten a pénzügyi kerettervről való megegyezésben felcsillantak az Unió értékei a kölcsönös megértés és a kompromisszumkészség.
voxpopuli_hun_005561	20130116-0900-PLENARY-15-hu_20130116-20:24:52_0	A következő pont a Bizottság alelnökének és az Unió külügyi és biztonságpolitikai főképviselőjének a nyilatkozata
voxpopuli_hun_005562	20090324-0900-PLENARY-17-hu_20090324-22:18:01_8	A Bizottság szándékai szerint az új élelmiszerek hatálya alá tartoznának viszont a nanotechnológiával készült élelmiszerek.
voxpopuli_hun_005563	20110705-0900-PLENARY-3-hu_20110705-10:01:09_1	Ma is érvényes a magyar uniós elnökség idején tett kijelentésem, miszerint annak sikerében minden magyar patrióta, így az MSZP EP delegációja egyaránt érdekelt volt. Nem mirajtunk, nem az ország többségén múlt, hogy az elmúlt fél év mérlege felemás lett, szakmailag eredményes, politikailag kudarcos.
voxpopuli_hun_005564	20150908-0900-PLENARY-7-hu_20150908-13:36:36_0	...Európai Unió alapvető jogainak érvényesüléséről szóló jelentésre.
voxpopuli_hun_005565	20110622-0900-PLENARY-11-hu_20110622-17:24:30_3	Pártállásra való tekintet nélkül sokak szájából elhangzott, hogy a magyar elnökség jó munkát végzett.
voxpopuli_hun_005566	20150210-0900-PLENARY-12-hu_20150210-19:15:01_10	Egyetlen magyar ember besorozása is sok lenne, mert ez is az emberi méltóság megsértése, és ez is az embertelen bánásmód tilalmába ütközik.
voxpopuli_hun_005567	20181001-0900-PLENARY-hu_20181001-21:39:05_1	Ma a fejlesztési pólusok egyértelműen a nagyvárosok, amelyek a globális versenyben szeretnének helytállni a világ más fejlett központjaival.
voxpopuli_hun_005568	20100705-0900-PLENARY-15-hu_20100705-21:34:03_0	A közép kelet európai országok uniós csatlakozása és a bővítési folyamat kiterjesztése a Nyugat Balkánra óriási kihívást jelent az EU nak.
voxpopuli_hun_005569	20111115-0900-PLENARY-10-hu_20111115-15:55:38_9	Ez év harmadik negyedévre ígérték a munkaidő irányelvet.
voxpopuli_hun_005570	20191217-0900-PLENARY-hu_20191217-10:19:55_4	Illetve azt szeretném kérni, magyar és európai állampolgárként is, hogy ne engedhessük meg azt, hogy bármelyik tagállam kormánya kénye kedve szerint értelmezhesse a jogállamisági kérdéseket.
voxpopuli_hun_005571	20151216-0900-PLENARY-13-hu_20151216-16:34:24_3	Még kevésbé a Keleti Partnerséghez tartozó volt kommunista államokban, vagy a továbbra is kommunista fennhatóság alatt élő társadalmakban, valamint az iszlám országok legtöbbjében.
voxpopuli_hun_005572	20151007-0900-PLENARY-4-hu_20151007-10:16:37_3	Sok más honfitársához hasonlóan, annakidején ő is azért nem hagyta el a hazáját, hogy annak helyzetén változtasson, élhető jövőjéért harcoljon.
voxpopuli_hun_005573	20180207-0900-PLENARY-17-hu_20180207-18:23:31_4	Megelőzőleg az új román kormányfő, Viorica Dǎncilǎ beiktatásán az államfő szintén kijelentette, hogy „az igazságszolgáltatás függetlenségének megsértése elfogadhatatlan, és az utcákon egy éve a jogállamiság védelmében tüntető százezrek üzenetét nem szabad figyelmen kívül hagyni.
voxpopuli_hun_005574	20130703-0900-PLENARY-8-hu_20130703-14:14:18_2	Nemmel szavaztam azért is, mert jogász vagyok, és meggyőződésem, hogy ez az egész jelentés úgy, ahogy van nélkülöz mindenfajta jogi alapot, más szavakkal kifejezve teljes mértékben jogellenes.
voxpopuli_hun_005575	20150707-0900-PLENARY-4-hu_20150707-10:35:56_1	Valójában a multinacionális cégek jogainak a kiszélesítéséről van szó.
voxpopuli_hun_005576	20130311-0900-PLENARY-18-hu_20130311-22:22:17_0	Az utóbbi időszakban több román politikus hivatkozott rá, hogy Romániában fejlett kisebbségvédelmi rendszer működik, ezért nem kérhető számon az országon a nemzeti kisebbségek jogainak biztosítása.
voxpopuli_hun_005577	20130611-0900-PLENARY-19-hu_20130611-20:23:24_5	Annál is inkább, mert számomra ez azt igazolja, hogy nincsenek egyenmegoldások a válságkezelésben.
voxpopuli_hun_005578	20100706-0900-PLENARY-3-hu_20100706-10:42:47_1	A spanyol belga magyar elnökségi trió képviseletében azért is köszönöm, hogy a Lisszaboni Szerződést beüzemeltették, működik a Lisszaboni Szerződés.
voxpopuli_hun_005579	20110510-0900-PLENARY-3-hu_20110510-09:20:18_28	A Bizottság gazdálkodásával kapcsolatban felmerült problémák nem olyan súlyúak, amelyek azt indokolnák, hogy a mentesítést el kelljen halasztani, ezért a mentesítés megadása mellett vagyunk.
voxpopuli_hun_005580	20150707-0900-PLENARY-10-hu_20150707-15:38:43_4	Kérdem én, hogy az ilyen ember miért rongálja szét és dobálja el az útlevelét, a személyi iratait, a schengeni magyar szerb határ szerb oldalán, miért nem jelentkezik az útlevelével, és mondja azt, hogy kérem szépen, Szíriából jövök, háborús területről, életveszélyben vagyok, tessék engem menekültnek nyilvánítani.
voxpopuli_hun_005581	20190715-0900-PLENARY-hu_20190715-17:28:17_2	A tavaszi elnökválasztás után bíztunk benne, hogy gyors változások következnek, azonban a Központi Választási Bizottság ismét megtagadta, hogy létrehozzon egy magyar többségű választókerületet, és további aggodalomra ad okot, hogy számtalan visszaélés tapasztalható mostanában a választási kampány során.
voxpopuli_hun_005582	20110202-0900-PLENARY-10-hu_20110202-16:48:13_9	fel kell zárkóztatni a megújuló energiaforrás tekintetében.
voxpopuli_hun_005583	20130116-0900-PLENARY-3-hu_20130116-11:16:43_7	Az pedig, hogy Önök szimbolikusan is üzennek, és valódi perspektívát mutatnak a fiatal generáció számára, azzal, hogy bevonják az Ifjúsági Garancia elnevezésű programot a munkatervükbe, sok olyan fiatalnak kínálnak munkalehetőséget vagy éppen továbbképzési, gyakorlati lehetőséget, akik teljesen eltűntek már a munkaerőpiacról.
voxpopuli_hun_005584	20100211-0900-PLENARY-8-hu_20100211-12:10:13_6	Nagyon fontos válságkezelő eszközt kapunk a kezünkbe.
voxpopuli_hun_005585	20090203-0900-PLENARY-13-hu_20090203-21:44:21_5	Gyakran vagyunk tanúi annak, hogy az úgymond kisebbség saját érdekében felerősödnek az asszimilációs törekvések, ez sajnos egy olyan politikai eszköz, melyhez a populista pártok gyakran nyúlnak, a többséget a kisebbség ellen fordítva.
voxpopuli_hun_005586	20200115-0900-PLENARY-hu_20200115-17:05:28_2	El lehet jönni Magyarországra, lehet érezni a saját bőrünkön is, hogy mi történik.
