voxpopuli_fin_000933	20180704-0900-PLENARY-fi_20180704-13:35:23_4	Kaikki eivät lupaa saa konsultaation ja vanhempien luvankaan jälkeen.
voxpopuli_fin_000934	20170215-0900-PLENARY-16-fi_20170215-19:36:14_3	Olisi käynnistettävä osallistava keskustelu uusista työllisyysmalleista ja vero ja sosiaaliturvajärjestelmiemme kestävyydestä, jotka perustuvat riittävään tulotasoon, mukaan lukien mahdollisesti käyttöön otettava yleinen perustulo.
voxpopuli_fin_000935	20170405-0900-PLENARY-16-fi_20170405-19:05:26_7	Minun mielestäni teidän kaikkien tulee mennä kotimaihinne ja kysyä, onko teknologia todella niin paljon kalliimpaa vai palkat vai mikä, koska maiden väliset erot ovat todella suuria.
voxpopuli_fin_000936	20110308-0900-PLENARY-4-fi_20110308-09:34:28_7	Ketään ei ole saatu edes kiinni.
voxpopuli_fin_000937	20110623-0900-PLENARY-15-fi_20110623-14:07:20_1	Tämä kuluttajansuojaesitys oli kuitenkin nimenomaan lisäintegraatiota ja juuri oikeassa paikassa.
voxpopuli_fin_000938	20100921-0900-PLENARY-13-fi_20100921-21:38:55_4	Suomessa, kotimaassani, Lappi, Itä Suomi, keskiset osat Suomea ovat harvaan asuttuja, mutta ne ovat osa Suomen huoltovarmuutta, osa koko Suomea, jossa on voitu ja voidaan harjoittaa myös kaupallisesti kestävää toimintaa.
voxpopuli_fin_000939	20180612-0900-PLENARY-fi_20180612-22:48:44_3	Sen avulla meillä on mahdollisuus kannustaa paikallisia toimijoita kehittämään uusia vihreitä ratkaisuja ja innovaatioita, teknologiaa ja työpaikkoja.
voxpopuli_fin_000940	20120329-0900-PLENARY-12-fi_20120329-13:44:06_1	Kansalaisoikeudet eivät valitettavasti aina toteudu käytännössä, vaikka niistä on säädetty selkeästi EU lainsäädännössä. Tämä lisää eurooppalaisten pettymystä Euroopan yhdentymisprosessiin. Kansalaisoikeuksien esteiden poistamiseksi on tärkeää korostaa liikkuvuutta ja koulutusta. Euroopan unionin tulisi korostaa myös elinikäistä oppimista, ammattikoulutusta ja jatkokoulutusta.
voxpopuli_fin_000941	20120613-0900-PLENARY-10-fi_20120613-15:55:35_16	Vastaavasti ylijäämämaiden on myös osaltaan kannettava kortensa kekoon, ja tässä mielessä on tärkeää, että ne vahvistavat rakenteellisilla uudistuksilla kotimaista kysyntää ja sitä kautta tukevat koko Euroopan talouden parempaa kehitystä.
voxpopuli_fin_000942	20170703-0900-PLENARY-18-fi_20170703-20:05:25_0	Jätitte mainitsematta yhden vakavan ryhmän eli turvapaikanhakijat, joilla ei ole papereita ja jotka jäävät maahan.
voxpopuli_fin_000943	20090324-0900-PLENARY-10-fi_20090324-17:18:44_36	Siksi mietinnössä kiinnitetään huomiota henkilöresurssien jatkuvaan tarkkailuun.
voxpopuli_fin_000944	20141023-0900-PLENARY-6-fi_20141023-11:06:55_4	YKn ihmisoikeustoimijat ovat tämän moneen kertaan todenneet.
voxpopuli_fin_000945	20110510-0900-PLENARY-3-fi_20110510-09:13:27_20	Se ei ole perusteltavissa ja siksi meidän pitää avoimesti uskaltaa keskustella täällä, onko tämä järkevää veronmaksajien rahojen käyttöä.
voxpopuli_fin_000946	20111130-0900-PLENARY-13-fi_20111130-20:13:13_7	Emme voi käsitellä kaikkia politiikka alueita joka vuosi, mutta koulutus on kyllä niin tärkeä, sekä kilpailukyvyn että tuottavuuden kannalta, sitä kautta ihmisten työllistettävyyden kannalta, että siihen pitää kyllä panna erityistä painoa ja on sitä hyvä katsoa myöskin tämän vuosittaisen kasvuselvityksen yhteydessä.
voxpopuli_fin_000947	20101215-0900-PLENARY-3-fi_20101215-09:44:43_0	Arvoisa puhemies, mielestäni jokainen maa on vastuussa omasta taloudestaan, eli ne eivät vastaa toistensa veloista.
voxpopuli_fin_000948	20120613-0900-PLENARY-10-fi_20120613-15:55:35_3	Kaksi keskeistä kysymystä, jotka tässä keskustelussa nousivat esiin olivat, ensinnäkin se, että omistajuus jäsenvaltioissa on aivan avainasia tämän uuden talouspoliittisen koordinaation onnistumisen näkökulmasta, kuten muun muassa edustajat Wortmann Kool ja
voxpopuli_fin_000949	20180118-0900-PLENARY-3-fi_20180118-09:45:59_1	Kilpailukyky syntyy nimenomaan osaamisen korkeasta tasosta ja kansalaisten liikkuvuudesta.
voxpopuli_fin_000950	20170314-0900-PLENARY-2-fi_20170314-09:56:47_0	Arvoisa puhemies, olen monen puhujan kanssa samaa mieltä siitä, että olemme saamassa tasapainoisen, hyvän asedirektiivin, joka todellakin lisää turvallisuutta.
