M-AILABS_deu_000000	caspar_hauser_27_f000259	sagte Hickel, das passe ihm nicht, er werde dem Staatsrat schon den Kopf zurechtsetzen.
M-AILABS_deu_000001	alter_afrikaner_07_f000219	Ich traue jedem Menschen Gutes zu, solange bis er mir das Gegenteil beweist.
M-AILABS_deu_000002	toten_seelen_16_f000158	Aber seine Worte vom Kaufe der toten Seelen waren doch so laut ausgesprochen und von einem so lauten Gelächter begleitet worden,
M-AILABS_deu_000003	ferien_vom_ich_005_f000318	Um Gottes willen - ist ihm etwas passiert - ist er in Not - willst du zu ihm fahren?
M-AILABS_deu_000004	maerchen_003_f000071	Wir wissen es nicht, antworteten die Kinder; er ist fortgegangen.
M-AILABS_deu_000005	Kanzlerin_01_14_f000052	Wir müssen aufklären, wir müssen darüber sprechen.
M-AILABS_deu_000006	grune_gesicht_15_f000101	engelschönen Mädchens - ein Bild wie aus Wachs, an dem mein Herz kein Teil hatte, - eine Statue, die Eva aufs Haar glich, aber doch nur ihre Maske war.
M-AILABS_deu_000007	frankenstein_11_f000089	Was konnte er meinen? Sollten mich wirklich meine Augen so getäuscht haben oder war ich tatsächlich ein Narr gewesen, wenn ich gegen einen andern Argwohn geschöpft hatte?
M-AILABS_deu_000008	grune_gesicht_11_f000162	Sephardi sprang auf, hielt sich die Ohren zu und starrte entsetzt Eidotter an, in dessen lächelndem Gesicht keine Spur von Erregung zu bemerken war. -
M-AILABS_deu_000009	Kanzlerin_11_14_f000033	Und diese Mittel müssen auch eingesetzt werden.
M-AILABS_deu_000010	grune_haus_06_f000001	Der blaue Vogel
M-AILABS_deu_000011	tom_sawyer_11_f000117	Kommt leichter durch die Stangen, meine Faust ist zu groß. Kleine Hände - und zart - aber haben Muff Potter ene Menge geholfen und würden noch mehr tun, wenn sie könnten.
M-AILABS_deu_000012	toten_seelen_04_f000145	Was für Gutsbesitzer gibt es denn?
M-AILABS_deu_000013	toten_seelen_32_f000122	und sich besondere Mühe geben, daß die Sache geheimbleibt, sagte Tschitschikow, denn das Verbrechen selbst ist weniger schädlich, als das Ärgernis, das dadurch gegeben wird.
M-AILABS_deu_000014	liebesbriefe_08_f000027	Wollen wir auch nicht lieber nach Hause gehen, guter Kurt?
M-AILABS_deu_000015	weihnachtsabend_03_f000072	Dein Wohl, sagte der Geist.
M-AILABS_deu_000016	das_letzte_marchen_005_f000265	sagte er selig.
M-AILABS_deu_000017	ferien_vom_ich_015_f000131	Ja, was soll ich in meiner Überraschung dazu sagen?
M-AILABS_deu_000018	caspar_hauser_10_f000137	was mehr ist, ich bin enttäuscht, ich gestehe es, ich bin enttäuscht. Nie will ich vergessen, was mir Caspar gewesen ist,
M-AILABS_deu_000019	alter_afrikaner_28_f000127	Haben diese deutschen Helden und Heroen der Omaheke die verdiente Anerkennung gefunden? Nein, nein!
M-AILABS_deu_000020	Kanzlerin_08_15_f000015	Sie weiß, wo Investitionen lohnend sind, wo man auch noch zusätzlich privates Kapital einwerben kann das wollen wir ja , und wo daraus eben Partnerschaften entstehen,
M-AILABS_deu_000021	tom_sawyer_15_f000167	sich der Gefahr eines Zusammentreffens mit dem Indianer-Joe auszusetzen.
M-AILABS_deu_000022	Die_Kanzlerin_direkt_42_08_f000006	Ihnen wünsche ich, dass ihnen die Bot schaft von Jesus Christus und seiner Geburt Kraft und Trost gibt - und auch die Möglichkeit, wieder Hoffnung zu schöpfen.
M-AILABS_deu_000023	alter_afrikaner_06_f000162	Spricht sie die Wahrheit? Sind zwei Europäer eine Beute der Bestien geworden?
M-AILABS_deu_000024	frankenstein_25_f000104	Aber ihre Milde und ihr sanftes Mitleid machten sie zu einer geeigneten Genossin für einen Mann, der elend und gebrochen ist.
M-AILABS_deu_000025	toten_seelen_26_f000003	dafür machte sich im Hofe gegenüber eine gewisse Bewegung und Unruhe bemerkbar.
M-AILABS_deu_000026	toten_seelen_15_f000262	bald auf die andere mit kleinen Schrittchen zu, wie es gewöhnlich die kleinen galanten Greise auf hohen Absätzen zu tun pflegen,
M-AILABS_deu_000027	caspar_hauser_11_f000131	Sie weht! antworteten die Knaben wie aus einem Mund, doch Caspar versetzte ruhig: Ich sehe daraus, daß ihr nichts seht.
M-AILABS_deu_000028	frankenstein_13_f000089	Soll ich denn die nicht hassen dürfen, die mich so verabscheuen? Und ich lasse nicht mit mir spaßen.
M-AILABS_deu_000029	alter_afrikaner_26_f000080	Der Tee fließt in den Kühlmantel, wie ein Tropfen auf glühenden Stein.
M-AILABS_deu_000030	weihnachtsabend_02_f000135	Auch kann ich dir nicht sagen, was ich dir sagen möchte.
M-AILABS_deu_000031	kleine_lord_05_f000286	Und ich muß auch für sie sorgen, weil mein Papa das nicht mehr thun kann - wenn ich groß bin, werde ich arbeiten und Geld verdienen.
M-AILABS_deu_000032	tschun_08_f000143	wenn Ihr gerade das Stück Welt, das man China nennt, versinken ließet - denn die trachten ja alle danach, sich einen möglichst großen Anteil davon zu sichern.
M-AILABS_deu_000033	das_letzte_marchen_005_f000081	Weiter: Prinz Helgin.
M-AILABS_deu_000034	menschenhasser_09_f000084	Für den? Doktor, wir haben sie!
M-AILABS_deu_000035	maedchenvommoorhof_8_f000169	Sie hatte gar nicht an sich selbst gedacht, nur daran, daß Gudmunds und Hildurs Hochzeit zustande kommen müsse.
M-AILABS_deu_000036	toten_seelen_16_f000145	Was ist das für eine Ansiedlung! Von mir hat er bloß Tote kaufen wollen.
M-AILABS_deu_000037	das_letzte_marchen_013_f000067	Wohin wollen Sie?
M-AILABS_deu_000038	grune_gesicht_10_f000071	Bitte, fassen Sie meine Worte nicht als leeren Trost auf, Mynheer; - Fräulein van Druysen ist nicht tot!
M-AILABS_deu_000039	ferien_vom_ich_013_f000083	Selbstverständlich!
M-AILABS_deu_000040	das_letzte_marchen_011_f000193	Er ist ein zehntausendmal scheusäligeres Subjekt als sein Geldgeber, der Prinz Hamrigula.
M-AILABS_deu_000041	reisenachtilsit_1_f000104	Er stottert was von Hausfrieden und man muß Opfer bringen und so.
M-AILABS_deu_000042	caspar_hauser_02_f000038	deshalb ließ er es wieder und begann dafür mit dem Pferd zu reden, indem er die unverständlichen Laute aus dem Munde des Du nachahmte.
M-AILABS_deu_000043	Kanzlerin_34_14_f000010	und außerdem dann bei der Kommunalwahl im Mai noch flagrante Wahlfälschung betrieben wurde, kam es im Grunde zu einer qualitativen Veränderung:
M-AILABS_deu_000044	grune_gesicht_07_f000016	Die Hosen wird er verlieren. Apropos, hast du seine Uhr gesehen?
M-AILABS_deu_000045	das_letzte_marchen_003_f000132	Wir haben dann zusammen eine gemeinschaftliche Erholungsreise gemacht und sind ja jetzt beide gottlob wiederhergestellt.
M-AILABS_deu_000046	kleine_lord_09_f000167	In seinem Bilderbuche hatte die Prinzessin ja auch ein weißes Atlaskleid und eine Perlenschnur um den Hals.
M-AILABS_deu_000047	Kanzlerin_02_12_f000024	Das ist ein Vorteil für jeden.
M-AILABS_deu_000048	ferien_vom_ich_012_f000151	Jawohl.
M-AILABS_deu_000049	grune_haus_19_f000031	Ich aber streif' durch den Wiesengrund, öffne der Obstblüte lieblichen Mund
M-AILABS_deu_000050	kammmacher_2_f000066	Daher wurde es dem ausspähenden Schwaben nicht schwer, sich den Weg zu einer tugendhaften Jungfrau zu bahnen, welche in derselben Straße wohnte und von der er,
M-AILABS_deu_000051	caspar_hauser_16_f000105	Solche Hitzköpfe sind um den Finger zu wickeln, wenn man sie zu nehmen versteht. Haha, das ist lustig: um den Finger gewickelte Hitzköpfe, haha!
M-AILABS_deu_000052	toten_seelen_15_f000005	Es gibt dort ja keinerlei Fluß.
M-AILABS_deu_000053	caspar_hauser_29_f000117	Deinetwegen hat er sterben müssen! schrie sie mit einer Stimme,
M-AILABS_deu_000054	toten_seelen_33_f000158	wenn er einige Gouvernements durchwandert hat und heimkehrt, so wird er das Land besser kennen als alle Menschen, die in den Städten wohnen.
M-AILABS_deu_000055	odysseus_17_f000131	Jetzt nenne mir noch die Weiber im Hause, die es mit den Freiern gehalten haben und mir ungehorsam gewesen sind.
M-AILABS_deu_000056	Kanzlerin_17_14_f000053	Aber unsere Erfahrung ist: Wenn es vor dem Beitritt nicht die Fortschritte gibt, wird es nach dem Beitritt mit Sicherheit nicht einfacher.
M-AILABS_deu_000057	frankenstein_20_f000095	Der Morgen dämmerte herauf, als ich Chamounix erreichte.
M-AILABS_deu_000058	schmied_seines_glueckes_2_f000080	Dies gefiel dem Gast über die Maßen, da er sah, daß es Leute waren, die sich nichts abgehen ließen und welche noch Freude an den guten Dingen hätten.
M-AILABS_deu_000059	toten_seelen_10_f000161	Nein, ich danke.
M-AILABS_deu_000060	caspar_hauser_18_f000031	Obwohl aus der Frage der Wunsch einer Ablehnung klang, nahm Hickel, dem es darum zu tun war, mit dem Lord öffentlich gesehen zu werden, das Anerbieten dankbar an.
M-AILABS_deu_000061	Kanzlerin_29_16_f000010	Deutschland hat sich immens entwickelt, wenn ich allein an die vielen Touristen in Berlin, in der Hauptstadt, denke.
M-AILABS_deu_000062	menschenhasser_09_f000149	Haben Sie Näheres über Jendrowski erfahren? Der Doktor Großheim müßte doch die beste Quelle sein.
M-AILABS_deu_000063	Kanzlerin_17_15_f000055	Und wenn Sie mal schauen, worüber wir heute sprechen an COzweiEmissionen, dann sieht man auch, was in den letzten Jahren an Reduktion von COzwei-Emissionen in der gesamten Verkehrsflotte geschafft wurde.
M-AILABS_deu_000064	odysseus_14_f000132	Aber Telemachos stand auf und ermahnte sie ruhig zu sein und still sein Haus zu verlassen, da ohnehin die Stunde des Schlafens gekommen sei.
M-AILABS_deu_000065	alter_afrikaner_06_f000215	Die Mörder werden gemordet, die Menschenfresser von Schakalen und Aasgeiern gefressen, haha!
M-AILABS_deu_000066	grune_gesicht_05_f000286	Er wird bald erwachen, wenn wir fort sind, beruhigte sie der Schmetterlingssammler, aber durch seine Worte klang ein leiser Unterton verhaltner Angst,
M-AILABS_deu_000067	alter_afrikaner_07_f000320	Die wildesten Gerüchte wurden geglaubt, die Angst steckte an und erzeugte eine Art von Panik.
M-AILABS_deu_000068	toten_seelen_25_f000185	selbst die Falten ihres Kleides strebten gleichsam in dieselbe Richtung, und man hatte den Eindruck, daß sie gleich selbst ihren eigenen Worten nachfliegen würde.
M-AILABS_deu_000069	frankenstein_15_f000039	Das war allerdings eine herrliche Gabe und ich brannte förmlich danach, diese Methode genauer zu erforschen.
M-AILABS_deu_000070	grune_gesicht_16_f000050	Sein Blick fiel auf den Apfelbaum, der, wie durch ein unbegreifliches Wunder, in vollem unversehrtem Blütenschmuck prangte.
M-AILABS_deu_000071	caspar_hauser_29_f000134	Guten Abend, ertönte da eine glockenhelle Stimme, die Caspar wundersam berührte. Frau von Kannawurf trat an seine Seite. Hickels Gesicht wurde um eine Schattierung bleicher.
M-AILABS_deu_000072	caspar_hauser_32_f000211	Quandt, den Zettel, den ihm der Hofrat gegeben, zwischen den Händen, wanderte aufgeregt hin und her. Das sind schöne Streiche,
M-AILABS_deu_000073	sterben_08_f000159	Es war ein schwüler Abend geworden, und das Licht der Kerze, die auf dem Nachttische zu Häupten des Kranken stand, regte sich kaum.
M-AILABS_deu_000074	mein_weg_als_deutscher_und_jude_003_f000210	von jüdischem Kleinbürgertum und Europäismus, von dichterischer Imagination und jüdisch-talmudischer Vorliebe für das Wortspiel, das Wortkleid, das Wortphantom,
M-AILABS_deu_000075	toten_seelen_01_f000241	vom Schnapsbrennen - auch im Schnapsbrennen kannte er sich aus; von den Zollwächtern und Zollbeamten sprach er so, als ob er selbst ein Zollwächter oder Zollbeamter gewesen wäre.
M-AILABS_deu_000076	alter_afrikaner_16_f000121	Alle wurden einer Leibesvisitation unterworfen, die Schurze, die Wollhaare der Träger wurden durchwühlt - ohne Erfolg.
M-AILABS_deu_000077	tom_sawyer_08_f000165	Sie fühlten sich übellaunig und steif in allen Gliedern und hatten Heimweh, mehr als je.
M-AILABS_deu_000078	kleine_lord_01_f000045	Zuweilen haßte er den frischen jungen Gesellen beinahe, der sich unterfing, alle die guten Dinge zu besitzen,
M-AILABS_deu_000079	Kanzlerin_25_16_f000012	Aber dieser Prozess muss fortgesetzt werden, damit NordrheinWestfalen auch in Zukunft natürlich die Stärke weiter hat, die es heute hat.
M-AILABS_deu_000080	frankenstein_20_f000064	Kann das nicht eine Vorspiegelung sein, um deine Grausamkeiten nur noch in erhöhtem Maße ausüben zu können?
M-AILABS_deu_000081	caspar_hauser_08_f000131	stünden wir alle so hilflos da wie du am ersten Tag.
M-AILABS_deu_000082	alter_afrikaner_13_f000262	Simba rannte mit der Neuigkeit zu dem OberleutnantF Dieser und sein Kamerad von Bilsing warfen sich in ihre beste Uniform, um das deutsche Reich geziemend zu vertreten.
M-AILABS_deu_000083	Kanzlerin_22_17_f000035	Wir haben von der Seite der Union in der Bundesregierung immer erklärt, dass wir der Verlängerung zustimmen würden, weil wir wissen: Natürlich werden Pflanzenschutzmittel nur unter den strengsten Bedingungen angewandt.
M-AILABS_deu_000084	ferien_vom_ich_002_f000158	Mache dich los von diesen Anstrengungen, spanne aus, mache Ferien.
M-AILABS_deu_000085	toten_seelen_33_f000076	Tschitschikow blickte ihn an: er sah ganz verstört aus. Nachdem er mit dem Kaufmann abgerechnet hatte, verließ er den Laden.
M-AILABS_deu_000086	kammmacher_6_f000079	- O Dietrich, lieber Dietrich, sagte sie mit einem noch viel stärkern Seufzer, ich fühle mich oft recht einsam!
