M-AILABS_fra_000076	les_miserables_tome_5_16_f000129	L'enfant hésita. On ne veut plus de son gâteau; ce n'est pas une raison pour le donner.
M-AILABS_fra_000077	le_dernier_des_mohicans_chapitre_21_f000076	Cependant, malgré ce soin minutieux, ils ne purent rien découvrir.
M-AILABS_fra_000078	l_ile_mysterieuse_3_18_f000220	Vingt-cinq minutes après avoir franchi l'ouverture, le canot arrivait à la paroi terminale et s'arrêtait.
M-AILABS_fra_000079	l_epouvante_12_f000115	-- J'ai réfléchi! j'ai réfléchi: j'ai dit la vérité! Je le jure!
M-AILABS_fra_000080	monsieur_lecoq_2_38_f000147	Il bondit en arrière, et brisant son épée sur son genou, il en lança les tronçons à la face de Martial en disant: --Voilà ton salaire, misérable!...
M-AILABS_fra_000081	les_mysteres_de_paris_2_18_f000064	Une seule perle rattachait les longs plis de sa cravate, perle d'un prix inestimable par sa grosseur, la pureté de sa forme et l'éclat de son orient,
M-AILABS_fra_000082	l_ile_mysterieuse_2_17_f000174	Ayrton allait se retirer, quand l'ingénieur lui adressa une dernière question: Un mot encore, mon ami.
M-AILABS_fra_000083	la_vampire_13_f000117	On entendait au dehors des bruits mêlés, lointains, comme le grand murmure d'une ville éveillée.
M-AILABS_fra_000084	le_dernier_des_mohicans_chapitre_12_f000188	dautant plus que je remarquais que toutes les traces des pieds étaient marquées par des mocassins.
M-AILABS_fra_000085	keraban_le_tetu_2_03_f000080	Horreur! Vous alliez manger du porc!
M-AILABS_fra_000086	l_ile_mysterieuse_1_05_f000138	Tel fut le premier repas des naufragés sur cette côte inconnue.
M-AILABS_fra_000087	keraban_le_tetu_1_09_f000104	La tartane serait en pleine mer, avant qu'on eût pu songer à la poursuivre, au cas où la disparition de la jeune fille se fût subitement ébruitée.
M-AILABS_fra_000088	l_epouvante_08_f000104	Fallait-il, pour une simple concordance de chiffres, échafauder tout un roman? Il rentra dans son cabinet en se disant: Non... c'est absurde...
M-AILABS_fra_000089	l_epouvante_06_f000116	Son départ précipité prendrait, le jour où les soupçons se dirigeraient sur lui, l'aspect d'une fuite, et les déductions que l'on ne manquerait pas de tirer de cette coïncidence entre sa fuite et la découverte du crime,
M-AILABS_fra_000090	les_mysteres_de_paris_2_19_f000075	--Certainement, et sans compter... tant d'autres bonheurs encore!
M-AILABS_fra_000091	les_miserables_tome_5_46_f000052	Le grand-père, tremblant d'avoir introduit si mal à propos André Chénier, reprit précipitamment: --Égorgé n'est pas le mot.
M-AILABS_fra_000092	l_epouvante_07_f000165	Vous ne trouvez plus rien?... Nous pouvons partir...
M-AILABS_fra_000093	monsieur_lecoq_2_22_f000145	Pâles, les vêtements en désordre, la voix brisée par la fatigue et l'émotion, M. d'Escorval et l'abbé Midon s'obstinent à suivre les conjurés.
M-AILABS_fra_000094	la_vampire_13_f000178	Mais alors, ces ténèbres qui l'environnaient?...
M-AILABS_fra_000095	les_mysteres_de_paris_3_15_f000111	mais la gouvernante ayant discrètement emmené l'enfant, Rodolphe et Clémence se trouvèrent seuls.
M-AILABS_fra_000096	les_mysteres_de_paris_4_16_f000052	ça ne me vaut que des ennuis... que des tracas...
M-AILABS_fra_000097	monsieur_lecoq_2_17_f000158	--Ainsi, elle avoue!... pensa Mlle de Courtomieu, stupéfaite de ce qu'elle jugeait une insigne impudence.
M-AILABS_fra_000098	les_mysteres_de_paris_4_01_f000173	--Je t'ai dit!!... et pourquoi donc que tu me tutoies?... s'écria le recors en s'avançant vers Rodolphe d'un air menaçant.
M-AILABS_fra_000099	le_dernier_des_mohicans_chapitre_15_f000037	des soldats samusaient à divers jeux au pied des montagnes, qui retentissaient de leurs cris de joie;
M-AILABS_fra_000100	le_dernier_des_mohicans_chapitre_22_f000155	et que son accablement ne l'eût pas emporté sur son naturel cordial et affectueux.
M-AILABS_fra_000101	l_ile_mysterieuse_2_16_f000137	Avec une brise moyenne, qui donne vingt-quatre pieds à la seconde, il imprimera seize tours aux ailes pendant une minute, et il n'en faut pas davantage.
M-AILABS_fra_000102	keraban_le_tetu_1_12_f000122	sur la fenêtre qu'il convenait d'ouvrir, sur la porte qu'il convenait de fermer, sur les plantes que l'on planterait dans le jardin, sur celles qu'on arracherait, enfin....
M-AILABS_fra_000103	le_pays_des_fourrures_2_19_f000116	Elle en avait l'instinct, comme ces centaines d'animaux qui pullulaient aux abords de la factorerie.
M-AILABS_fra_000104	le_pays_des_fourrures_2_11_f000043	On nettoyait le réservoir à air et les pompes d'aération.
M-AILABS_fra_000105	l_ile_mysterieuse_1_09_f000167	Une demi-heure après, ils arrivaient au coude de la rivière.
M-AILABS_fra_000106	le_dernier_des_mohicans_chapitre_14_f000226	mais avant quelles eussent le temps de se communiquer leur étonnement et même de songer à le faire, un officier dune taille presque gigantesque,
M-AILABS_fra_000107	les_mysteres_de_paris_4_03_f000146	Rodolphe, offrant son bras à Rigolette, sortit avec elle de la maison de la rue du Temple.
M-AILABS_fra_000108	les_mysteres_de_paris_1_14_f000037	--Oh! oui, m'a-t-elle répondu; quand M. Rodolphe m'a dit cela, alors je ne sais ce qui s'est passé en moi tout à coup; mais j'ai éprouvé l'espèce de bonheur pieux, de saint respect que j'éprouvais lorsque j'entrais dans une église...
M-AILABS_fra_000109	monsieur_lecoq_2_43_f000019	--Au moins, reprit-elle, êtes-vous bien sûr de ce que vous me dites, père Chupin?
M-AILABS_fra_000110	les_mysteres_de_paris_2_02_f000024	Ne hâtant pas le moment où son protégé ouvrirait enfin les yeux à la réalité, Rodolphe jouissait avec délices de cette stupeur, de cet étourdissement du bonheur.
M-AILABS_fra_000111	l_epouvante_08_f000022	Des bribes de phrases lui arrivaient confuses, traversées par la voix nasillarde des demoiselles, s'envoyant des numéros d'appel.
