M-AILABS_fra_000153	monsieur_lecoq_2_32_f000033	Que faisait-elle?... Comment savoir?...
M-AILABS_fra_000154	la_mare_au_diable_20_f000066	Ainsi accoutré, le pauvre enfant était moins poétique, à coup sûr, quavec ses longs cheveux au vent et sa peau de mouton à la saint Jean-Baptiste; mais il nen croyait rien, et tout le monde ladmirait, disant quil avait lair dun petit homme.
M-AILABS_fra_000155	monsieur_lecoq_1_20_f000018	--Eh!... monsieur, il y a seize ans que j'ai quitté la France et que je vis sur les grands chemins et dans les foires...
M-AILABS_fra_000156	keraban_le_tetu_1_14_f000141	pour remplacer le pont emporté ... ce fameux Pont-Euxin!... Pourquoi ne pas avoir dit plus tôt qu'il y avait un bac?--Et où est-il, ce bac?
M-AILABS_fra_000157	le_pays_des_fourrures_2_02_f000080	-- Mais sans doute, répondit Jasper Hobson, entre ce courant du Kamtchatka et le littoral, probablement dans une sorte de vaste remous qui doit exister sur la côte.
M-AILABS_fra_000158	l_ile_mysterieuse_2_11_f000088	qui n'est uniquement que du carbone pur cristallisé.
M-AILABS_fra_000159	la_vampire_14_f000092	Il était grand, il semblait fort; ses traits vigoureusement accentués, mais calmes et bons, portaient la trace de plus d'un ravage,
M-AILABS_fra_000160	monsieur_lecoq_2_30_f000033	Il tressaillit, puis haussa les épaules. Et après?...
M-AILABS_fra_000161	lupin_contre_holmes_06_f000083	- En tout cas, pensa-t-il, ce nest pas Lupin, Lupin serait plus adroit. Cest quelquun de sa bande.
M-AILABS_fra_000162	keraban_le_tetu_2_13_f000022	Par malheur, une circonstance inattendue allait mettre cet homme sur ses gardes et lui révéler le danger qui le menaçait.
M-AILABS_fra_000163	monsieur_lecoq_2_38_f000111	--Oui, moi!... Allume-moi un grand feu dans le salon et apporte-m'y des vêtements pour me changer...
M-AILABS_fra_000164	l_ile_mysterieuse_1_07_f000092	Ce ne pouvait être que Top qui aboyait ainsi!
M-AILABS_fra_000165	lupin_contre_holmes_14_f000047	Dans ces conditions, et sauf erreur, lénigme se posait ainsi:
M-AILABS_fra_000166	le_pays_des_fourrures_2_16_f000064	Les mousses nuançaient d'un vert pâle les talus exposés directement au soleil, mais elles ne devaient pas fournir une récolte abondante,
M-AILABS_fra_000167	monsieur_lecoq_1_09_f000072	--Lacheneur!... grommela Gévrol, le pauvre diable prononçait ce nom dans son agonie...
M-AILABS_fra_000168	monsieur_lecoq_2_33_f000109	Ils ne l'obtinrent pas.
M-AILABS_fra_000169	keraban_le_tetu_1_12_f000078	Quelques heures plus tard, ils relayaient à l'importante bourgade d'Aleschki et se dirigeaient en redescendant vers l'isthme de Pérékop,
M-AILABS_fra_000170	la_mare_au_diable_18_f000031	Il attacha dabord au manteau de la cheminée une branche de laurier ornée de rubans;
M-AILABS_fra_000171	les_mysteres_de_paris_2_17_f000169	M. Charles Robert le commandant, comme disait Mme Pipelet qui s'avançait à l'autre extrémité de l'allée.
M-AILABS_fra_000172	l_ile_mysterieuse_3_03_f000068	Les rames ne plongeaient dans l'eau qu'à de longs intervalles.
M-AILABS_fra_000173	le_dernier_des_mohicans_chapitre_14_f000201	Le projet était bien conçu; mais lexécution ne réussit pas.
M-AILABS_fra_000174	les_tribulations_dun_chinoise_01_f000017	Est-il pour ou contre? L'amphitryon croquait nonchalamment quelques pépins de pastèques;
M-AILABS_fra_000175	le_pays_des_fourrures_2_19_f000049	Oui, sans doute! l'île Saint-Laurent pouvait être un port de salut pour les hiverneurs.
M-AILABS_fra_000176	monsieur_lecoq_1_16_f000014	avec un homme dont les hauteurs dédaigneuses l'avaient comme écrasé.
M-AILABS_fra_000177	les_tribulations_dun_chinoise_21_f000070	Le Céleste Empire, quelque vaste qu'il soit, est encore trop petit pour la population qui se presse à sa surface.
