voxpopuli_nld_001796	20110405-0900-PLENARY-5-nl_20110405-13:22:45_3	In de islamitische wereld vanzelfsprekend, maar jammer genoeg ook bij ons.
voxpopuli_nld_001797	20191126-0900-PLENARY-nl_20191126-20:16:03_5	Wij staan achter jou.
voxpopuli_nld_001798	20180611-0900-PLENARY-nl_20180611-18:07:47_2	Dit was een heel pittig dossier en hij heeft met de schaduwrapporteurs verschillende moeilijke discussies tot een goed einde gebracht. Veiligheid in de luchtvaart is een van de belangrijkste thema's die het Europees Parlement
voxpopuli_nld_001799	20171211-0900-PLENARY-15-nl_20171211-19:02:29_2	Om de doelen van het klimaatakkoord van Parijs te bereiken moeten alle sectoren een inspanning leveren, dus ook de luchtvaartsector.
voxpopuli_nld_001800	20140311-0900-PLENARY-19-nl_20140311-22:01:05_4	leveren. Die vroegen dus ook om scherpere doelstellingen op EU niveau en strengere
voxpopuli_nld_001801	20130207-0900-PLENARY-6-nl_20130207-12:03:16_2	Wat de reden ook is van een demonstratie, men dient van de spullen van andermans land af te blijven!
voxpopuli_nld_001802	20100119-0900-PLENARY-7-nl_20100119-18:41:56_3	Om in uw eigen taal, het Engels, met een grote Duitser, Schiller, te spreken
voxpopuli_nld_001803	20120216-0900-PLENARY-3-nl_20120216-09:37:40_6	En staat niet in de mensenrechtenverdragen dat gezinsleven bescherming behoeft? Niet volgens deze minister, die daarmee zijn afkomst en partij verloochent.
voxpopuli_nld_001804	20131210-0900-PLENARY-17-nl_20131210-17:16:25_14	Daarom investeert de EU straks meer in maatschappelijke organisaties, in lokaal bestuur en in het versterken van parlementen.
voxpopuli_nld_001805	20170614-0900-PLENARY-24-nl_20170614-21:59:56_5	De resultaten van de enquête uit 2013 die kennen wij niet, die zijn ook vertrouwelijk.
voxpopuli_nld_001806	20160704-0900-PLENARY-15-nl_20160704-21:57:56_1	Ik stel de aandacht voor arbeidsrechten, volksgezondheid en milieu op prijs, maar ik vind het jammer dat het verslag blijft hangen in het blinde geloof in vrijhandel.
voxpopuli_nld_001807	20100708-0900-PLENARY-10-nl_20100708-15:04:02_4	Het gaat ook over de rol van het Kimberly proces zelf.
voxpopuli_nld_001808	20151006-0900-PLENARY-13-nl_20151006-18:58:09_2	De Middellandse Zee is een levensgevaarlijke sluiproute geworden voor honderdduizenden.
voxpopuli_nld_001809	20180611-0900-PLENARY-nl_20180611-19:12:48_8	Tegelijkertijd brengen schone vrachtauto's ook innovatie met zich mee. Het is helemaal niet zo slecht dat de politiek hier en daar een duwtje geeft om die innovatie te versnellen.
voxpopuli_nld_001810	20181211-0900-PLENARY-nl_20181211-16:32:09_15	Voor mij is dit geen discussie. Het is geen of of verhaal.
voxpopuli_nld_001811	20170426-0900-PLENARY-12-nl_20170426-17:49:23_4	Ik wil daarbij twee zaken in de verf zetten.
voxpopuli_nld_001812	20100209-0900-PLENARY-8-nl_20100209-15:41:09_5	Dat zou het wel doen, wanneer aan deze landen steun zou worden verleend, zoals sommigen wensen.
voxpopuli_nld_001813	20110705-0900-PLENARY-3-nl_20110705-10:19:54_3	Aan het begin van uw voorzitterschap zei u dit Parlement serieus te willen nemen en u hebt aangetoond dat te doen, want veel van onze wensen zijn gerealiseerd.
voxpopuli_nld_001814	20111027-0900-PLENARY-4-nl_20111027-12:09:15_0	Voorzitter, de Nederlandse burger is jarenlang de grootste nettobetaler aan de Europese Unie geweest en nu is de Nederlandse burger de op één na grootste betaler aan de schulden van Griekenland.
voxpopuli_nld_001815	20170516-0900-PLENARY-14-nl_20170516-16:05:45_7	Maar we rekenen heel erg hard op de Verenigde Naties. Hoe geloofwaardig is dat als de Verenigde Naties er niet in slagen om de laatste gifgasaanvallen te veroordelen? We moeten meer doen om de daders te berechten. Ik heb u niet gehoord over de Verenigde Staten.
