voxpopuli_nld_001949	20101019-0900-PLENARY-11-nl_20101019-18:14:25_11	Dat zijn geen eigen Europese middelen.
voxpopuli_nld_001950	20180613-0900-PLENARY-6-nl_20180613-11:41:51_2	Een ander voorbeeld is het Verenigd Koninkrijk der Nederlanden van 1815—1830, wij in het noorden te weinig respect opbrachten voor onze landgenoten in het zuiden, zowel op religieus gebied als ook op ander gebied.
voxpopuli_nld_001951	20180312-0900-PLENARY-12-nl_20180312-18:29:28_5	En het gaat over uw communicatie.
voxpopuli_nld_001952	20131024-0900-PLENARY-6-nl_20131024-11:35:15_13	De Socialisten, Christen democraten en Liberalen zullen buigen voor de eis van de Commissie.
voxpopuli_nld_001953	20130521-0900-PLENARY-4-nl_20130521-11:12:09_4	Dat is een van de eerste dingen die zouden moeten worden aangepakt. Wij moeten op dat punt gelijke regels hebben in de hele Europese Unie, met informatie uitwisseling.
voxpopuli_nld_001954	20100706-0900-PLENARY-4-nl_20100706-11:58:20_12	Ik denk dat dit de volgende stap is, dus ik heb er alle vertrouwen in dat deze goedkeuring een positieve bijdrage vormt tot meer veiligheid in Europa en dat we tegelijkertijd meer eigen instrumenten zullen uitbouwen om nog meer op Europese manier te opereren.
voxpopuli_nld_001955	20171115-0900-PLENARY-24-nl_20171115-22:17:17_4	Zeker als we weten dat een hervatting van de export naar Rusland niet voor morgen is.
voxpopuli_nld_001956	20150521-0900-PLENARY-3-nl_20150521-09:20:42_1	Overal een voorzichtig economisch herstel, maar wat die cijfers niet laten zien zijn de onderliggende grote verschillen.
voxpopuli_nld_001957	20120704-0900-PLENARY-11-nl_20120704-17:09:18_1	Als dat mobiel vreemdelingentoezicht misbruikt zou worden om het vrije verkeer tussen Europese burgers te belemmeren, dan zijn wij op de verkeerde weg.
voxpopuli_nld_001958	20090401-0900-PLENARY-13-nl_20090401-17:28:13_29	Op de arbeidsmarkt hadden we dat al geregeld, maar dat geldt nu ook bij het aanbieden van goederen en diensten, sociale bescherming waaronder sociale zekerheid en gezondheidszorg en onderwijs.
voxpopuli_nld_001959	20090504-0900-PLENARY-9-nl_20090504-18:12:19_10	Worden deze eigenlijk wel op elkaar afgestemd?
voxpopuli_nld_001960	20201005-0900-PLENARY-nl_20201005-19:03:57_10	De oprechte zorg over de rechtmatige besteding van EU—gelden, die deel ik.
voxpopuli_nld_001961	20090401-0900-PLENARY-11-nl_20090401-15:55:41_8	Rusland is geen kandidaat lidstaat, maar een strategische partner die wil samenwerken op gebieden van gemeenschappelijk belang.
voxpopuli_nld_001962	20170613-0900-PLENARY-13-nl_20170613-16:02:56_3	Maar alles staat of valt met een gezond fundament, en volgens de EVP is dat in eerste instantie het stabiliteits en groeipact je houdt je aan de regels die je met elkaar afspreekt en de drie eenheid structurele hervormingen, investeringen en gezonde overheidsfinanciën.
voxpopuli_nld_001963	20170912-0900-PLENARY-18-nl_20170912-19:28:47_3	Als de berichten kloppen, hebben we een nieuw dieptepunt bereikt in hoe de EU omgaat met de uitdagingen van migratie.
voxpopuli_nld_001964	20131120-0900-PLENARY-21-nl_20131120-22:16:48_4	Maar natuurlijk zien we tegelijkertijd ook de sociale drama's die zich voor onze ogen afspelen.
voxpopuli_nld_001965	20100707-0900-PLENARY-5-nl_20100707-10:14:46_13	Alleen dat kan resultaat geven.
voxpopuli_nld_001966	20180611-0900-PLENARY-nl_20180611-17:52:35_4	Onnodig geld aan de administratieve strijkstok laten hangen zonder voor een efficiënte oplossing zorgen, is juist niet hoe het moet.
voxpopuli_nld_001967	20140312-0900-PLENARY-15-nl_20140312-20:21:21_1	Ten eerste is het zo dat ook volgens de uitgangspunten van de Verenigde Naties landen soeverein zijn.
voxpopuli_nld_001968	20120328-0900-PLENARY-12-nl_20120328-17:51:13_3	Dat is slecht voor Nederland, en ik denk ook slecht voor uw achterban.
voxpopuli_nld_001969	20120613-0900-PLENARY-4-nl_20120613-11:11:20_7	We hebben inderdaad nood aan een bankunie, aan een politieke unie en wij moeten structurele maatregelen nemen, willen we geloofwaardig zijn.
voxpopuli_nld_001970	20180312-0900-PLENARY-12-nl_20180312-18:33:51_2	Maar u weet ook je hebt regels die je volgens de letter moet volgen of die je volgens de geest moet volgen.
voxpopuli_nld_001971	20170406-0900-PLENARY-5-nl_20170406-10:37:31_4	Daarom moet hij kennelijk uit beeld.
voxpopuli_nld_001972	20131022-0900-PLENARY-18-nl_20131022-19:14:28_0	Voorzitter, ik ben een absolute voorstander van vrij verkeer, want dat heeft ons welvaart gebracht en het brengt ons nog steeds welvaart.
voxpopuli_nld_001973	20170405-0900-PLENARY-4-nl_20170405-10:51:53_1	Wij als Parlement moeten ook niet doen alsof wij hier een veto kunnen uitspreken.
voxpopuli_nld_001974	20090422-0900-PLENARY-22-nl_20090422-23:41:11_9	Maar ik ben, dankzij goede samenwerking met de rapporteur, tot een uitstekend compromis gekomen dat zorgt voor flexibiliteit en een pragmatische aanpak.
