M-AILABS_spa_000088	angelina_03_delgado_f000007	Las plantas del jardincillo se balanceaban rumorosas.
M-AILABS_spa_000089	angelina_26_delgado_f000095	La joven corrió hacia la iglesia.
M-AILABS_spa_000090	angelina_18_delgado_f000099	-Sí, porque ninguna me parece digna de él.
M-AILABS_spa_000091	arapiles_41_perezgaldos_f000059	Vino elegantemente vestida, deslumbradora de hermosura y de gracia.
M-AILABS_spa_000092	napoleonenchamartin_25_perezgaldos_f000124	De veras te digo que desde que veo un fraile me horripilo.
M-AILABS_spa_000093	arapiles_39_perezgaldos_f000042	aquel que odia la santidad y tiende mil lazos a la virtud para que se enrede?
M-AILABS_spa_000094	eneida_20_virgilio_f000189	Entre tanto su padre Mecencio, sentado a la margen del Tíber, estaba lavándose la herida en las aguas y daba descanso a su cuerpo, recostado en el tronco de un árbol;
M-AILABS_spa_000095	damadelascamelias_22_dumas_f000146	Cuando hube leido la última palabra, crei volverme loco.
M-AILABS_spa_000096	corte_de_carlos_iv_05_perezgaldos_f000126	Excusado es decir que tales excursiones eran secretas y tenían por único objeto el esparcir y alegrar el espíritu abatido por la etiqueta. ¡Pobre gente!
M-AILABS_spa_000097	arapiles_18_perezgaldos_f000082	la cual gravemente hizo señas de que no metiésemos ruido, y luego inclinó su cabeza sobre la palma de la mano, para indicar sin duda que el señor seguía durmiendo.
M-AILABS_spa_000098	angelina_23_delgado_f000034	Villaverde tuvo con qué entretenerse cada domingo, y las cosas subieron a tal punto que a poco se llegan a las manos los exaltados contendientes.
M-AILABS_spa_000099	angelina_12_delgado_f000001	CAPITULO DOCE.
M-AILABS_spa_000100	angelina_23_delgado_f000230	¿Cuál? No hablar del asunto.
M-AILABS_spa_000101	arapiles_32_perezgaldos_f000023	-¡Acerca de mi conducta, señora!
M-AILABS_spa_000102	damadelascamelias_06_dumas_f000054	-Sé de memoria el contenido de estos papeles, me dijo.
M-AILABS_spa_000103	eneida_23_virgilio_f000196	estremécense los corazones de los míseros labradores, presagiando de lejos ruinas para los árboles, asolación para los sembrados; todo en torno quedará arrasado; delante vuelan los vientos, llevando sus rugidos hasta las playas.
M-AILABS_spa_000104	angelina_39_delgado_f000043	No saldrás descontento, es una persona muy fina.
M-AILABS_spa_000105	angelina_13_delgado_f000018	Y allí, preciso es que lo confiese, allí cometí un pecado mayúsculo, del cual no me arrepentiré debidamente en los años que me restan de vida.
M-AILABS_spa_000106	napoleonenchamartin_02_perezgaldos_f000016	En estas tiendas se reunían muchos jóvenes escritores o que pretendían serlo, poetas hueros o con seso, aunque estos eran los menos;
M-AILABS_spa_000107	el19demarzoyel2demayo_26_perezgaldos_f000085	-dijo una maja mirando a todos lados-.
M-AILABS_spa_000108	cuentosclasicosprimera_03_poe_f000155	veintiún zafiros y un ópalo.
M-AILABS_spa_000109	trafalgar_14_perezgaldos_f000159	--Pues es claro: ¿eso qué duda tiene?
M-AILABS_spa_000110	angelina_39_delgado_f000082	-¡Papá! Sonrojóse al verme, y murmuró tímidamente-Usted dispense...
M-AILABS_spa_000111	angelina_63_delgado_f000014	Bien sé que me amas, y comprendo que mis palabras van a lastimarte el corazón;
