voxpopuli_pol_002082	20110914-0900-PLENARY-3-pl_20110914-09:04:35_18	analizę przeprowadzoną ostatnio i opublikowaną przez bank szwajcarski UBS.
voxpopuli_pol_002083	20090506-0900-PLENARY-12-pl_20090506-17:41:12_1	Karta praw podstawowych Unii, Europejska konwencja o ochronie praw człowieka oraz orzecznictwo Europejskiego Trybunału Praw Człowieka zawiera wyczerpujące informacje dotyczące praw do azylu.
voxpopuli_pol_002084	20130613-0900-PLENARY-5-pl_20130613-10:16:53_4	Mam wrażenie, niestety, że część naszych wyborców potraktuje tę debatę jako temat zastępczy, bo dzisiaj ludzi, którzy są bezrobotni w Unii Europejskiej lub którym grozi bezrobocie, interesuje przede wszystkim kwestia kryzysu i tego, jak wpływa na ich życie.
voxpopuli_pol_002085	20131009-0900-PLENARY-8-pl_20131009-14:21:11_5	Unijna pomoc finansowa wymaga zintensyfikowania, szczególnie wobec konieczności udzielenia międzynarodowego wsparcia krajom przyjmującym największą liczbę uchodźców.
voxpopuli_pol_002086	20170612-0900-PLENARY-14-pl_20170612-20:48:16_5	W kontekście rybołówstwa rekreacyjnego podzielam opinię sprawozdawcy rybołówstwo rekreacyjne, również na Bałtyku, jest bardzo ważne dla armatorów, ale nade wszystko dla lokalnej społeczności i zasługuje na efektywne wsparcie.
voxpopuli_pol_002087	20181001-0900-PLENARY-pl_20181001-18:12:39_8	To jest sprawa nowa, trudna, ogromna i tutaj sądzę, że najpierw trzeba by było dobrze się uporać z programami lekowymi, gdzie jest prościej, mamy większe doświadczenia.
voxpopuli_pol_002088	20141022-0900-PLENARY-10-pl_20141022-15:39:32_4	Cieszę się, że ostatnie dosłownie godziny spowodowały, że do gry wszedł aktor, który był niezbędny do tego, żeby ulżyć sytuacji miasta i potwornej tragedii humanitarnej ludności, przeważnie
voxpopuli_pol_002089	20160509-0900-PLENARY-12-pl_20160509-20:26:54_11	Jakimi argumentami posługuje się Komisja Europejska, by przekonać Niemcy do takiego rozwiązania?
voxpopuli_pol_002090	20141021-0900-PLENARY-14-pl_20141021-19:51:45_4	Możemy się spodziewać nawarstwiania wydatków, w związku z czym, jeśli wiemy o tym, że budżet będzie bardzo trudny i wydatki będą większe, nie możemy wykonywać ruchu takiego, żeby budżet zmniejszać co oznacza, że jesteśmy dzisiaj w atmosferze zbliżającego się kryzysu budżetowego.
voxpopuli_pol_002091	20110914-0900-PLENARY-14-pl_20110914-20:14:04_5	W związku z powyższym Rada przyjmuje z zadowoleniem wszelkie inicjatywy zmierzające do zwalczanie zjawiska korupcji, jak również wyraża wole aktywnego wspierania działań mających na celu wyeliminowanie tego problemy zarówno z sektora publicznego, jak i prywatnego.
voxpopuli_pol_002092	20130612-0900-PLENARY-15-pl_20130612-19:02:31_13	Rozmawiamy dzisiaj o chrześcijaństwie, rozmawiamy o wolności religii.
voxpopuli_pol_002093	20131210-0900-PLENARY-25-pl_20131210-22:33:44_3	Pomimo podejmowanych działań przez Komisję Europejską wydaje się, że w Unii składającej się z suwerennych państw, ten problem będzie zawsze istniał.
voxpopuli_pol_002094	20180705-0900-PLENARY-3-pl_20180705-09:29:05_11	Konieczne jest skierowanie odpowiednich, konkretnych wytycznych do państw członkowskich oraz wymiana dobrych praktyk.
voxpopuli_pol_002095	20180502-0900-PLENARY-16-pl_20180502-14:44:04_2	Chciałem przede wszystkim podkreślić, że propozycja Komisji Europejskiej wskazuje na to, że mamy do czynienia ze zmianą podejścia. Mamy do czynienia ze zmianą nie tylko nazw poszczególnych rozdziałów budżetowych, ale ze zmianą podejścia do konstrukcji budżetu. I to chciałem odnotować, ponieważ Parlament bardzo
voxpopuli_pol_002096	20180313-0900-PLENARY-4-pl_20180313-10:39:36_7	Uważam, że jest to naprawdę bardzo daleko idące wyjście naprzeciw. Drugie to wypowiedź pana Roberto Guevary, który zwrócił uwagę na to, że, po pierwsze, nie ma kompetentnej odpowiedzi ze strony rządu Wielkiej Brytanii, po drugie, żeby traktować ludzi lepiej niż towary.
voxpopuli_pol_002097	20180529-0900-PLENARY-4-pl_20180529-11:44:18_3	I choć nieco złagodzono pierwotne zapisy dyrektywy, to końcowy wynik nadal odczytuję jako uderzenie w przedsiębiorczość państw Europy Środkowo Wschodniej, a szczególnie w Polskę, która ma największą flotę transportową w Europie i dość liczną grupę pracowników delegowanych.
voxpopuli_pol_002098	20130612-0900-PLENARY-15-pl_20130612-19:02:31_6	Przykładem dziennik „Rzeczpospolita.
voxpopuli_pol_002099	20121025-0900-PLENARY-6-pl_20121025-10:25:54_3	Zdecydowanie dołączam do głosów, które nawołują również do lepszej informacji.
voxpopuli_pol_002100	20180118-0900-PLENARY-5-pl_20180118-10:52:59_4	Te działania Republiki Chińskiej, o których dzisiaj wspominamy, powinny być przedmiotem szczególnego potępienia ze strony wszystkich państw Unii Europejskiej.
voxpopuli_pol_002101	20110913-0900-PLENARY-13-pl_20110913-17:43:26_10	Jest oczywiste i to przyznał także Trybunał Sprawiedliwości Unii Europejskiej w swoim orzecznictwie że nie wszystkie dokumenty muszą być publicznie dostępne.
voxpopuli_pol_002102	20171003-0900-PLENARY-4-pl_20171003-11:13:28_8	Dojrzałej, czyli takiej, która jest odporna na demagogię i populizm.
voxpopuli_pol_002103	20180314-0900-PLENARY-19-pl_20180314-20:55:37_7	Wielkie gratulacje dla obu sprawozdawców.
voxpopuli_pol_002104	20150430-0900-PLENARY-3-pl_20150430-09:28:25_12	Po drugie, zbyt mało pisze się w sprawozdaniu o statutowych zadaniach banku, w tym zwłaszcza o potrzebie finansowania rozwoju przedsięwzięć innowacyjnych i wsparcia dla badań i rozwoju.
voxpopuli_pol_002105	20180313-0900-PLENARY-19-pl_20180313-22:35:15_1	Sprawozdanie porusza słuszne kwestie dotyczące wzrostu zatrudnienia i godnych miejsc pracy, ograniczania ubóstwa, wspierania osób ze skrajnych grup wiekowych, zwiększania dostępu do edukacji, troski o małych i średnich przedsiębiorców, integracji osób niepełnosprawnych na rynku pracy czy też inicjatywy na rzecz jednolitego rynku cyfrowego.
voxpopuli_pol_002106	20090203-0900-PLENARY-3-pl_20090203-09:26:28_1	Pomimo iż systemy prawne państw członkowskich przewidują sankcje przeciwko seksualnemu wykorzystywaniu dzieci oraz pornografii dziecięcej, należy w dalszym ciągu podnosić poziom bezpieczeństwa naszych dzieci.
voxpopuli_pol_002107	20171115-0900-PLENARY-17-pl_20171115-15:50:44_15	Komunizm więc ta idea komunistyczna tutaj święci swoje wielkie triumfy i trzeba o tym krzyczeć.
voxpopuli_pol_002108	20160606-0900-PLENARY-15-pl_20160606-21:10:45_5	Mam świadomość, iż tematyka sprawozdania jest niezwykle ważna, zarówno dla środowisk dystrybutorów, jak i dostawców, a jej ostateczny tekst oraz przesłanie będzie mieć ogromne znaczenie dla przyszłości relacji pomiędzy obiema grupami.
voxpopuli_pol_002109	20170215-0900-PLENARY-4-pl_20170215-11:06:15_1	Chociaż jej szanse świetnie opisał czeski poseł Jan Zahradil.
voxpopuli_pol_002110	20171129-0900-PLENARY-12-pl_20171129-16:31:27_7	To dla nas jest niezwykle ważne, czy, po pierwsze, Komisja Europejska, przygotowując propozycję, będzie współpracowała z Parlamentem i, po drugie, czy Rada będzie na tyle elastyczna i otwarta, że będzie traktowała Parlament nie tylko jako to ciało, które na końcu zatwierdzi, ale będzie współpracowała z Parlamentem.
voxpopuli_pol_002111	20150430-0900-PLENARY-3-pl_20150430-09:28:25_8	Trzeba podkreślić, że pożyczki udzielane przez EBI działały antycyklicznie, wspierając gospodarki europejskie w trudnym okresie spowolnienia koniunkturalnego.
voxpopuli_pol_002112	20170515-0900-PLENARY-11-pl_20170515-18:55:13_5	Jak zastosować mechanizmy porównywalne i uznawanie kwalifikacji zdobytych na przykład w państwach trzecich?
voxpopuli_pol_002113	20110914-0900-PLENARY-14-pl_20110914-20:14:04_12	Dzięki okresowej ocenie i publikowaniu obiektywnych, popartych faktami sprawozdań powstaje nowe narzędzie, które daje dodatkowy bodziec dla państw członkowskich do skutecznego rozwiązania problemu korupcji, szczególnie poprzez wdrożenie i egzekwowanie uzgodnionych międzynarodowych standardów walki z korupcją.
voxpopuli_pol_002114	20170201-0900-PLENARY-9-pl_20170201-16:49:03_2	Unia energetyczna staje się faktem, choć musimy ją jeszcze wdrożyć, a przede wszystkim musimy mieć stały kontakt z obywatelami, żeby czuli, jak ważna jest ona dla nich, bo nie wszędzie to dociera.
voxpopuli_pol_002115	20151028-0900-PLENARY-4-pl_20151028-10:19:05_3	W tym wniosku, który jest niewątpliwie lepszy, tak potrzebne regulacje jednak wzbudziły kontrowersje w trzech aspektach.
voxpopuli_pol_002116	20180418-0900-PLENARY-17-pl_20180418-18:10:20_3	Dziś wprowadza się zasadę domniemania winy, wprowadza się prewencyjny system totalnej kontroli.
voxpopuli_pol_002117	20160707-0900-PLENARY-17-pl_20160707-16:28:49_5	Wszczęte przez Komisję postępowanie w sprawie uchybienia zobowiązaniom państwa członkowskiego przez Niemcy trwa zdecydowanie za długo, jego zakres jest zbyt wąski i skupia się tylko na przewozach tranzytowych.
voxpopuli_pol_002118	20171115-0900-PLENARY-4-pl_20171115-09:42:32_7	Po drugie, cała ta debata została zwołana z inspiracji niektórych polskojęzycznych polityków, żeby przykryć ich problemy polityczne w Polsce, żeby przykryć ich afery reprywatyzacyjne, pamięć o ich nieudolnych rządach i obecnym braku jakiegokolwiek pomysłu dla Polski.
voxpopuli_pol_002119	20120420-0900-PLENARY-4-pl_20120420-10:45:24_2	Należy nadać tej sprawie ważny priorytet, zintensyfikować działania w ramach Unii Europejskiej, a problematyka bioróżnorodności powinna być uwzględniana w strategiach dla poszczególnych sektorów unijnej działalności.
voxpopuli_pol_002120	20110928-0900-PLENARY-7-pl_20110928-18:15:43_22	Nie całą technologię jeszcze znamy.
voxpopuli_pol_002121	20111026-0900-PLENARY-13-pl_20111026-15:42:17_4	Chcę zapewnić natomiast, że jeżeli pojawiłaby się nowa propozycja, nowa możliwość, to jesteśmy jak najbardziej gotowi ją rozważyć, ją procedować.
voxpopuli_pol_002122	20180502-0900-PLENARY-19-pl_20180502-17:14:10_4	Skuteczną ochronę interesów finansowych Unii zapewnią z pewnością dyrektywa w sprawie zwalczania nadużyć finansowych w Unii Europejskiej za pomocą prawa karnego i rozporządzenie EPPO, ponieważ przyznają one organom ścigania środki, których dotychczas w walce z korupcją nie miały.
voxpopuli_pol_002123	20090326-0900-PLENARY-10-pl_20090326-15:37:44_4	Różnorodność kulturalna jest w gruncie rzeczy oparta także i o ogromną różnorodność naszych kultur regionalnych, różnorodność, która sprawia, że te regiony i całe kraje są tak niesłychanie atrakcyjne turystycznie.
voxpopuli_pol_002124	20140203-0900-PLENARY-16-pl_20140203-21:08:02_10	Porównanie krajowych systemów sądownictwa musi opierać się na obiektywnych kryteriach oraz danych, które są obiektywnie gromadzone, porównywalne i możliwe do przeanalizowania, co w praktyce nie jest niestety łatwe.
voxpopuli_pol_002125	20170912-0900-PLENARY-5-pl_20170912-10:05:40_13	Po drugie, współpraca regionalna, której wcześniej nie było, a więc ocenianie zagrożeń, przygotowanie działań zapobiegawczych, planów kryzysowych, wprowadzenie przez Parlament tak zwanych korytarzy dostaw awaryjnych to była odpowiedź na obawy kilku państw związane z obowiązkową współpracą regionalną,
voxpopuli_pol_002126	20170403-0900-PLENARY-20-pl_20170403-22:39:43_6	To bardzo ważne, w szczególności dla Morza Bałtyckiego, które jest wrażliwym ekosystemem, gdzie połowy przemysłowe niszczą zasoby ryb, głównie zasoby dorsza.
voxpopuli_pol_002127	20090310-0900-PLENARY-7-pl_20090310-11:26:13_8	Powinno to również dotyczyć dokumentów dostarczanych przez państwa członkowskie instytucjom europejskim.
voxpopuli_pol_002128	20150325-0900-PLENARY-12-pl_20150325-18:27:57_8	Największym prezentem dla rosyjskiego agresora byłoby pozwolić na to, ażeby Ukraina uległa bankructwu.
voxpopuli_pol_002129	20170913-0900-PLENARY-12-pl_20170913-17:22:57_1	wątek osób niepełnosprawnych.
voxpopuli_pol_002130	20110706-0900-PLENARY-3-pl_20110706-10:18:52_8	Bez sukcesu w tej polityce Europa nie będzie ani bezpieczna, ani nie będzie cieszyła się dobrobytem.
voxpopuli_pol_002131	20111012-0900-PLENARY-12-pl_20111012-17:56:07_9	Jest to warunek konieczny dla Rady, aby mogła ona po konsultacjach z Parlamentem Europejskim podjąć decyzję w sprawie pełnego stosowania dorobku i wynikającego stąd zniesienia kontroli na granicach wewnętrznych oraz na granicach pomiędzy tymi dwoma państwami członkowskimi.
voxpopuli_pol_002132	20171025-0900-PLENARY-18-pl_20171025-15:40:09_12	Skoro robimy dla zażegnania kryzysu imigracyjnego tak wiele, stać nas również na to.
voxpopuli_pol_002133	20170404-0900-PLENARY-19-pl_20170404-21:44:38_1	Panie Ministrze! Panie Komisarzu!
voxpopuli_pol_002134	20100616-0900-PLENARY-3-pl_20100616-10:45:53_4	Słowem kluczowym jest tutaj uwspólnotowienie polityki gospodarczej, tzn. wzmocnienie roli Komisji Europejskiej w koordynacji gospodarczej przy analizowaniu ex ante budżetów narodowych oraz roli Parlamentu Europejskiego w zakresie demokratycznej kontroli europejskiego zarządzania gospodarczego.
voxpopuli_pol_002135	20090506-0900-PLENARY-12-pl_20090506-17:41:12_5	W celu osiągnięcia tego należy przyznać osobom ubiegającym się o azyl dostęp do rynku pracy, jest to bowiem najlepszy sposób zapewnienia samowystarczalności azylantowi.
