voxpopuli_slk_002349	20180118-0900-PLENARY-10-sk_20180118-12:26:25_4	Štáty si musia zachovať právomoc určiť, aký zväzok považujú za manželstvo.
voxpopuli_slk_002350	20150527-0900-PLENARY-8-sk_20150527-18:03:12_0	Obidva spomínané programy boli vytvorené v rôznych časových obdobiach a v ich štruktúre a pri ich fungovaní existuje niekoľko podstatných rozdielov.
voxpopuli_slk_002351	20130204-0900-PLENARY-13-sk_20130204-19:56:41_0	Najväčším problémom a kľúčom k úspechu v podnikaní je, aby si podnikateľský subjekt dokázal nájsť dostatok zákazníkov.
voxpopuli_slk_002352	20110926-0900-PLENARY-14-sk_20110926-21:15:41_2	Stačí vraj zobrať členským štátom rozpočtovú suverenitu, zjednotiť daňové sadzby a dať jednu celkom novú daň.
voxpopuli_slk_002353	20120215-0900-PLENARY-12-sk_20120215-17:27:39_1	K tomu je potrebné niekoľko bodov.
voxpopuli_slk_002354	20110914-0900-PLENARY-14-sk_20110914-21:09:46_1	Keď štyria z piatich občanov Únie vnímajú korupciu ako jeden z najdôležitejších problémov, ako to už spomenuli viacerí kolegovia, treba konať razantne.
voxpopuli_slk_002355	20120417-0900-PLENARY-11-sk_20120417-21:00:14_0	Dnešná diskusia o Barme je príležitosťou k oceneniu Aung San Suu Kyi a Národnej ligy pre demokraciu, ale aj obyvateľov Barmy, ktorí v aprílových doplňujúcich voľbách odovzdali svoj hlas kandidátom NLD.
voxpopuli_slk_002356	20150909-0900-PLENARY-12-sk_20150909-18:04:04_4	Udalosti posledných mesiacov, to znamená prepustenie niektorých politických väzňov, sú jedným z hlavných indikátorov postupných zmien.
voxpopuli_slk_002357	20110912-0900-PLENARY-20-sk_20110912-21:57:09_4	A aj keď ropný a plynárenský priemysel sa môže pochváliť zlepšujúcimi sa výsledkami v oblasti zdravia a bezpečnosti pracovníkov, zameranie na bezpečnosť personálu by nemalo odvádzať pozornosť od bezpečnosti postupov, najmä v oblasti prevencie havárií a ich riadenia.
voxpopuli_slk_002358	20200113-0900-PLENARY-sk_20200113-18:40:09_2	Ja si myslím, že je to taký, naozaj akoby apokalyptický predobraz toho, čo nás čaká, a preto my musíme konať.
voxpopuli_slk_002359	20120420-0900-PLENARY-4-sk_20120420-10:31:05_6	Výskum zameraný na ochranu biodiverzity musí mať multidisciplinárny charakter, aby zohľadnil nielen aspekty ekologické, klimatologické či genetiky, ale aj aspekty sociálne a ekonomické.
voxpopuli_slk_002360	20121120-0900-PLENARY-8-sk_20121120-13:59:53_1	Ak však hovoríme o sociálnych podnikoch ako tých, ktoré sa nezameriavajú na dosiahnutie zisku, ale na dosiahnutie merateľných pozitívnych sociálnych vplyvov, ako uvádza predložená správa, nejde už o podnikanie, ide o sociálnu činnosť.
voxpopuli_slk_002361	20150212-0900-PLENARY-3-sk_20150212-09:48:05_1	pochopiť riziká internetu a podporila úsilie rodičov chrániť deti na internete.
voxpopuli_slk_002362	20150211-0900-PLENARY-13-sk_20150211-19:35:51_7	Obyvatelia členských štátov musia mať pocit bezpečia a musia byť presvedčení, že naše spoločné hranice sú dôkladne zabezpečené, a že nedovolíme zločincom a obchodníkom s ľuďmi beztrestne prekračovať hranice.
voxpopuli_slk_002363	20121120-0900-PLENARY-8-sk_20121120-13:59:53_3	Mali by sme sa zamerať na to, aby sme túto činnosť podporili zjednodušením legislatívy, zvýšením spoločenského uznania či znížením daňového zaťaženia.
voxpopuli_slk_002364	20140716-0900-PLENARY-7-sk_20140716-11:22:46_4	Európska únia by mala viac sledovať aj rozrušenie stuhnutých štruktúr rodinkárstva a korupcie, čo umožní mladým a kompetentným ľuďom dostať sa na relevantné pozície, ktoré sú teraz pre nich nedosiahnuteľné. Treba však zmeniť aj súčasnú paradigmu v prístupe k motivovaniu mladých ľudí, neučiť ich len „študuj dačo, zamestnaj sa v dakej firme a celý život sa povezieš, ale treba ich podnecovať, aby sa kreatívne hýbali v malom podnikaní.
