M-AILABS_rus_000000	mnogo_shuma_iz_nichego_s001868	Клялся, что никогда не женится - и вдруг, наперекор своему сердцу, растаял как сахар.
M-AILABS_rus_000001	argentinetz_s002418	Осип сам не мог понять, как так получилось. Ведь шли с твёрдым намерением брать только излишки, блюсти пролетарскую честь, быть жёсткими, но справедливыми.
M-AILABS_rus_000002	oblomov_s001573	Жизнь - долг, обязанность, следовательно любовь - тоже долг: мне как будто бог послал ее, - досказала она, подняв глаза к небу, - и велел любить.
M-AILABS_rus_000003	oblomov_s008130	Она задумалась.
M-AILABS_rus_000004	oblomov_s000632	Обломовю Часть вторая глава восьмая
M-AILABS_rus_000005	mnogo_shuma_iz_nichego_s002195	Граф Жуан не был за ужином.
M-AILABS_rus_000006	argentinetz_s002413	когда она рассказывала о своей любви к Климу.
M-AILABS_rus_000007	strashnaya_minuta_s000685	это мне только так показалось издали - приняло еще более чем когда-либо мечтательное выражение.
M-AILABS_rus_000008	oblomov_s006548	Ну, я отправляюсь. - сказал Обломов.
M-AILABS_rus_000009	argentinetz_s002740	чтобы он сам себя называл ругательными словами.
M-AILABS_rus_000010	oblomov_s008057	Он, не дождавшись конца оперы, уехал домой. Мало-помалу впечатление его изгладилось, и он опять с трепетом счастья смотрел на Ольгу наедине, слушал,
M-AILABS_rus_000011	oblomov_s001373	после шатанья по свету, иногда даже с помощью некоторой утраты нравственного аромата души, свежести мысли и волос, то есть что она вступила в сферу сознания.
M-AILABS_rus_000012	oblomov_s005283	Вид дикости на лице Захара мгновенно смягчился блеснувшим в чертах его лучом раскаяния. Захар почувствовал первые признаки проснувшегося в груди и подступившего к сердцу благоговейного чувства к барину,
M-AILABS_rus_000013	strashnaya_minuta_s000021	А Александр Андреевич нашел даже, что слезы ко мне идут. С тех пор я так и живу, как видите, четыре года.
M-AILABS_rus_000014	falshiviy_kupon_s000048	Получила,- ответила Мария Семеновна,- только дыры заткнуть.
M-AILABS_rus_000015	jizn_gnora_s000323	Довольно сказать вам, что я приехал в Одессу из Вятки. Контраст был громаден! Я проводил дни на улицах, рассматривая витрины или бродя в порту,
M-AILABS_rus_000016	mnogo_shuma_iz_nichego_s000189	Бенедикт.
M-AILABS_rus_000017	argentinetz_s000761	Нина могла бы не благодарить его - разве бы он посмел настаивать? А тут пастушье бесхитростное благородство: Ты - мне, я - тебе. Не хочешь варенья - ну что ж.
M-AILABS_rus_000018	chetvero_nischih_s000328	с волосами, падающими на глаза.
M-AILABS_rus_000019	oblomov_s000968	потом окинет еще беглым взглядом всю комнату, подвинет какой-нибудь стул, задвинет полуотворенный ящик комода, стащит салфетку со стола и быстро скользнет в кухню,
M-AILABS_rus_000020	oblomov_s001166	буду ли я через год сыт или буду нищий - я ничего не знаю!
M-AILABS_rus_000021	oblomov_s006792	Как что же! - машинально повторил он, беспокойно глядя на нее и не догадываясь, какая мысль формируется у ней в голове, как оправдает она свое что же,
M-AILABS_rus_000022	strashnaya_minuta_s000111	Вместо того чтобы мирно копаться в своих грядах, он принужден будет занимать меня разговором о винте, о погоде, о газетах, о здоровье, обо всем том,
M-AILABS_rus_000023	oblomov_s006779	по целым дням не покидала детской, несла обязанности матери-няньки, то погружалась с Андреем в чтение, в толки о серьезном и скучном, или читали поэтов,
M-AILABS_rus_000024	mnogo_shuma_iz_nichego_s001795	Нет, клянусь, вы меня любите, и я заставлю отведать его того, кто вздумает утверждать противное.
M-AILABS_rus_000025	argentinetz_s000345	Толкавшиеся у лавки женщины шёпотом ругали советскую власть: Чего это коммуняки вперёд лезут? Гнать их отседа!
M-AILABS_rus_000026	oblomov_s007864	Не любят два раза в жизни, - думала она, - это, говорят, безнравственно.
M-AILABS_rus_000027	jizn_gnora_s000138	Не раздражайте меня.
M-AILABS_rus_000028	oblomov_s000470	Не станет то чувство пробираться так тихо, как ручей, прячась в траве, с едва слышным журчаньем.
M-AILABS_rus_000029	oblomov_s002781	Из трех или четырех разбросанных там деревень была одна Сосновка, другая Вавиловка, в одной версте друг от друга.
M-AILABS_rus_000030	argentinetz_s003195	Он снова потянулся к фляжке, глотнул и вытер усы рукавом. Буксиры, паромы, вёсельные лодки. Заполонив всё пространство вокруг пристани, военные и беженцы потекли по деревянной лестнице наверх.
M-AILABS_rus_000031	strashnaya_minuta_s000676	слились в один грациозный темный силуэт, между тем как луна бросала яркие серебряные пятна на их плечи и на очертание их фигур.
M-AILABS_rus_000032	oblomov_s005886	вдруг, взглянув ей пристально в лицо, оробеет, отойдет смущенный и поймет, что он еще - мальчишка, а она - уже женщина!
M-AILABS_rus_000033	oblomov_s000693	Потом взяла его за руку и подвела его к образу.
M-AILABS_rus_000034	oblomov_s004316	потом задумалась, положив голову на плечо мужа.
M-AILABS_rus_000035	oblomov_s003686	И письмо с очками было спрятано под замок. Все занялись чаем. Оно бы пролежало там годы, если б не было слишком необыкновенным явлением и не взволновало умы обломовцев.
M-AILABS_rus_000036	chetvero_nischih_s000914	энергично опускающиеся углами вниз губы.
M-AILABS_rus_000037	falshiviy_kupon_s000870	которое просилось несколько раз наружу, прорвалось и захватило ее.
M-AILABS_rus_000038	jizn_gnora_s000716	I. Чудовищная впечатлительность Эбергайля поднялась в последний день его жизни на такую высоту, с какой смотрит разум, стоящий на границе безумия.
M-AILABS_rus_000039	oblomov_s001664	Сегодня же вечером Ольга узнает, какие строгие обязанности налагает любовь; сегодня будет последнее свидание наедине, сегодня.
M-AILABS_rus_000040	strashnaya_minuta_s000084	Ни за что! Ни за что!- нетерпеливо повторяла она себе.- Если муж будет просить, я не скажу ни одного слова, и, я думаю, у него не хватит дерзости остаться.
M-AILABS_rus_000041	oblomov_s006991	Вечером, по грязи, этакую даль! - подумал Обломов, но, взглянув ей в глаза, отвечал на ее улыбку улыбкой согласия.
M-AILABS_rus_000042	sulamif_s000379	которые едва движутся от прикосновения прекрасных белых рук царицы.
M-AILABS_rus_000043	oblomov_s003341	точно одно из чудовищ переходит с своего места на другое, и сухой сучок, кажется, хрустит под его ногой.
M-AILABS_rus_000044	strashnaya_minuta_s000932	был в частной жизни большим ребенком, болезненным, хилым, бесконечно добрым, рассеянным до анекдотической степени и деликатным до робости.
M-AILABS_rus_000045	oblomov_s004605	Зачем же ты не вырвался, не бежал куда-нибудь, а молча погибал? - нетерпеливо спросил Штольц.
M-AILABS_rus_000046	argentinetz_s002258	Когда не можешь встать, когда дико скучно, можно получать удовольствие от непослушания.
M-AILABS_rus_000047	jizn_gnora_s000134	Тишина достигла крайнего напряжения. Хриплый голос сказал:
M-AILABS_rus_000048	argentinetz_s003722	Сколько раз он представлял встречу с Ниной! Он жил этими мечтами: как она обрадуется ему, как опять всё будет хорошо, пусть на грани, пусть в постоянном страхе.
M-AILABS_rus_000049	jizn_gnora_s000785	Я нанял его на два месяца хранителем моих свадебных подсвечников, а жалованье уплатил вперед, в чем имею расписку; запомните это, свирепый Аллигу, и будьте здоровы.
M-AILABS_rus_000050	falshiviy_kupon_s000902	Сыну же велела все отрицать и ни в коем случае не признаваться отцу.
M-AILABS_rus_000051	oblomov_s003265	Тут Обломов пропустил несколько приветствий и пожеланий здоровья и продолжал с середины:
M-AILABS_rus_000052	chetvero_nischih_s000761	А через десять минут мы возвращаемся обратно в кофейню один за другим. Каждый выдумывает какой-нибудь предлог для своего отсутствия. Но штаны и куртки у нас мокры,
M-AILABS_rus_000053	argentinetz_s002956	Парень бросил спичку на пол и вытер обветренные губы. Товарищ Щербатов говорит, что попы всё врут. Надо, чтобы всё поровну, по чести было: что у одного, то и у другого.
M-AILABS_rus_000054	strashnaya_minuta_s000748	Ей хотелось остаться одной и думать. Присутствие мужа, даже спящего, стесняло ее. Выйдя на палубу, она невольно села на то же самое место, где сидела раньше.
M-AILABS_rus_000055	oblomov_s003542	Ты озабочен? - продолжала она.
M-AILABS_rus_000056	oblomov_s003738	Что-то у тебя глаза несвежи сегодня. Здоров ли ты? - и покачает головой.
M-AILABS_rus_000057	mnogo_shuma_iz_nichego_s001255	Услышавши, что Геро умерла В минуту обвиненья - пожалеют И извинят ее. Так создан свет.
M-AILABS_rus_000058	chetvero_nischih_s001001	всячески тискал и носился с нею по комнатам, зажав ее поперек живота.
M-AILABS_rus_000059	oblomov_s005077	Но вот опять звонят.
M-AILABS_rus_000060	mnogo_shuma_iz_nichego_s000214	Мой брат влюблен в Геро - это ясно; он отвел отца ее в сторону сделать ему предложение. Дамы ушли за нею и осталась одна только маска.
M-AILABS_rus_000061	mnogo_shuma_iz_nichego_s001878	Конрад Прочь, болван!
M-AILABS_rus_000062	oblomov_s002110	А чтоб чай не пахнул мылом, - кротко заметила она.
M-AILABS_rus_000063	mnogo_shuma_iz_nichego_s001092	Он вполне заслужил их, и дон Педро это видел. Он превзошел все, что можно было ожидать от его лет; в образе ягненка дрался как лев; он до того превзошел ожидания всех,
M-AILABS_rus_000064	falshiviy_kupon_s000978	Первый шалаш Василья был в дальнем саду, а второй шалаш, когда грушовка сошла, был в сорока шагах от барского дома. И в этом шалаше Василью еще веселее было.
M-AILABS_rus_000065	oblomov_s006573	Он, не испытав наслаждений, добываемых в борьбе, мысленно отказался от них и чувствовал покой в душе только в забытом уголке, чуждом движения, борьбы и жизни.
M-AILABS_rus_000066	chetvero_nischih_s000783	От него я узнал о ядовитой рыбке дракус, похожей на мелкую скумбрию, и о том, как ее снимать с крючка, о свойстве морского ерша причинять нарывы уколом плавников,
M-AILABS_rus_000067	oblomov_s003440	А вместе канцелярскими чиновниками служили. Я думаю, на будущий год в статские махнешь.
M-AILABS_rus_000068	oblomov_s003404	Илье Ильичу не нужно было пугаться так своего начальника, доброго и приятного в обхождении человека: он никогда никому дурного не сделал, подчиненные были как нельзя более довольны и не желали лучшего.
M-AILABS_rus_000069	oblomov_s001946	Несмотря, однакож, на эту наружную угрюмость и дикость, Захар был довольно мягкого и доброго сердца. Он любил даже проводить время с ребятишками.
