M-AILABS_rus_000209	oblomov_s000381	Следовательно, нет причины, чтоб вы знали про меня все, что знает Андрей Иваныч, - договорил он.
M-AILABS_rus_000210	mnogo_shuma_iz_nichego_s000372	Уходят.
M-AILABS_rus_000211	jizn_gnora_s000905	Эти слова произнес он быстро, чуть-чуть изменившимся голосом, и тотчас же принялся хохотать, глядя на удивленного Гнора неподвижными, добрыми глазами.
M-AILABS_rus_000212	chetvero_nischih_s000392	Глава пять
M-AILABS_rus_000213	argentinetz_s000386	А чтобы вам без дела не сидеть, мы вас привлечём к общественно-полезной работе. Коль скоро вы журналист, напишите нам листовки о вреде религиозного дурмана.
M-AILABS_rus_000214	oblomov_s004957	Да, пойдем скорее, - сказала и она шепотом, скороговоркой.
M-AILABS_rus_000215	mnogo_shuma_iz_nichego_s001267	Еще немного - и два беззубых старика откусили бы нам носы.
M-AILABS_rus_000216	oblomov_s002660	Природа не дала ему никакой резкой, заметной черты, ни дурной, ни хорошей. Его многие называли Иваном Иванычем, другие - Иваном Васильичем, третьи - Иваном Михайлычем.
M-AILABS_rus_000217	oblomov_s001129	Он с наслаждением, медленно вытянул ноги, отчего панталоны его засучились немного вверх, но он и не замечал этого маленького беспорядка. Услужливая мечта носила его легко и вольно, далеко в будущем.
M-AILABS_rus_000218	oblomov_s005997	С этой минуты мечты и спокойствие покинули Обломова. Он плохо спал, мало ел, рассеянно и угрюмо глядел на все.
M-AILABS_rus_000219	argentinetz_s001376	Вечером Клим и Жора вернулись с двумя корзинами добычи. Нина не верила своим глазам: копчёная колбаса, апельсины, шоколад.
M-AILABS_rus_000220	mnogo_shuma_iz_nichego_s001688	Протоколист.
M-AILABS_rus_000221	oblomov_s001283	А в деревне у меня особый дом, особый огород, отсыпной хлеб; мужики все в пояс мне! Я и управляющий и можедом! А вы-то с своим.
M-AILABS_rus_000222	oblomov_s003032	может быть студень из лавочки.
M-AILABS_rus_000223	oblomov_s007760	Оставаться на даче одному, когда опустел парк и роща, когда закрылись ставни окон Ольги, казалось ему решительно невозможно.
M-AILABS_rus_000224	oblomov_s000700	Он молчал.
