voxpopuli_est_000778	20170912-0900-PLENARY-17-et_20170912-17:16:03_2	Liiga kaua, et seda lihtsalt pealt vaadata.
voxpopuli_est_000779	20170912-0900-PLENARY-17-et_20170912-17:16:03_4	Seega rahvusvaheline üldsus peab võtma meetmeid ka selles osas, nii et Põhja Korea juhtide ilmselt õige paik oleks Rahvusvahelise Kriminaalkohtu ees.
voxpopuli_est_000780	20170912-0900-PLENARY-17-et_20170912-17:16:03_1	Inimsusevastased kuriteod, sunnitöölaagrid, inimeste hukkamised, piinamised, kadumised, toidupuudus, kehvad tervishoiuteenused ja üleüldine liikumis ja väljendusvabaduse piiramine on meie teadvuses olnud juba aastaid.
voxpopuli_est_000781	20200915-0900-PLENARY-et_20200915-12:55:34_3	Me soovime loomulikult Aleksei Navalnõile kiiret paranemist ja loodame, et tema tervis taastub sellest argpükslikust rünnakust.
voxpopuli_est_000782	20200916-0900-PLENARY-et_20200916-13:04:45_9	Millised oleksid teie arvates need sammud, mis vastaksid adekvaatselt neile väljakutsetele?
voxpopuli_est_000783	20170404-0900-PLENARY-19-et_20170404-21:03:26_4	Mulle meeldis volinik härra Oettingeri sõnavõtt, sest ta rõhutas korduvalt sõna „paindlikkus, aga paradoks ongi selles, et seitsmeaastase planeerimise ja iga aastase planeerimise juures paindlikkus läheb sassi.
voxpopuli_est_000784	20170404-0900-PLENARY-19-et_20170404-21:03:26_1	Optimist või pessimist, rahvapartei või sotsiaaldemokraat, portugallane, kreeklane või soomlane perspektiiv on erinev.
voxpopuli_est_000785	20170214-0900-PLENARY-14-et_20170214-17:05:02_6	Me peame survestama liikmesriikide valitsusi, et Ukraina küsimus oleks osa igast kohtumisest, mis leiab aset Venemaa, Ameerika Ühendriikide ja meie riigijuhtide vahel.
voxpopuli_est_000786	20200916-0900-PLENARY-et_20200916-13:04:45_5	Minu hinnangul ei saa me rahulduda tõdemusega, et Venemaa väljakujunenud käitumismustriga pole võimalik midagi ette võtta.
voxpopuli_est_000787	20170404-0900-PLENARY-19-et_20170404-21:03:26_3	sõnaliselt, vaid ka finantsiliselt.
voxpopuli_est_000788	20200916-0900-PLENARY-et_20200916-13:04:45_7	Euroopa Liit ei ole paraku veel näidanud, et meil oleks ühine ning selge arusaam meid ähvardavatest julgeolekuohtudest.
voxpopuli_est_000789	20170705-0900-PLENARY-7-et_20170705-11:50:26_5	Selles on loetelu asjadest, mida Euroopa kaitsekoostöö arendamiseks teha tuleb.
voxpopuli_est_000790	20170404-0900-PLENARY-19-et_20170404-21:03:26_0	Kas klaas on pooltühi või pooltäis, see sõltub muidugi perspektiivist.
voxpopuli_est_000791	20170214-0900-PLENARY-14-et_20170214-17:05:02_3	Parlamendiliikmetena on meil võimalus kujundada Euroopa suhtumist Ukrainas toimuvasse.
voxpopuli_est_000792	20170705-0900-PLENARY-7-et_20170705-11:50:26_1	Eesti ei ole olnud ainult julgeoleku tarbija, vaid ka julgeolekusse panustaja.
voxpopuli_est_000793	20170912-0900-PLENARY-17-et_20170912-17:16:03_3	Samuti on murettekitav Hiina käitumine, kes saadab Hiinast tagasi Põhja Korea pagulasi, kes suure tõenäosusega seal tapetakse või vangistatakse.
voxpopuli_est_000794	20200915-0900-PLENARY-et_20200915-12:55:34_4	Oma kodanike kõrvaldamine on vaid üks selle KGB alampolkovniku arsenali kuuluvatest räpastest meetoditest.
voxpopuli_est_000795	20180530-0900-PLENARY-29-et_20180530-22:30:49_4	Noorte tuleviku eest muretsemine ei peaks olema teema mitte ainult riiklikul tasemel, vaid noortepoliitikasse tuleb kaasata aktiivselt piirkondlikud ja kohalikud omavalitsused.
voxpopuli_est_000796	20180530-0900-PLENARY-29-et_20180530-22:30:49_3	Sellises konkurentsitihedas ning majanduslikult keerulises olukorras on noored tihti nõus tegema praktikaid praktika järel ning seepärast on lihtne noori ära kasutada, pakkudes neile töökogemust, kuid samal ajal ebasoodsaid või isegi mitte eksisteerivaid kompenseerimisvõimalusi, ebarealistlikke tööaegu ja tingimusi ja nii edasi. See praktika ei soosi meie noorte tulevikku ning praktikavõimalused peavad olema kvaliteetsed, kindlate töötingimuste ja hüvitistega.
voxpopuli_est_000797	20200916-0900-PLENARY-et_20200916-13:04:45_4	Oma sõnavõtus ei puudutanud te küsimusi, mis on seotud Euroopa Liidu kaitsevalmiduse tõstmisega.
voxpopuli_est_000798	20170912-0900-PLENARY-17-et_20170912-17:16:03_0	ÜRO poolt uute sanktsioonide kehtestamine Põhja Koreale on äärmiselt vajalik, samas ma nõustun nendega, kes ütlevad, et tegelikult oleksid need sanktsioonid pidanud olema veelgi tugevamad, ja seetõttu ma toetan ka, et Euroopa Liit lisab omalt poolt nendesse sanktsioonidesse veel midagi, sest me peame saama Korea poolsaare tuumavabaks. Samas, selles tuumarelva arutelus ei tohi me jätta tähelepanuta neid inimesi, kes Põhja Koreas selle juhtkonna tegevuse tagajärjel kannatavad.
voxpopuli_est_000799	20170214-0900-PLENARY-14-et_20170214-17:05:02_7	Euroopast peab kostuma ühtne sõnum Ukraina küsimus ei ole lahendatud ega unustatud.
voxpopuli_est_000800	20200916-0900-PLENARY-et_20200916-13:04:45_8	Selgeks näiteks on kaitsevaldkonna kulutuste märkimisväärne kärpimine järgmises finantsraamistikus.
voxpopuli_est_000801	20170705-0900-PLENARY-7-et_20170705-11:45:39_1	Ma olen Eesti üle väga uhke.
voxpopuli_est_000802	20180530-0900-PLENARY-29-et_20180530-22:30:49_5	Oleks eriti tervitatav, kui omavalitsused pakuksid oma noortele individuaalset tuge, olenevalt nende majanduslikust ja sotsiaalsest olukorrast, kuid ka eelistustest, millega nad soovivad tegeleda ja kus kaasatud olla.
voxpopuli_est_000803	20170705-0900-PLENARY-7-et_20170705-11:50:26_7	Järgmisel aastal tähistab Eesti oma
voxpopuli_est_000804	20170404-0900-PLENARY-19-et_20170404-21:03:26_8	Aga ma ütleksin niimoodi lõpetuseks, et nõukogu Euroopa valitsused ei tahtnud meile sedagi poolt klaasi anda ja sellepärast peab valitsusi kiitma, et me siiski oleme jõudnud selle poole klaasi juurde.
voxpopuli_est_000805	20170214-0900-PLENARY-14-et_20170214-17:05:02_2	Ameerika Ühendriikide vaikimine selles küsimuses ei peaks häirekelli käima lööma mitte ainult Kiievis, vaid tegelikult kõikides Euroopa pealinnades. Seda rohkem peame me vaeva nägema, et neid muresid kummutada.
voxpopuli_est_000806	20170705-0900-PLENARY-7-et_20170705-11:45:39_2	Ma olen uhke selle üle, et me ühe inimpõlve jooksul oleme võidelnud välja oma vabaduse ja võrdse koha Euroopa riikide seas.
voxpopuli_est_000807	20200916-0900-PLENARY-et_20200916-13:04:45_1	Samuti on positiivne, et mitmedki teised digipöördega seotud arengud loovad meie inimestele parema elu ja töökeskkonna ning avardavad nende võimalusi. Toimiva digitaalse infrastruktuuri rajamine maapiirkondadesse ja äärealadele on äärmiselt vajalik tegevus. Meie ees täna seisvatele väljakutsetele ei ole lihtsaid ja lineaarseid lahendusi.
voxpopuli_est_000808	20170705-0900-PLENARY-7-et_20170705-11:50:26_6	Kaitsefond ja juhtimiskeskus Brüsselis on loodud, kuid kakskümmend teemat vajavad veel otsuseid ja tegutsemist, et oleks võimalik rääkida tegelikult toimivast Euroopa Liidu kaitsekoostööst.
voxpopuli_est_000809	20170705-0900-PLENARY-7-et_20170705-11:50:26_4	Meenutan, et eelmise aasta novembris võttis Euroopa Parlament vastu raporti Euroopa kaitseliidust ehk kaitsekoostööst.
voxpopuli_est_000810	20170705-0900-PLENARY-7-et_20170705-11:45:39_4	Ja näidata seda, et digitaalsest ühtsest turust on kogu Euroopal palju võita.
voxpopuli_est_000811	20200916-0900-PLENARY-et_20200916-13:04:45_3	Kuid lisaks meie igapäevast elu mõjutavale viirusele, on äärmiselt muret tekitav ka meid ümbritsev julgeolekukeskkond.
voxpopuli_est_000812	20170214-0900-PLENARY-14-et_20170214-17:05:02_4	Meie ülesanne on kindlustada, et Ukrainat ei unustata.
voxpopuli_est_000813	20170705-0900-PLENARY-7-et_20170705-11:50:26_10	Jõudu tööle!
voxpopuli_est_000814	20170404-0900-PLENARY-19-et_20170404-21:03:26_6	Klaas on pooltühi, sest meie ettepanekuid ei ole piisavalt arvesse võetud.
voxpopuli_est_000815	20170705-0900-PLENARY-7-et_20170705-11:45:39_5	Ma usun, et me suudame selle Eesti eesistumisega tõestada, et Eesti on Euroopale sama oluline kui Euroopa on Eestile.
voxpopuli_est_000816	20180530-0900-PLENARY-29-et_20180530-22:30:49_2	Me kõik tahame, et noored oleksid iseseisvad ja ambitsioonikad, et ei tekiks arutelu, nagu tehtaks ka nende eest kõik ära. Aga selleks, et nad saaksid oma tuleviku eest ise seista ja oma elu planeerida, tuleb anda võimalused ning seepärast on noortestrateegia äärmiselt oluline.
voxpopuli_est_000817	20170705-0900-PLENARY-7-et_20170705-11:45:39_3	Ma olen uhke ka selle üle, et on üks kindel valdkond, kus meie saame Euroopa Liidule olla suunanäitajaks ja eeskujuks.
voxpopuli_est_000818	20170705-0900-PLENARY-7-et_20170705-11:50:26_0	Austatud istungi juhataja! Euroopa kaitsekoostöö on valdkond, mille arendamisel on Eestile kui Euroopa Liidu eesistujariigile kõrged ootused. Eestil on nüüd ainulaadne võimalus aidata suurendada Euroopa Liidu kaitsevõimet ja kaitsekoostööd.
voxpopuli_est_000819	20170214-0900-PLENARY-14-et_20170214-17:05:02_5	Siinne arutelu on kindlasti samm õiges suunas, kuid sõnavõttudest üksi ei piisa, nagu härra Fleckenstein ka ütles.
voxpopuli_est_000820	20170705-0900-PLENARY-7-et_20170705-11:50:26_3	Nii NATO kui ka Euroopa Liidu liikmena saab Eesti aidata kaasa kiirele Euroopa Liidu kaitsekoostöö arendamisele nii, et Euroopa Liit ja NATO täiendaksid teineteise võimekusi maksimaalselt.
