M-AILABS_eng_000000	silent_bullet_03_f000216	Window. Curtain.
M-AILABS_eng_000001	poisoned_pen_04_f000281	Curiously enough, I find that the handwriting of the first one bears a peculiar resemblance to that of Miss Wend, while the second and third,
M-AILABS_eng_000002	midnight_passenger_11_f000255	Ferris staggered to the sideboard and took a draught of brandy. I wash my hands of the whole thing, he huskily said. If you wish to follow it up, go and see Stillwell.
M-AILABS_eng_000003	skyisland_29_baum_64kb_f000002	Sky island by L Frank Baum. Chapter twenty-nine TROT REGULATES THE PINKIES. The Pinkies were rejoiced to find themselves again in their beloved land of sunrises and sunsets.
M-AILABS_eng_000004	emerald_city_of_oz_16_f000042	Now, it is the duty of the King's Counselors to counsel the King at all times of emergency, so I beg you to speak out and advise me what to do with these prisoners.
M-AILABS_eng_000005	midnight_passenger_06_f000236	I can go over to Taylor's Hotel at Jersey City. Old Somers will cast the majority vote at a quarter of three.
M-AILABS_eng_000006	northandsouth_17_f000030	He puffed away. I reckon theyd have either to give up their farms, or to give fair rate of wage.
M-AILABS_eng_000007	rinkitink_baum_09_64kb_f000066	Again they went to the woods to search for honey, and although the mother always ran away whenever the bees came near them, Zella paid no attention to the creatures but kept at her work,
M-AILABS_eng_000008	emerald_city_of_oz_26_f000076	I'm willing to become a slave with the rest of you; so all we can do with the Magic Belt is to use it to send Uncle Henry and Aunt Em back to Kansas.
M-AILABS_eng_000009	poisoned_pen_03_f000285	Here I have one of the most modern dark-field microscopes, he resumed. On this slide I have placed a little pin-point of a culture made from the blood of Saratovsky. I will stain the culture.
M-AILABS_eng_000010	poisoned_pen_12_f000306	I thought a change had come over her as she handed me the package with the request that I carry it to mister Bennett and get them from him.
M-AILABS_eng_000011	silent_bullet_06_f000262	The increasing frequency with which tales of murder by poison appear in the newspapers, he began formally, is proof of how rapidly this new civilisation of ours is taking on the aspects of the older civilisations across the seas.
M-AILABS_eng_000012	rinkitink_baum_18_64kb_f000053	Do you always ride upon his back? continued Kaliko, questioning Rinkitink.
M-AILABS_eng_000013	emerald_city_of_oz_01_f000098	But they, for their part, did not know they had so dangerous an enemy.
M-AILABS_eng_000014	the_sea_fairies_20_f000099	What made it?
M-AILABS_eng_000015	pink_fairy_book_07_f000041	Now you are talking too fast, spluttered the fire.
M-AILABS_eng_000016	piratesofersatz_02_leinster_64kb_f000079	Most settled places are mere villages near some feudal castle, and roads are so few and bad that wheeled transport is rare.
M-AILABS_eng_000017	dorothy_and_wizard_oz_18_f000003	Several days of festivity and merry-making followed, for such old friends did not often meet and there was much to be told and talked over between them,
M-AILABS_eng_000018	rinkitink_baum_19_64kb_f000037	I will be glad to discover if the beast can also escape my delightful little sorceries.
M-AILABS_eng_000019	dorothy_and_wizard_oz_12_f000089	Where does it lead to? she asked.
M-AILABS_eng_000020	northandsouth_32_f000064	Frederick turned round, right facing the lamp, where the gas darted up in vivid anticipation of the train.
M-AILABS_eng_000021	silent_bullet_02_f000046	Kerr Parker was surrounded by a group of people who were in his schemes with him. They are holding a council of war in the directors room.
M-AILABS_eng_000022	poisoned_pen_05_f000108	Who is this third man who comes in and with whom Harriet Wollstone goes away so willingly? put in O'Connor. You said the house had been closed - absolutely closed?
M-AILABS_eng_000023	ozma_of_oz_11_f000009	But no one paid any attention to this because they were now close to the Nome King's dominions, and his splendid underground palace could not be very far away.
M-AILABS_eng_000024	pink_fairy_book_39_f000032	The old man seized her hands eagerly, but no time was given him to ask any questions, for the maiden drew him into the house, and set food before him, and waited on him herself.
M-AILABS_eng_000025	pink_fairy_book_40_f000068	The princess was asleep, but Ciccu seized her arm and pulled her out of bed, and beat her till she gave back the purse. Then he took up the coverlet,
