M-AILABS_eng_000159	northandsouth_24_f000036	He turned round. She had come in so gently, that he had never heard her;
M-AILABS_eng_000160	northandsouth_29_f000071	Ah, to be sure! we must keep our doors shut,-we must let no one in.
M-AILABS_eng_000161	hunters_space_10_f000084	Kinsmen, he began mockingly. You may have wondered why I called a truce when I could just as well have destroyed you That I doubt, Ato answered him.
M-AILABS_eng_000162	pink_fairy_book_06_f000010	the peasant threw himself upon him and bound his four legs tightly, so that he could not move.
M-AILABS_eng_000163	northandsouth_04_f000084	nor must thou so limit the Holy One of Israel as to think He hath but one way in which He can glorify Himself by thee.
M-AILABS_eng_000164	hunters_space_05_f000031	The old comparison between the impulsive executive and the liberal arts man who has learned that there are only one or two positive decisions available in all the world of thinking.
M-AILABS_eng_000165	skyisland_21_baum_64kb_f000008	After this experience, the invaders were careful to keep a safe distance from the wall.
M-AILABS_eng_000166	poisoned_pen_11_f000078	Can you bear something further? I think you ought to know it. I have here a most mysterious telepagram. Yes. What is it? Is she dead? No, it is not about her.
M-AILABS_eng_000167	northandsouth_27_f000052	No! mister Thornton said. Give the basket to me,-Ill take it.
M-AILABS_eng_000168	skyisland_02_baum_64kb_f000026	An Arabian Night! exclaimed Trot. Why, that was a magic night, wasn't it? There's different sorts of nights, mate, said the sailor, and the knight Button-Bright means ain't the same night you mean.
M-AILABS_eng_000169	northandsouth_38_f000236	Ive turned off upwards of a hundred of my best hands, for no other fault than following you and such as you; and dye think Ill take you on?
M-AILABS_eng_000170	northandsouth_37_f000071	But when should she see him? Her heart leaped up in apprehension at every ring of the door-bell;
M-AILABS_eng_000171	northandsouth_43_f000059	These books, Dixon, I will keep. All the rest will you send to mister Bell? They are of a kind that he will value for themselves, as well as for papas sake.
M-AILABS_eng_000172	rinkitink_baum_07_64kb_f000102	But Inga was not at all sure they could not get in. The gates opened inward, and three heavy bars were held in place by means of stout staples riveted to the sheets of steel.
M-AILABS_eng_000173	piratesofersatz_04_leinster_64kb_f000228	I want Thal, said Hoddan coldly. I want a dozen horses. I want men to ride them with me. He pushed his way forward. Which way to the stables?
