voxpopuli_eng_000432	20170518-0900-PLENARY-6-en_20170518-11:03:16_5	Our resolution lists several names journalists, one line activists who are kept in detention.
voxpopuli_eng_000433	20171113-0900-PLENARY-17-en_20171113-22:24:11_20	Exclusion in any form breeds resentment, confrontation, extremism and sometimes violence. Integration, on the other hand, is a promise of stability and of peace, not to mention the economic contribution that migrants, usually young people, can bring to an ageing population.
voxpopuli_eng_000434	20180418-0900-PLENARY-11-en_20180418-13:38:40_5	We, the majority of Europe, do not want migration
voxpopuli_eng_000435	20180612-0900-PLENARY-en_20180612-20:44:15_17	In addition, the newly adopted law was signed yesterday by the President of Ukraine. The rapporteur welcomes this news with great satisfaction it means that Ukrainians take the commitment seriously.
voxpopuli_eng_000436	20180206-0900-PLENARY-17-en_20180206-18:02:41_1	It is important not just for the countries of the region but also for the European Union itself without providing a credible prospect of full membership for all the countries of the Western Balkans the EU global role will not be credible, because this is our region, this is our first commitment.
voxpopuli_eng_000437	20090324-0900-PLENARY-9-en_20090324-16:57:37_7	The action plan recognises that an effective crisis response in Europe's integrated financial markets requires fast and coordinated action by all stakeholders parent banks which own a large part of the region's financial sectors
voxpopuli_eng_000438	20180612-0900-PLENARY-en_20180612-20:54:28_7	I am grateful to the Commissioner that you although it is not included in the joint declaration explicitly referred to that, because that is what it is also about.
voxpopuli_eng_000439	20201007-0900-PLENARY-en_20201007-10:39:42_2	It is therefore absolutely unacceptable that countries such as Turkey, for example, contribute with mercenaries, among other things, to worsen the situation even more. The EU is a region built on the idea that dialogue is the only way forward for long lasting peace. It is our duty at the same time to take leadership for those ideas in our neighbouring countries.
voxpopuli_eng_000440	20130522-0900-PLENARY-3-en_20130522-08:59:39_2	Protection procedures are simplified
voxpopuli_eng_000441	20170202-0900-PLENARY-5-en_20170202-11:11:26_2	In the UK, there are strict laws about family courts, including the privacy of proceedings for what is and always will be a very emotive subject.
voxpopuli_eng_000442	20160428-0900-PLENARY-3-en_20160428-08:34:44_7	Let me say from the Council perspective and the Member States' perspective that this is not a perfect solution, but it is the best solution that we can find right now.
voxpopuli_eng_000443	20170315-0900-PLENARY-3-en_20170315-09:53:31_25	We believe in creating better conditions for growth, jobs and higher living standards through the Union's single market.
voxpopuli_eng_000444	20140415-0900-PLENARY-6-en_20140415-11:40:39_4	It will increase costs and will be less competitive for the European market and for the SMEs that you believe that you are protecting.
voxpopuli_eng_000445	20180116-0900-PLENARY-4-en_20180116-10:45:18_1	They established some priorities
voxpopuli_eng_000446	20180704-0900-PLENARY-en_20180704-15:50:40_4	Delayed payments regulation is a case where the Greek economy would have big dividends to avoid future generation of non performing loans when the next crisis comes.
voxpopuli_eng_000447	20171003-0900-PLENARY-12-en_20171003-18:00:00_4	It is also a question of when the authorities perpetrate this kind of violence.
voxpopuli_eng_000448	20180416-0900-PLENARY-24-en_20180416-22:53:12_22	a single set of rules
voxpopuli_eng_000449	20150429-0900-PLENARY-24-en_20150429-22:59:14_1	as it is the institution taking the final decision on ratification by the European Union of any international treaty.
voxpopuli_eng_000450	20160913-0900-PLENARY-20-en_20160913-22:17:13_24	for 2017, and we want to keep the main focus of these discussions on the 2017 budget.
voxpopuli_eng_000451	20170426-0900-PLENARY-11-en_20170426-16:44:25_1	We have witnessed several unspeakably worded national consultations in the meantime.
voxpopuli_eng_000452	20150908-0900-PLENARY-13-en_20150908-17:53:33_0	Mr President, the ECR Group recognises the practical value of regional development funding and supports efforts to ensure it is spent more efficiently. This sixth report clearly calls for more to be done there. It is not a clean bill of health.
voxpopuli_eng_000453	20180206-0900-PLENARY-19-en_20180206-19:24:43_2	The legacy is repression, isolation and corruption, and there is an expectation of the new transition Government although it is chaired by a former Vice President of Mugabe, Mr Mnangagwa.
voxpopuli_eng_000454	20160526-0900-PLENARY-3-en_20160526-10:18:50_8	We have to give them a fair price for their products.
voxpopuli_eng_000455	20180704-0900-PLENARY-en_20180704-20:25:31_5	The recent Commission statement of estimates showed that the UK will be handing over EUR
voxpopuli_eng_000456	20170703-0900-PLENARY-16-en_20170703-18:28:03_9	A proper democracy requires loyal democrats on all sides.
