voxpopuli_eng_000494	20180116-0900-PLENARY-18-en_20180116-21:26:13_8	We all know Oman as a successful, stable country a role model for the whole region.
voxpopuli_eng_000495	20201007-0900-PLENARY-en_20201007-15:36:39_5	Therefore, it's high time that you come forward with a proposal for review with an operational separation of the audit and non audit services under a direct EU supervision.
voxpopuli_eng_000496	20140916-0900-PLENARY-17-en_20140916-19:34:26_1	It is clear that we have no time to waste. The new results of the IPCC regarding the scientific basis of climate change leave no room for hesitation.
voxpopuli_eng_000497	20131022-0900-PLENARY-14-en_20131022-15:50:19_9	5 So in the containers, which are never even touched, come slaves, counterfeit goods, drugs, etc.
voxpopuli_eng_000498	20170517-0900-PLENARY-19-en_20170517-19:22:35_6	I hope that the Commission's mobility initiatives will not create the next problem but will be an answer for existing challenges of the road transport sector.
voxpopuli_eng_000499	20180612-0900-PLENARY-13-en_20180612-16:07:56_4	In the US it was a decision taken only by one person, the former President of the United States, against the articulated democratic majority of the US Congress by all of its Republican and some of its Democrat members. It was an agreement without any binding obligations, as the leaders of Iran very openly and precisely made clear on the very day this so called deal was published.
voxpopuli_eng_000500	20170405-0900-PLENARY-13-en_20170405-15:58:20_3	Free speech is essentially accepting that people are free to say things we do like, not merely free to say things we do like.
voxpopuli_eng_000501	20171004-0900-PLENARY-3-en_20171004-09:45:12_12	Let us learn from this.
voxpopuli_eng_000502	20090402-0900-PLENARY-2-en_20090402-09:25:39_9	We think that the environmental effect of products must be a very important issue in the EU, and the whole idea of an Ecolabel gives a very useful orientation for consumers. Of course the Ecolabel should be given to the most environmentally friendly products, and the information should be clear and correct.
voxpopuli_eng_000503	20150709-0900-PLENARY-5-en_20150709-11:01:32_1	However, the current regime needs to be better tailored to the digital environment in order to ensure fair remuneration to creators and to conform to consumer expectations.
voxpopuli_eng_000504	20171025-0900-PLENARY-12-en_20171025-12:47:44_4	It calls upon the Commission and Member States to enhance their support for reconciliation to secure peace and stability and Ireland. I would therefore urge you, colleagues, to please support this amendment.
voxpopuli_eng_000505	20201022-0900-PLENARY-en_20201022-11:42:18_3	Strategic choices about where to invest must be made now, taking into account the need to phase out fossil fuel subsidies. But take gas as a fossil fuel it can be a helpful bridging transitionary medium to be used in many Member States if we want to achieve our ambitious climate targets.
voxpopuli_eng_000506	20090218-0900-PLENARY-10-en_20090218-15:15:21_64	Middle East. We are possibly at a threshold. We can choose to pursue the same policies in the same manner, knowing that they will lead to the same results the results that
voxpopuli_eng_000507	20201006-0900-PLENARY-en_20201006-12:49:38_9	But there is an option.
voxpopuli_eng_000508	20131120-0900-PLENARY-6-en_20131120-12:21:31_28	this, we also need a change in our ideology.
voxpopuli_eng_000509	20100617-0900-PLENARY-6-en_20100617-11:23:38_2	A large part of the reason is of course illegal fishing, more often than not by vessels which are registered to countries which lack the will or the resources to enforce international agreements. No amount of traceability measures or extra paperwork will address the problem of reducing
voxpopuli_eng_000510	20180911-0900-PLENARY-witholdRO-en_20180911-23:44:16_5	The compromise also includes clear rules to define which Member State has jurisdiction and the cooperation between Member States concerned in cross border cases, as well as the need to involve Eurojust. Thank you for your work, and please do support this directive
voxpopuli_eng_000511	20140114-0900-PLENARY-12-en_20140114-19:06:12_4	The Greens would have us believe that these are bad bees, criminal bees, deliberately contaminating honey with a dangerous ingredient, but in fact they are doing what honey bees have always done, which is to carry pollen back to their hives to feed their young.
voxpopuli_eng_000512	20141020-0900-PLENARY-14-en_20141020-18:52:00_23	But it was the country itself being more capable.
voxpopuli_eng_000513	20091124-0900-PLENARY-8-en_20091124-15:33:57_2	into the portfolio of the new Commissioner dealing with fundamental rights?
voxpopuli_eng_000514	20170404-0900-PLENARY-19-en_20170404-21:25:32_8	The message is that the EU does not have any new solutions.
voxpopuli_eng_000515	20180530-0900-PLENARY-3-en_20180530-11:07:07_2	Are you willing to act in favour of the social dimension to be included in the EU competencies, as proposed?
voxpopuli_eng_000516	20170314-0900-PLENARY-15-en_20170314-22:27:42_5	The next step on spectrum policy is being taken with the reform of our telecom framework.
voxpopuli_eng_000517	20141112-0900-PLENARY-17-en_20141112-23:08:57_1	I believe his remarks were explicitly racist and xenophobic and promoted racial intolerance in a way that is not acceptable or allowed in the constitution of this House.
voxpopuli_eng_000518	20090203-0900-PLENARY-13-en_20090203-21:49:10_5	Real life examples show that solving issues related to education fuels strong Community development.
voxpopuli_eng_000519	20121025-0900-PLENARY-18-en_20121025-21:10:37_7	So I hope this will happen for Russia as well and that Russia can also envisage an extreme success story after the significant date in August this year.
voxpopuli_eng_000520	20140115-0900-PLENARY-15-en_20140115-18:48:29_5	She accepted the fact that citizenship is subject to national jurisdiction, but she also said that according to the Maastricht Treaty and she is right there has to be a direct link.
voxpopuli_eng_000521	20100210-0900-PLENARY-6-en_20100210-14:09:41_2	The EU failed especially in demonstrating a unified and efficient approach to climate change treatment, as well as in strengthening its leading political position in this agenda. I consider, therefore, taking this resolution, an act of utmost importance,
voxpopuli_eng_000522	20140716-0900-PLENARY-7-en_20140716-10:22:18_5	The United States of Europe will be a fact, with Sweden as a province.
voxpopuli_eng_000523	20171212-0900-PLENARY-19-en_20171212-20:40:35_4	It must be the capital of both states, and we must recognise Palestine as a state, as provided for in the Oslo agreements.
