fleurs_cmn_000000 cmn_hans_cn/audio/dev/314744401266810503.wav	许多常见格式例如APS格式系列都与这个长宽比相同或相当接近
fleurs_cmn_000001 cmn_hans_cn/audio/dev/8377419319604324774.wav	如果冬季去北极或南极地区旅游你就能体验到极夜即一段时间内太阳不会从地平线上升起
fleurs_cmn_000002 cmn_hans_cn/audio/dev/7247488086924370115.wav	全国各地的著名歌手都唱祈祷歌献给SHRISHYAM
fleurs_cmn_000003 cmn_hans_cn/audio/dev/4064820238578815707.wav	手工艺品可能会被定义为古董尽管相比于批量生产的同类产品手工艺品的年份要短得多
fleurs_cmn_000004 cmn_hans_cn/audio/dev/12167392592252285244.wav	警方说尸体看上去在那里放了一天左右
fleurs_cmn_000005 cmn_hans_cn/audio/dev/15208321311531354566.wav	据报道由于执法人员不在场比什凯克街道上的大规模抢劫持续了一夜
fleurs_cmn_000006 cmn_hans_cn/audio/dev/16659343639453779952.wav	起初裙装深受东方拜占庭文化的影响
fleurs_cmn_000007 cmn_hans_cn/audio/dev/8475203873376780466.wav	莫尔MOLL博士认为有些病人可能是在医院感染了病菌而且至少有两名病人是医院的医护人员
fleurs_cmn_000008 cmn_hans_cn/audio/dev/668681171118903285.wav	其次一些马鞍尤其是英式马鞍配有安全扣如果落马的骑手向后拉马镫皮带就会从马鞍上掉下来
fleurs_cmn_000009 cmn_hans_cn/audio/dev/10291819997967779677.wav	亚马逊河也是地球上最宽的河流有些河段的宽度可达6英里
fleurs_cmn_000010 cmn_hans_cn/audio/dev/6189548066414278978.wav	虽然车撞到房子时房子里面有三个人但最后并没有人受伤
fleurs_cmn_000011 cmn_hans_cn/audio/dev/14938177512279672265.wav	当地政府警告核电站附近的居民要待在室内关掉空调不要喝自来水
fleurs_cmn_000012 cmn_hans_cn/audio/dev/4742596756523997399.wav	此前铃声RING公司CEO杰米西米诺夫曾表示公司成立之初他在位于车库的工作室里是听不到门铃响声的
fleurs_cmn_000013 cmn_hans_cn/audio/dev/10878784572167100857.wav	新王国时期的古埃及人惊叹于其前辈的已有一千多年历史的纪念碑
fleurs_cmn_000014 cmn_hans_cn/audio/dev/10116334326946811387.wav	报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱
fleurs_cmn_000015 cmn_hans_cn/audio/dev/8462371175358088591.wav	按照原计划它将在周二被砍倒但在法庭紧急裁决后幸免遇难
fleurs_cmn_000016 cmn_hans_cn/audio/dev/12271166592937959079.wav	最终木轮被铁轮所取代1767年第一条全铁轨道问世
fleurs_cmn_000017 cmn_hans_cn/audio/dev/1041347348625117196.wav	最终木轮被铁轮所取代1767年第一条全铁轨道问世
fleurs_cmn_000018 cmn_hans_cn/audio/dev/15229817998350938339.wav	她的第一个项目是障碍滑雪并在第一回合以未完成的成绩结束比赛该比赛116名参赛者中有36人取得了相同的成绩
fleurs_cmn_000019 cmn_hans_cn/audio/dev/12076507467693612708.wav	一些报道称官方宣布的死亡人数为8人而据官方报道证实有多达30人受伤但是最终的数字尚未确定
fleurs_cmn_000020 cmn_hans_cn/audio/dev/9415865394548620504.wav	公园占地19500平方公里分为14个不同的生态区为不同的野生动植物提供支持
fleurs_cmn_000021 cmn_hans_cn/audio/dev/666051324457128051.wav	马略卡岛的菜肴和地中海相似地区的菜肴一样主要以面包蔬菜和肉类尤其是猪肉为基础而且完全使用橄榄油
fleurs_cmn_000022 cmn_hans_cn/audio/dev/10378712431948705352.wav	很多情况下在国外参加间隔年课程可以实质上提升你回国升学的机会
fleurs_cmn_000023 cmn_hans_cn/audio/dev/4550421117490119125.wav	这成了普遍做法但铁片会使木制的马车轮子磨损更严重
fleurs_cmn_000024 cmn_hans_cn/audio/dev/3832963160559160689.wav	在国家公园野生动物管理局NPWS和澳大利亚射击运动员协会NSW的合作中射击运动员协会为狩猎计划招募了合格的志愿者
fleurs_cmn_000025 cmn_hans_cn/audio/dev/282724074277049133.wav	这门课程通常会涵盖在此讨论到的所有问题经常会以实战经验的方式加以深入
fleurs_cmn_000026 cmn_hans_cn/audio/dev/15498956202881691437.wav	克鲁格国家公园KNP位于南非东北部东部与莫桑比克接壤北部与津巴布韦接壤南部以鳄鱼河CROCODILERIVER为边境
fleurs_cmn_000027 cmn_hans_cn/audio/dev/16924106960734655010.wav	东非岛屿位于非洲东海岸外的印度洋上
fleurs_cmn_000028 cmn_hans_cn/audio/dev/7435104503999141661.wav	当你刚出国时人们可能会很有耐心很体谅你因为他们知道旅行者来到新国家需要适应
fleurs_cmn_000029 cmn_hans_cn/audio/dev/3284765757150978147.wav	警方说尸体看上去在那里放了一天左右
fleurs_cmn_000030 cmn_hans_cn/audio/dev/17008133289892871983.wav	尽管吉普赛一词应用广泛尤其在非罗姆人当中更为盛行但它通常被认为是一种冒犯因为它与负面的刻板印象和对罗姆人错误的看法相关联
fleurs_cmn_000031 cmn_hans_cn/audio/dev/7837075451675990468.wav	菲律宾一名前警察在首都马尼拉劫持旅游大巴将车上的香港游客作为人质
fleurs_cmn_000032 cmn_hans_cn/audio/dev/15186714544890313846.wav	最后结果是一分险胜比分为21比20结束了全黑队连胜15场的局面
